sequence_id	sequence_sha256	cluster_id	length	release_status	reasons	source_accessions	split
nat_fc382b09fdd1c909c75c	fc382b09fdd1c909c75ca87f66ed2c98f5b6601cc069a0d6df8ae25285c11467	cluster_200ecff40f6b83ca60f9	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_423999109.1;WP_423999109|gvpA|protein;XRI17973|gvpA|protein	train
nat_4482775e0979509e45d2	4482775e0979509e45d23f6ca737a7fdb6814c225930bbcb113f82d33d585228	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_007143586.1;WP_007143586|gvpA|protein	train
nat_edc787924d6392f7c1f5	edc787924d6392f7c1f5e5e00d1e49e457b29997f69ad3227883a383e8273b5b	cluster_00058845722df3ede422	94	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_416285140.1;WP_416285140|gvpA|protein	train
nat_e9d0d8807aee29d8e61c	e9d0d8807aee29d8e61cc5812e5272da20f42b2eb9c88bded666404669277156	cluster_02e83ad46b86e8eaf5e7	71	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_310619223.1;WP_310619223|gvpA|protein	train
nat_39cf0fd21702af1ff2b1	39cf0fd21702af1ff2b1a85e7f95803ffe5d465cb6cae8e617df8798b8c9f644	cluster_02e83ad46b86e8eaf5e7	69	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_024336577.1;WP_024336577|gvpA|protein	train
nat_de6e45b17a1efe79f377	de6e45b17a1efe79f37778d836358d826a304d076e7019714203a05f82787777	cluster_02e83ad46b86e8eaf5e7	74	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_413173347.1;WP_413173347|gvpA|protein;XNO56029|gvpA|protein	train
nat_73e0b5aa88a198c56cae	73e0b5aa88a198c56caeea07f42134079d2b868fcd0dbd1b9bc7234b4f64666a	cluster_00058845722df3ede422	87	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_408958174.1;WP_408958174|gvpA|protein	train
nat_cd0ec9cc83e20bd818b3	cd0ec9cc83e20bd818b34c3d6e32229ae82b1f4b803ad5a686041fe792cfa0b4	cluster_320fa412f1f1ad675d12	86	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_336364780.1;WP_336364780|gvpA|protein	test
nat_76418c5d471b2873e6bf	76418c5d471b2873e6bfd66246e1ddea8c46c09677d508ca4d85d7ddc4b66838	cluster_320fa412f1f1ad675d12	86	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_332101109.1;WP_332101109|gvpA|protein	test
nat_7801d96d034213cf08c8	7801d96d034213cf08c8a094d7cac15ce9d441b0b84d59a3a397698d01a086b2	cluster_320fa412f1f1ad675d12	84	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_332100865.1;WP_332100865|gvpA|protein	test
nat_b9d147aeaac9ffa9d0f3	b9d147aeaac9ffa9d0f345cb4414f298f5fcd7bdcb541313ba9f90ed1cf3a920	cluster_320fa412f1f1ad675d12	87	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_332099299.1;WP_332099299|gvpA|protein	test
nat_7d8f193406ee761e1417	7d8f193406ee761e1417644f12663163f20f02aa96aa9ac9a3e9967ae45736db	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_407039562.1;WP_407039562|gvpA|protein	train
nat_f87e80c34ba5c8c8909b	f87e80c34ba5c8c8909bbdd240615676baff89720ec7c271d2c949964d53bfc2	cluster_04e4c15b93bd18832d36	87	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_231183142.1;WP_231183142|gvpA|protein	train
nat_38a86b2caad8351d20f8	38a86b2caad8351d20f84009e4f3fadc81641af9267c4634244814993c1e259b	cluster_02e83ad46b86e8eaf5e7	70	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_394079722.1;WP_394079722|gvpA|protein	train
nat_63e94d96149b61e3547f	63e94d96149b61e3547fb620a3561727505e40a05520085d6a7b53eda6afbc7c	cluster_320fa412f1f1ad675d12	87	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_122090611.1;WP_122090611|gvpA|protein	test
nat_4f76b230eb60279eb5dd	4f76b230eb60279eb5dd9727b6fef53befa7b01de4543a47effc9d7219b9b6ea	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_390283382.1;WP_390283382|gvpA|protein	train
nat_6b94719ca1a990ee1d8f	6b94719ca1a990ee1d8f7fe4a2780bb99c98d3599cd6abe8080921d204b422e4	cluster_04e4c15b93bd18832d36	87	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	USZ76701|gvpA|protein;WP_253517921.1;WP_253517921|gvpA|protein	train
nat_943ce15fb7773fa3a769	943ce15fb7773fa3a769b10eef21ff74af8e9455a035ac627206a70f67094829	cluster_00058845722df3ede422	94	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_252487173.1;WP_252487173|gvpA|protein	train
nat_970873de163a6ff8ee05	970873de163a6ff8ee058480a3869a5416b54bf5594fe27fbb5156104085a425	cluster_04e4c15b93bd18832d36	88	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_217628970.1;WP_217628970|gvpA|protein	train
nat_440c141d3d83ed043c33	440c141d3d83ed043c333614417693fd89f0dfdca16a4ae6872273ea898aeb50	cluster_04e4c15b93bd18832d36	76	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_375796785.1;WP_375796785|gvpA|protein	train
nat_476885d73f2103224b29	476885d73f2103224b292d5d842a8afc0794641e93e8e2d399aaf3c10eaa833c	cluster_02e83ad46b86e8eaf5e7	84	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_375594093.1;WP_375594093|gvpA|protein;XHC49834|gvpA|protein	train
nat_5d20f105b230fcb464d1	5d20f105b230fcb464d172f5f60beb5d3a0433f4d04c11d7e3b12442a0876f1f	cluster_04e4c15b93bd18832d36	78	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_373674330.1;WP_373674330|gvpA|protein	train
nat_92d7d81f95603487cd9c	92d7d81f95603487cd9c2e6f2b9a057290f97368162a627c34d4db46064b5d78	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_373618838.1;WP_373618838|gvpA|protein	train
nat_4f811102c58fb8e77080	4f811102c58fb8e77080f5dd3e87eca3f86feb91a847119b6ffe487ef0fe11f1	cluster_04e4c15b93bd18832d36	78	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_267662982.1;WP_267662982|gvpA|protein	train
nat_b47c8eec954491beb714	b47c8eec954491beb71449c63366fd48ba5dce86743a074cbdbe978a2a2b450c	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_149081285.1;WP_149081285|gvpA|protein	train
nat_004ac783975534947324	004ac7839755349473240380f645fff65b298b81cd7212d8be9f25d268874df0	cluster_00058845722df3ede422	94	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_342809826.1;WP_342809826|gvpA|protein	train
nat_07f90c8c92dbdb92b94e	07f90c8c92dbdb92b94e1c4becf058d78867504d7c200a8ac59420a67443e648	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_339102459.1;WP_339102459|gvpA|protein	train
nat_5c03f7861ccf36dc0533	5c03f7861ccf36dc05336cbb110d6b9466b83c837a45b4254d8ee83f1acb7937	cluster_00058845722df3ede422	84	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_338727022.1;WP_338727022|gvpA|protein	train
nat_4cea385a8794a0b112c3	4cea385a8794a0b112c3718b48635d7251fd2b54c59d9aaf7a1aa68ef55f0934	cluster_00058845722df3ede422	94	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_338007780.1;WP_338007780|gvpA|protein	train
nat_4e9e86277af05dbd050d	4e9e86277af05dbd050d6026de986c169c801caeb1df279e98d79b71f7f662b6	cluster_00058845722df3ede422	94	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_338001785.1;WP_338001785|gvpA|protein	train
nat_0a6194eed91a047cb43e	0a6194eed91a047cb43e42df86660279db231e8e43de2021d1f6bd61c0de9318	cluster_00058845722df3ede422	84	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_332897853.1;WP_332897853|gvpA|protein	train
nat_ea5746ec582bf06f4e03	ea5746ec582bf06f4e03026eb672c30524a41db3d8f7504c2c6530701baaefa7	cluster_3e013aaa6defa9421798	72	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_332321129.1;WP_332321129|gvpA|protein	validation
nat_edf12e96625a3cd49854	edf12e96625a3cd498543a51165a1fe2582809ab9abb59ead2892e6153bce04a	cluster_00058845722df3ede422	86	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_331233287.1;WP_331233287|gvpA|protein	train
nat_d9b751580230ca0e5773	d9b751580230ca0e5773c57e4ce813ad00b52f3d761de387a4ceb48a8b983c68	cluster_d9b751580230ca0e5773	85	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_313692695.1;WP_313692695|gvpA|protein	validation
nat_4d4e00d31d935ed0527d	4d4e00d31d935ed0527dea10b018697cb7c3f72bf199a24b36075804bc95f4cd	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_312909280.1;WP_312909280|gvpA|protein	train
nat_4132d6e9996d37d7483a	4132d6e9996d37d7483a43399d0cf509931b6bc7ffe8affe4d8014ed5a994667	cluster_04e4c15b93bd18832d36	92	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_310905889.1;WP_310905889|gvpA|protein	train
nat_fca422d4ddd5dcd65605	fca422d4ddd5dcd65605aca73a48825de01049d9d8a1773ef99115068238d3f9	cluster_00058845722df3ede422	96	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_306756674.1;WP_306756674|gvpA|protein	train
nat_d4bbfd09a62903f1dd61	d4bbfd09a62903f1dd61a6f9ad8db51b9835b18fbf9766c780f6719f9f1e9643	cluster_00058845722df3ede422	94	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_306059442.1;WP_306059442|gvpA|protein	train
nat_fd90bc846ac4fc169df6	fd90bc846ac4fc169df6b72c6d79f22f65e19b6288aa31b62ee0ef2b7fbcbd95	cluster_d9b751580230ca0e5773	92	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_304447146.1;WP_304447146|gvpA|protein	validation
nat_6cb2a4a67fad0b3f22b1	6cb2a4a67fad0b3f22b180db738bb3f59efd73950cd7b341fdf1ef17aafa121f	cluster_0da4fc315e8c5fa1925f	74	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_296608059.1;WP_296608059|gvpA|protein	test
nat_340bf83afc765d1b00fd	340bf83afc765d1b00fdd15c36a88211b6ccc7b1557c106bec83457cd9bb095b	cluster_1e070d0d2387bb202235	78	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_292371610.1;WP_292371610|gvpA|protein	validation
nat_833a1708482ad34125e2	833a1708482ad34125e281ec9a7bb5ff185d6b74e637c9a4e71748011be93051	cluster_00058845722df3ede422	98	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_290814024.1;WP_290814024|gvpA|protein	train
nat_0aeb545239a28bae61f9	0aeb545239a28bae61f99fbd60bce02d7f124f3277108fc0d913126d6222ba8b	cluster_00058845722df3ede422	86	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_286046597.1;WP_286046597|gvpA|protein	train
nat_ce5dc523b5749c0ad99a	ce5dc523b5749c0ad99a93b9d53e7343c2df1a582dcc1045a1caf959b34254dd	cluster_320fa412f1f1ad675d12	87	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_286043823.1;WP_286043823|gvpA|protein	test
nat_9fda348180c612303cdb	9fda348180c612303cdb7da49eec263f1c4a969cd97d7811ee7730f5dc5f4d4e	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WIV67593|gvpA|protein;WP_285927312.1;WP_285927312|gvpA|protein	train
nat_0145b7d0415b25474bf7	0145b7d0415b25474bf7a3c8e0a8c493009e798905f413a70669e51a92c9c25b	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_283836894.1;WP_283836894|gvpA|protein	train
nat_64b87c36790fe3acd4ba	64b87c36790fe3acd4baa751c7e30662ba7fd5dddd03a8f17f2a097d90e9a793	cluster_00058845722df3ede422	94	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_278293264.1;WP_278293264|gvpA|protein	train
nat_0da4fc315e8c5fa1925f	0da4fc315e8c5fa1925fb0764a91af43de57873340a143b142e0b66ac5307abb	cluster_0da4fc315e8c5fa1925f	76	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_276835635.1;WP_276835635|gvpA|protein	test
nat_62b65b4bdaad5382b6fd	62b65b4bdaad5382b6fd1a8fe84b861f9f2785c845ef6d5232a5858759e89434	cluster_0da4fc315e8c5fa1925f	76	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_276835632.1;WP_276835632|gvpA|protein	test
nat_644a625ed987b37152d8	644a625ed987b37152d8accd5afc91e83fbb7aa608bf5b736cb83e597789259b	cluster_0da4fc315e8c5fa1925f	76	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_276835630.1;WP_276835630|gvpA|protein	test
nat_3dd2d389f45d6f0511d2	3dd2d389f45d6f0511d21268defb0f34c51a26455c8e3504fb137cf688b87ebe	cluster_3dd2d389f45d6f0511d2	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_276304827.1;WP_276304827|gvpA|protein	train
nat_bf00fc1bb4a6bea076a5	bf00fc1bb4a6bea076a5150d4d94cbb2a3a41994343dd8761a39ebcf83a45c14	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_276254240.1;WP_276254240|gvpA|protein	train
nat_1f1d6fdb82f348ed948e	1f1d6fdb82f348ed948e69813ca969e1811e69f665260cf74fa3f7a057c84e99	cluster_00058845722df3ede422	84	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_276245661.1;WP_276245661|gvpA|protein	train
nat_fe2e069c7d192a9aa4be	fe2e069c7d192a9aa4be872c95d8c541ca761882f3f5cd67653cf6f33ac13f55	cluster_00058845722df3ede422	92	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_273740706.1;WP_273740706|gvpA|protein	train
nat_dc2b0da282a1a334132b	dc2b0da282a1a334132b94fa6b433ee40a84ca23e7aee931a5e7e57eca9070ad	cluster_0a9ee98cbcc2eabfac38	102	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_267623160|gvpA|protein	test
nat_eb796c25a48cdf2ca2d4	eb796c25a48cdf2ca2d4dadeba00b8fcbecdd1aafff9a5f2eef1c0b32866c085	cluster_00058845722df3ede422	82	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_266077553.1;WP_266077553|gvpA|protein	train
nat_4a87fc740463a61b2d05	4a87fc740463a61b2d05a11bcb05ac53e96820f7fa9f523dbb26076210cd1f90	cluster_3dd2d389f45d6f0511d2	109	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_264556325|gvpA|protein	train
nat_b9de124a92fba0281b06	b9de124a92fba0281b06c043a18713db03fec66b97dafd593654c7d8ee4bdae4	cluster_00058845722df3ede422	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_264182115.1;WP_264182115|gvpA|protein	train
nat_140f5823a50b88bf41c9	140f5823a50b88bf41c9cf8f0ecce11b98c5f03d7189a529d0efadf5d087eb18	cluster_00058845722df3ede422	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_263019417.1;WP_263019417|gvpA|protein	train
nat_461115b7000bfd74f566	461115b7000bfd74f56636de688b3e75d1a99451a35df65d49a6e139de49cbf1	cluster_00058845722df3ede422	96	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_256531060.1;WP_256531060|gvpA|protein	train
nat_bc61cfaf37743c96bcc0	bc61cfaf37743c96bcc099f173009a97501e9412f819aabc6f95ac7091dec987	cluster_04e4c15b93bd18832d36	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_256392402.1;WP_256392402|gvpA|protein	train
nat_fa2383cbfbff83286c61	fa2383cbfbff83286c6190e5f9ab210e692563b8c092e007a6f07b929ad5936a	cluster_00058845722df3ede422	96	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_255193947.1;WP_255193947|gvpA|protein	train
nat_0ae199fc6d044a2da135	0ae199fc6d044a2da1351509b524fc07b4da56bff0ab0a0763d56a10601c206a	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_255167832.1;WP_255167832|gvpA|protein	train
nat_dca06c4ca76aafac96e9	dca06c4ca76aafac96e935b72d0eee29c4619e4488f965d6467f9755e642ab6b	cluster_00058845722df3ede422	97	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_254863316.1;WP_254863316|gvpA|protein	train
nat_c7cb28cf54b6a88ff785	c7cb28cf54b6a88ff785e5323cd1bdbffa96279c0b39492eeb6a14c7568905bc	cluster_00058845722df3ede422	99	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_254765721.1;WP_254765721|gvpA|protein	train
nat_5577d4ac8367231fcec5	5577d4ac8367231fcec50f83da91db8ca882c0dc8629ac4a66b76fa0e8de5f57	cluster_3dd2d389f45d6f0511d2	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_254545002.1;WP_254545002|gvpA|protein	train
nat_c5a4c69d0879da5e6614	c5a4c69d0879da5e661497a4711c5ba745137829a29919810698fe674bd10d27	cluster_0a5813d34fb4f832fd7d	97	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_254535116.1;WP_254535116|gvpA|protein	validation
nat_d6e9dabc7155ae370ddb	d6e9dabc7155ae370ddb09e0bae20bdbc48caa253ce39756dca03bc4a0e50d8b	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_254532508.1;WP_254532508|gvpA|protein	train
nat_05a00477d12701f3890c	05a00477d12701f3890c1dd96656653d2f67adee9a1f126760ee634cb9b35334	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_254525374.1;WP_254525374|gvpA|protein	train
nat_75679c0d4db585656573	75679c0d4db585656573044908e13a67effd912339ddc8eec2ed6e7a995e9417	cluster_00058845722df3ede422	92	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	UTF55440|gvpA|protein;WP_254160480.1;WP_254160480|gvpA|protein	train
nat_8d29ff35edf68fc809de	8d29ff35edf68fc809deca67c394601f9988a9628d0099af15ed1cb1d44b7a5f	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	USZ73203|gvpA|protein;UTF53399|gvpA|protein;WP_253437521.1;WP_253437521|gvpA|protein	train
nat_ee10b37a92559cba1989	ee10b37a92559cba1989732ac44f05e8bde57068b78b573e193360b62d897bf7	cluster_00058845722df3ede422	92	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	USZ70426|gvpA|protein;WP_253430212.1;WP_253430212|gvpA|protein	train
