reference_id	source_path	source_record_index	source_id	source_accession	source_header	sequence_sha256	length	annotated_family	annotation_reasons	seed_eligible	reference_status	fold	cluster_id	pf00741_pass	pf00741_score	pf00741_coverage	family_status	best_family	family_margin	classification_reason
nat_ff88219e90de45ec84dd	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	11	Q02235	Q02235	Q02235 gvpj reviewed Gas vesicle protein J	ff88219e90de45ec84dd2bc1e092d7fde0a0818fce8a446c68593fdba772b9ce	114	gvpj		True	gvpj_negative_control	2	cluster_b0f226cab132da339d39	True	54.0	0.9743589743589743	other_gvp	gvpj	68.69999999999999	competitive_gvpj_support;competitive_sequence_agreement
nat_278c7a3fd12af0319695	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	12	Q8XFU1	Q8XFU1	Q8XFU1 gvpa reviewed Gas vesicle protein A	278c7a3fd12af0319695fae40d23ee8f76abf60d19c5e52b3b9dab1e368567ba	71	gvpa		True	high_confidence_gvpa	0	cluster_02e83ad46b86e8eaf5e7	True	59.7	1.0	supported_gvpa	gvpa	79.6	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_cc9d0eca2af440c02e36	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	13	Q8YUT1	Q8YUT1	Q8YUT1 gvpj reviewed Gas vesicle protein J	cc9d0eca2af440c02e366ddad23939383778f34ecc51c22751f53b7c309a636b	148	gvpj		True	gvpj_negative_control	0	cluster_cc9d0eca2af440c02e36	True	60.6	1.0	other_gvp	gvpj	123.8	competitive_gvpj_support;competitive_sequence_agreement
nat_3fb1b2844ab87a8f4a72	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	14	A0A1Q5LR04	A0A1Q5LR04	A0A1Q5LR04 gvpa reviewed Gas vesicle protein A	3fb1b2844ab87a8f4a72239d1dbaef92be3ae9760ba9ae8b474c797e4c6edb12	138	gvpa		True	possible_gvpa	0	cluster_2020b232078a08b4fb2b	True	46.4	0.9743589743589743	unsupported			no_qualified_subfamily_hit
nat_7cb4140e283c8e67ca6a	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	15	A0A1Q5LRA3	A0A1Q5LRA3	A0A1Q5LRA3 gvpj reviewed Gas vesicle protein J	7cb4140e283c8e67ca6abb1b79dfc0e2272a5debe9b87e12d6d8c1a6e4b4b4c8	106	gvpj		True	gvpj_negative_control	1	cluster_04c084aa7034f2b0643c	True	61.7	1.0	other_gvp	gvpj	66.39999999999999	competitive_gvpj_support;competitive_sequence_agreement
nat_0739506f322325ee29fe	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	16	A1UFH1	A1UFH1	A1UFH1 gvpa reviewed Gas vesicle protein A	0739506f322325ee29fe0a7ac885f6cd9f3953ab293e001ca9b5f6b669a02e92	139	gvpa		True	possible_gvpa	0	cluster_0739506f322325ee29fe	True	48.0	0.9743589743589743	unsupported			no_qualified_subfamily_hit
nat_130e62fc868ae20abbc4	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	17	A3PPT5	A3PPT5	A3PPT5 gvpa reviewed Gas vesicle protein A	130e62fc868ae20abbc4d7ff1b393afceecf214e482dae49a68d7adeac27391d	70	gvpa		True	possible_gvpa	2	cluster_08d35b42e1d455774e7b	True	59.9	1.0	unsupported			no_qualified_subfamily_hit
nat_0739506f322325ee29fe	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	18	A3PZ32	A3PZ32	A3PZ32 gvpa reviewed Gas vesicle protein A	0739506f322325ee29fe0a7ac885f6cd9f3953ab293e001ca9b5f6b669a02e92	139	gvpa		True	possible_gvpa	0	cluster_0739506f322325ee29fe	True	48.0	0.9743589743589743	unsupported			no_qualified_subfamily_hit
nat_b1ead8162da63f55d1d6	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	19	A4YMQ7	A4YMQ7	A4YMQ7 gvpa reviewed Gas vesicle protein A	b1ead8162da63f55d1d62aad886afa5920a751a7dc6eeb39d86d3b4805b4f9b8	70	gvpa		True	possible_gvpa	2	cluster_08d35b42e1d455774e7b	True	56.2	1.0	unsupported			no_qualified_subfamily_hit
nat_5bc7120641a4b206dec6	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	20	A5G5E4	A5G5E4	A5G5E4 gvpa reviewed Gas vesicle protein A	5bc7120641a4b206dec615e69a9573322282b0869275b3db5d6e281c748b2aff	72	gvpa		True	high_confidence_gvpa	0	cluster_02e83ad46b86e8eaf5e7	True	55.7	1.0	supported_gvpa	gvpa	76.50000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_307aae2a7a20a7f3cf48	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	21	B2J663	B2J663	B2J663 gvpa reviewed Gas vesicle protein A	307aae2a7a20a7f3cf488cb36e227a148bf49d9b924e9828e229b081cb145d9b	73	gvpa		True	possible_gvpa	1	cluster_10816d30b94e7e319ed1	True	62.6	1.0	unsupported			no_qualified_subfamily_hit
nat_130e62fc868ae20abbc4	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	22	B9KU72	B9KU72	B9KU72 gvpa reviewed Gas vesicle protein A	130e62fc868ae20abbc4d7ff1b393afceecf214e482dae49a68d7adeac27391d	70	gvpa		True	possible_gvpa	2	cluster_08d35b42e1d455774e7b	True	59.9	1.0	unsupported			no_qualified_subfamily_hit
nat_d790919b750d218eb5d2	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	23	O68669	O68669	O68669 gvpj reviewed Gas vesicle protein J	d790919b750d218eb5d2a81709dbf4537308a12575830cb65e20be804dde308b	100	gvpj		True	gvpj_negative_control	1	cluster_8cc50c0228caae3ad7f4	True	58.3	1.0	other_gvp	gvpj	77.1	competitive_gvpj_support;competitive_sequence_agreement
nat_9246ded62fef238baf63	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	24	P0A3G0	P0A3G0	P0A3G0 gvpa reviewed Gas vesicle protein A	9246ded62fef238baf63231483e047bdc014a8a22dd10e95f7999ab152e2ce4c	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	62.7	1.0	supported_gvpa	gvpa	81.19999999999999	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_45ceddea54f47745a1ad	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	25	P22453	P22453	P22453 gvpa reviewed Gas vesicle protein A	45ceddea54f47745a1ad9c65097c2d122a4bd298292f81068539903e0cbdd579	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	63.1	1.0	supported_gvpa	gvpa	80.1	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_68d2bce649ad98618d0c	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	26	P55147	P55147	P55147 gvpj reviewed Gas vesicle protein J	68d2bce649ad98618d0c5d81bf4a729df43c3ac4c0c5d533786cfbd803a7bab7	248	gvpj		True	excluded_or_unresolved	2	cluster_68d2bce649ad98618d0c	True	59.2	1.0	unsupported			no_qualified_subfamily_hit
nat_a82b31e79741cd050299	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	27	P80997	P80997	P80997 gvpa reviewed Gas vesicle protein A Fragment	a82b31e79741cd0502991fe27e413e87f8b2e9e3c0f1a71db7ce5f011cb2b5b2	48	gvpa	empty_or_nonstandard_sequence;incomplete_or_provisional_annotation;length_outside_seed_range	False	excluded_or_unresolved			False		0.0	unsupported			empty_or_nonstandard_sequence;incomplete_or_provisional_annotation;length_outside_seed_range
nat_ee49db0244212648bdd1	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	28	P80998	P80998	P80998 gvpa reviewed Gas vesicle protein A Fragment	ee49db0244212648bdd1fda85e226cd6c0bc04512141e0154eb7083f183b50dd	66	gvpa	incomplete_or_provisional_annotation	False	excluded_or_unresolved	2	cluster_1ca802048c4a6cd9dca3	True	61.6	1.0	unsupported			incomplete_or_provisional_annotation
nat_61a382d08777524701b3	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	29	Q18JA1	Q18JA1	Q18JA1 gvpa reviewed Gas vesicle protein A	61a382d08777524701b3b127d54c55544b762da256e18e1289de6de3ef39b838	72	gvpa		True	high_confidence_gvpa	0	cluster_0da4fc315e8c5fa1925f	True	55.0	1.0	supported_gvpa	gvpa	78.30000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_0739506f322325ee29fe	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	30	Q1B9J2	Q1B9J2	Q1B9J2 gvpa reviewed Gas vesicle protein A	0739506f322325ee29fe0a7ac885f6cd9f3953ab293e001ca9b5f6b669a02e92	139	gvpa		True	possible_gvpa	0	cluster_0739506f322325ee29fe	True	48.0	0.9743589743589743	unsupported			no_qualified_subfamily_hit
nat_3a3fe29b7daaadaf3131	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	31	Q1INZ5	Q1INZ5	Q1INZ5 gvpa reviewed Gas vesicle protein A	3a3fe29b7daaadaf3131edb18ea6ffdc6cb6eef2fb4b06ffffa81866f20a1290	98	gvpa		True	possible_gvpa	1	cluster_3a3fe29b7daaadaf3131	True	62.0	1.0	unsupported			no_qualified_subfamily_hit
nat_91f552b9f84853c37285	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	32	Q2JKK1	Q2JKK1	Q2JKK1 gvpa reviewed Gas vesicle protein A	91f552b9f84853c37285e8ec0883b5170258f814bb6ffb90d6de28cb0f3c10ba	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	59.8	1.0	supported_gvpa	gvpa	79.10000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_91f552b9f84853c37285	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	33	Q2JW39	Q2JW39	Q2JW39 gvpa reviewed Gas vesicle protein A	91f552b9f84853c37285e8ec0883b5170258f814bb6ffb90d6de28cb0f3c10ba	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	59.8	1.0	supported_gvpa	gvpa	79.10000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_130e62fc868ae20abbc4	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	34	Q3IWB1	Q3IWB1	Q3IWB1 gvpa reviewed Gas vesicle protein A	130e62fc868ae20abbc4d7ff1b393afceecf214e482dae49a68d7adeac27391d	70	gvpa		True	possible_gvpa	2	cluster_08d35b42e1d455774e7b	True	59.9	1.0	unsupported			no_qualified_subfamily_hit
nat_44abe1cc1d8456dc6c46	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	35	Q9AKS3	Q9AKS3	Q9AKS3 gvpj reviewed Gas vesicle protein J	44abe1cc1d8456dc6c462ce143d7f209fd9e608e8473013d955291e088b6d3f3	126	gvpj		True	gvpj_negative_control	2	cluster_44abe1cc1d8456dc6c46	True	59.8	1.0	other_gvp	gvpj	93.7	competitive_gvpj_support;competitive_sequence_agreement
nat_e792d56e470aa2d7b441	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	36	Q9R5H8	Q9R5H8	Q9R5H8 gvpa reviewed Gas vesicle protein A Fragment	e792d56e470aa2d7b441c2b489e60c9e318602fa526514f2e3d996cfb341e6f0	47	gvpa	incomplete_or_provisional_annotation;length_outside_seed_range	False	excluded_or_unresolved			True	49.3	0.9743589743589743	unsupported			incomplete_or_provisional_annotation;length_outside_seed_range
nat_a1131689eff9ccc2bc1c	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	37	Q9RH31	Q9RH31	Q9RH31 gvpa reviewed Gas vesicle protein A	a1131689eff9ccc2bc1cb9c6417b27251120988628db25efce7ae158aaecf416	70	gvpa		True	high_confidence_gvpa	0	cluster_02e83ad46b86e8eaf5e7	True	59.5	1.0	supported_gvpa	gvpa	77.6	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_46ff2f844f3caa36357d	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	38	Q9ZC08	Q9ZC08	Q9ZC08 gvpj reviewed Probable gas vesicle protein J1	46ff2f844f3caa36357db11304705d9457ea423b3eec2a0eefd2c53dfaad4273	109	gvpj	incomplete_or_provisional_annotation	False	excluded_or_unresolved			True	61.6	1.0	unsupported			incomplete_or_provisional_annotation
nat_c7ec77b171120a344a06	data/raw/curated/uniprot_reviewed_gvpa_gvpj.fasta	39	Q9ZC13	Q9ZC13	Q9ZC13 gvpa reviewed Gas vesicle protein A1	c7ec77b171120a344a0655a11a6be8d15393039fa176a26181f70ba95432a0e4	144	gvpa		True	possible_gvpa	0	cluster_1928e65272069bd9fa51	True	46.2	0.9743589743589743	unsupported			no_qualified_subfamily_hit
nat_91f552b9f84853c37285	data/raw/t05/gvpa/GvpA_RefSeq.fasta	1	WP_011429717|gvpA|protein	WP_011429717	WP_011429717|gvpA|protein	91f552b9f84853c37285e8ec0883b5170258f814bb6ffb90d6de28cb0f3c10ba	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	59.8	1.0	supported_gvpa	gvpa	79.10000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_b55ecf6ba9a45824ac09	data/raw/t05/gvpa/GvpA_RefSeq.fasta	2	WP_201675936|gvpA|protein	WP_201675936	WP_201675936|gvpA|protein	b55ecf6ba9a45824ac0902d9417c3d45586c40e90b417ea9d3dd2efec02697a5	143	gvpa		True	possible_gvpa	2	cluster_b55ecf6ba9a45824ac09	True	61.8	1.0	unsupported	gvpa	66.7	pf00741_and_competitive_gvpa_support;insufficient_covered_reference_similarity
nat_3a3fe29b7daaadaf3131	data/raw/t05/gvpa/GvpA_RefSeq.fasta	3	WP_011523206|gvpA|protein	WP_011523206	WP_011523206|gvpA|protein	3a3fe29b7daaadaf3131edb18ea6ffdc6cb6eef2fb4b06ffffa81866f20a1290	98	gvpa		True	possible_gvpa	1	cluster_3a3fe29b7daaadaf3131	True	62.0	1.0	unsupported			no_qualified_subfamily_hit
nat_291571f679284e1c6455	data/raw/t05/gvpa/GvpA_RefSeq.fasta	4	WP_212716182|gvpA|protein	WP_212716182	WP_212716182|gvpA|protein	291571f679284e1c6455963717615530ae130d29db41fb93abfacd00fa90ad20	73	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	58.7	0.9743589743589743	supported_gvpa	gvpa	67.6	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_419538444627b50496c7	data/raw/t05/gvpa/GvpA_RefSeq.fasta	5	WP_022949487|gvpA|protein	WP_022949487	WP_022949487|gvpA|protein	419538444627b50496c73c8cf28e7a1950e49971cfa5cb42c07430d39eb23bd3	82	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	54.0	1.0	supported_gvpa	gvpa	67.7	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_d5b00906bcc6e7ee2601	data/raw/t05/gvpa/GvpA_RefSeq.fasta	6	WP_456223989|gvpA|protein	WP_456223989	WP_456223989|gvpA|protein	d5b00906bcc6e7ee2601548874eb49cd8eb278fe52c5928828ab442fa2ac7bd2	86	gvpa		True	high_confidence_gvpa	0	cluster_00eda75e8d86c0000a3e	True	55.0	1.0	supported_gvpa	gvpa	71.1	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_cd15fd2a214ac9570bfd	data/raw/t05/gvpa/GvpA_RefSeq.fasta	7	WP_233491533|gvpA|protein	WP_233491533	WP_233491533|gvpA|protein	cd15fd2a214ac9570bfd13751ddd824061d5d55bc28fc3df3c1367b97c80a108	83	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	56.2	1.0	supported_gvpa	gvpa	69.7	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_771e7534b299c23ea1f3	data/raw/t05/gvpa/GvpA_RefSeq.fasta	8	WP_207637540|gvpA|protein	WP_207637540	WP_207637540|gvpA|protein	771e7534b299c23ea1f3fc11e557badf6e75402cafa8692f174709dbd4f60e34	74	gvpa		True	possible_gvpa	1	cluster_31bb770684ff35b24094	True	54.2	1.0	unsupported			no_qualified_subfamily_hit
nat_b017d8236271e13a1522	data/raw/t05/gvpa/GvpA_RefSeq.fasta	9	WP_316679069|gvpA|protein	WP_316679069	WP_316679069|gvpA|protein	b017d8236271e13a1522a8ef3c3e41b212de7d09a483ea1ebbfd4dee7dac5625	116	gvpa		True	possible_gvpa	1	cluster_b017d8236271e13a1522	True	52.2	1.0	unsupported			no_qualified_subfamily_hit
nat_eccab6536bed142192aa	data/raw/t05/gvpa/GvpA_RefSeq.fasta	10	WP_213372596|gvpA|protein	WP_213372596	WP_213372596|gvpA|protein	eccab6536bed142192aa8ae35f75a35f64e1e978ec751eee4b6251731c6ee4f8	70	gvpa		True	high_confidence_gvpa	0	cluster_02e83ad46b86e8eaf5e7	True	59.5	1.0	supported_gvpa	gvpa	78.19999999999999	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_be9809bb1f91644c1e43	data/raw/t05/gvpa/GvpA_RefSeq.fasta	11	WP_007357596|gvpA|protein	WP_007357596	WP_007357596|gvpA|protein	be9809bb1f91644c1e431f6b48e4a4183d550ce2f80f162d11f698b4c92e1824	72	gvpa		True	high_confidence_gvpa	0	cluster_1589f15763a3b3a0bf84	True	62.6	1.0	supported_gvpa	gvpa	83.4	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_622c716866d2133b80f2	data/raw/t05/gvpa/GvpA_RefSeq.fasta	12	WP_265902100|gvpA|protein	WP_265902100	WP_265902100|gvpA|protein	622c716866d2133b80f2821fd0bc4b15c8a3872f04f569b358001ba249e094bc	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	59.1	1.0	supported_gvpa	gvpa	84.00000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_bbaedab282a048e849b5	data/raw/t05/gvpa/GvpA_RefSeq.fasta	13	WP_449053447|gvpA|protein	WP_449053447	WP_449053447|gvpA|protein	bbaedab282a048e849b5f7ba2a3fd16f9f5e2f612426ba2ccdfdd490ac6b80dc	92	gvpa		True	possible_gvpa	2	cluster_21fd512873a52dc47991	True	54.9	1.0	gvpa_gvpj_ambiguous	gvpa	62.49999999999999	pf00741_and_competitive_gvpa_support;insufficient_sequence_competitive_margin
nat_d9b32c93cd099c72a956	data/raw/t05/gvpa/GvpA_RefSeq.fasta	14	WP_446859740|gvpA|protein	WP_446859740	WP_446859740|gvpA|protein	d9b32c93cd099c72a9565d0d1d751944285fef4f2523b73e02fca6dad757ad3d	72	gvpa		True	high_confidence_gvpa	0	cluster_1589f15763a3b3a0bf84	True	61.5	1.0	supported_gvpa	gvpa	82.5	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_fd161dfe59366687c2f2	data/raw/t05/gvpa/GvpA_RefSeq.fasta	15	WP_017721733|gvpA|protein	WP_017721733	WP_017721733|gvpA|protein	fd161dfe59366687c2f2851a7085607a1a49850277ce6c989d8f377546025ebe	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	52.8	1.0	supported_gvpa	gvpa	85.7	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_2e707b0ae8b0c69feb2e	data/raw/t05/gvpa/GvpA_RefSeq.fasta	16	WP_017721725|gvpA|protein	WP_017721725	WP_017721725|gvpA|protein	2e707b0ae8b0c69feb2eb75166178922a33851e0022ed4c173447055ed769eb8	72	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	53.8	1.0	supported_gvpa	gvpa	85.5	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_39696a92cfeac6f208a2	data/raw/t05/gvpa/GvpA_RefSeq.fasta	17	WP_004056706|gvpA|protein	WP_004056706	WP_004056706|gvpA|protein	39696a92cfeac6f208a255a5ec1c7cae2a4ce2a68c1bd57acb083ca27b8585bb	78	gvpa		True	high_confidence_gvpa	2	cluster_04e4c15b93bd18832d36	True	53.6	1.0	supported_gvpa	gvpa	71.30000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_7577017d2109753dbbe7	data/raw/t05/gvpa/GvpA_RefSeq.fasta	18	WP_394584192|gvpA|protein	WP_394584192	WP_394584192|gvpA|protein	7577017d2109753dbbe7029d3485d0d19c0610f0a962738329206f6c25a2e3bc	97	gvpa		True	possible_gvpa	1	cluster_0283d587032de178b666	True	59.4	1.0	gvpa_gvpj_ambiguous	gvpa	83.6	pf00741_and_competitive_gvpa_support;insufficient_sequence_competitive_margin
nat_a36a3359d46f89a3e9c6	data/raw/t05/gvpa/GvpA_RefSeq.fasta	19	WP_138244856|gvpA|protein	WP_138244856	WP_138244856|gvpA|protein	a36a3359d46f89a3e9c6d339b24da5b9e7b56e875526568f984c4d9d61c9bfca	93	gvpa		True	high_confidence_gvpa	0	cluster_00058845722df3ede422	True	60.0	1.0	supported_gvpa	gvpa	70.4	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_5d20e8974d28b202ff3e	data/raw/t05/gvpa/GvpA_RefSeq.fasta	20	WP_427576720|gvpA|protein	WP_427576720	WP_427576720|gvpA|protein	5d20e8974d28b202ff3e6522190fdbf27c7ec35790b334b7bfc0964dd160f003	88	gvpa		True	high_confidence_gvpa	0	cluster_00eda75e8d86c0000a3e	True	57.1	1.0	supported_gvpa	gvpa	67.3	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_728d4a20bb169ff7ae28	data/raw/t05/gvpa/GvpA_RefSeq.fasta	21	WP_427090790|gvpA|protein	WP_427090790	WP_427090790|gvpA|protein	728d4a20bb169ff7ae2861700c0866b80279630b2ad500072229c4d700f14351	92	gvpa		True	high_confidence_gvpa	2	cluster_21fd512873a52dc47991	True	54.9	1.0	supported_gvpa	gvpa	63.4	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_b3e7eac10f741058a688	data/raw/t05/gvpa/GvpA_RefSeq.fasta	22	WP_426749826|gvpA|protein	WP_426749826	WP_426749826|gvpA|protein	b3e7eac10f741058a688bc7d62c0f50b5a15ad09caae40e59b5e7155d1011066	74	gvpa		True	high_confidence_gvpa	0	cluster_044b97bbcc6fc75d19af	True	54.9	0.9487179487179487	supported_gvpa	gvpa	64.30000000000001	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement
nat_b06d07bf5a6f8cc59b30	data/raw/t05/gvpa/GvpA_RefSeq.fasta	23	WP_426659139|gvpA|protein	WP_426659139	WP_426659139|gvpA|protein	b06d07bf5a6f8cc59b307cc74668a4565b178a5b51a0e3498d4c26987650035e	92	gvpa		True	possible_gvpa	2	cluster_21fd512873a52dc47991	True	54.9	1.0	gvpa_gvpj_ambiguous	gvpa	60.99999999999999	pf00741_and_competitive_gvpa_support;insufficient_sequence_competitive_margin
