reference_id	annotated_family	cluster_id	fold	reviewed_anchor	profile_representative
nat_ee49db0244212648bdd1	gvpa	cluster_1ca802048c4a6cd9dca3	2	False	False
nat_61a382d08777524701b3	gvpa	cluster_0da4fc315e8c5fa1925f	0	True	True
nat_3a3fe29b7daaadaf3131	gvpa	cluster_3a3fe29b7daaadaf3131	1	True	True
nat_91f552b9f84853c37285	gvpa	cluster_044b97bbcc6fc75d19af	0	True	False
nat_44abe1cc1d8456dc6c46	gvpj	cluster_44abe1cc1d8456dc6c46	2	True	True
nat_a1131689eff9ccc2bc1c	gvpa	cluster_02e83ad46b86e8eaf5e7	0	True	False
nat_c7ec77b171120a344a06	gvpa	cluster_1928e65272069bd9fa51	0	True	True
nat_b55ecf6ba9a45824ac09	gvpa	cluster_b55ecf6ba9a45824ac09	2	False	False
nat_291571f679284e1c6455	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_419538444627b50496c7	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_d5b00906bcc6e7ee2601	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_cd15fd2a214ac9570bfd	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_771e7534b299c23ea1f3	gvpa	cluster_31bb770684ff35b24094	1	False	False
nat_b017d8236271e13a1522	gvpa	cluster_b017d8236271e13a1522	1	False	False
nat_eccab6536bed142192aa	gvpa	cluster_02e83ad46b86e8eaf5e7	0	False	False
nat_be9809bb1f91644c1e43	gvpa	cluster_1589f15763a3b3a0bf84	0	False	False
nat_622c716866d2133b80f2	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_bbaedab282a048e849b5	gvpa	cluster_21fd512873a52dc47991	2	False	False
nat_d9b32c93cd099c72a956	gvpa	cluster_1589f15763a3b3a0bf84	0	False	False
nat_fd161dfe59366687c2f2	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_2e707b0ae8b0c69feb2e	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_7577017d2109753dbbe7	gvpa	cluster_0283d587032de178b666	1	False	False
nat_a36a3359d46f89a3e9c6	gvpa	cluster_00058845722df3ede422	0	False	False
nat_5d20e8974d28b202ff3e	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_728d4a20bb169ff7ae28	gvpa	cluster_21fd512873a52dc47991	2	False	False
nat_b3e7eac10f741058a688	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_b06d07bf5a6f8cc59b30	gvpa	cluster_21fd512873a52dc47991	2	False	False
nat_9896810d394d4d1edf15	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_910f1df4ae7a7e4e1292	gvpa	cluster_11170a4c1f77a2510e97	2	False	False
nat_17718ba432b9ffbaf06b	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_ac016806c065e58141c3	gvpa	cluster_0283d587032de178b666	1	False	False
nat_0fc8bfe28907ef9fa5eb	gvpa	cluster_0b5cd7683d0975317579	2	False	False
nat_58552353178d8fa2f36f	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_9a9380d4b10b8ef49e08	gvpa	cluster_0283d587032de178b666	1	False	False
nat_969159e68bc0479327cf	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_484b097725196d6613d9	gvpa	cluster_0ec42fc31cce1915953a	2	False	False
nat_8d9ebc646f6fec623f00	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_54de16dcd0555acdee27	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_7cb4966ababb293a7db4	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_4c06fdcd9b94ab517ef7	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_de1520359c3cd2badb80	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_49d3875a5ef4bbb644f9	gvpa	cluster_00058845722df3ede422	0	False	False
nat_1e070d0d2387bb202235	gvpa	cluster_1e070d0d2387bb202235	0	False	False
nat_38cb7bda240a833d36b3	gvpa	cluster_00058845722df3ede422	0	False	False
nat_3dcd4bf22b7bbdb49d82	gvpa	cluster_00058845722df3ede422	0	False	False
nat_8f3e753527c876cd94f0	gvpa	cluster_00058845722df3ede422	0	False	False
nat_a36db64a1cae19ba84f5	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_8029e604ce9dbbf533bc	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_a95d48deca9746ef575e	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_8f7aa09afb9d7c3cc2eb	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_c0e3f34d82aab8fda872	gvpa	cluster_0b5cd7683d0975317579	2	False	False
nat_144165ea4d3ea8a64b2e	gvpa	cluster_00058845722df3ede422	0	False	False
nat_86d5d5d3761caa2bee10	gvpa	cluster_00b8d6bdf51c5322f38c	1	False	False
nat_bb973ad514bc9a8e4071	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_d5c2d4101839c4dee9b6	gvpa	cluster_0da4fc315e8c5fa1925f	0	False	False
nat_13dff233b6dfd04cb79c	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_f5db5c4704d592f947d9	gvpa	cluster_00058845722df3ede422	0	False	False
nat_5ce032d4beb5b5581c61	gvpa	cluster_06a18e8f389879fa7357	2	False	False
nat_137eb09d8ee303361664	gvpa	cluster_034d9111e895aa2cb4fa	1	False	False
nat_d405e6b9ae2292467032	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_41af882b944a1fc500db	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_911977f51fb32fb01946	gvpa	cluster_0283d587032de178b666	1	False	False
nat_ffef1b1b441fdc15ea9c	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_b65132e25cc65ac0170d	gvpa	cluster_0283d587032de178b666	1	False	False
nat_908def535fa98fa36b50	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_e6ccc21f1ec1a2362fcf	gvpa	cluster_11170a4c1f77a2510e97	2	False	False
nat_a66f240c8435d5f7eedc	gvpa	cluster_11170a4c1f77a2510e97	2	False	False
nat_a30535db979f7cb9b9d1	gvpa	cluster_21fd512873a52dc47991	2	False	False
nat_f0b585defb33f68b9eec	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_6ab091088c0d2085f193	gvpa	cluster_0283d587032de178b666	1	False	False
nat_cdcb9ea08084d402155d	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_e70eb92ab459701dc753	gvpa	cluster_0283d587032de178b666	1	False	False
nat_805855d37a367a5867e3	gvpa	cluster_805855d37a367a5867e3	1	False	False
nat_499d1d5d62f7019687f3	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_fe5639b3f6715383286a	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_6b64acdf3f40fdffd144	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_fa3ceb760df75c71ed08	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_353e9d0dff81158687ff	gvpa	cluster_0283d587032de178b666	1	False	False
nat_45c7c948c17d40fffc2f	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_8400e38ff12b62b40e03	gvpa	cluster_11170a4c1f77a2510e97	2	False	False
nat_76384a42f96a6dc0ed31	gvpa	cluster_11170a4c1f77a2510e97	2	False	False
nat_1d2eaab6bc1405efd0c8	gvpa	cluster_11170a4c1f77a2510e97	2	False	False
nat_967e2f04e468a1a875d9	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_26dd9c3e80f115461010	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_71f9753012b6644cf772	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_8be2e14f0153cb01c7e8	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_4076ee92571a9babe66f	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_b38024f0aba86f47c4ad	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_24eac37b8142531de647	gvpa	cluster_10268ee8450e0bb5a453	2	False	False
nat_651deda52eb485d5380e	gvpa	cluster_2a7c812c0104b829da2d	2	False	False
nat_c306fc2a612dcf796388	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_81c3c33e1052ca11c9fd	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_58de098a6c8aae0513de	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_531760bd0ae2999dbf0a	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_18aeb74e18302803a1f0	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_27cfc6c7874687adce98	gvpa	cluster_27cfc6c7874687adce98	0	False	False
nat_83d86218590801baa4be	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_fc382b09fdd1c909c75c	gvpa	cluster_200ecff40f6b83ca60f9	2	False	False
nat_cee0ef3ec2a72c042398	gvpa	cluster_21fd512873a52dc47991	2	False	False
nat_fd49c343614a605c0f40	gvpa	cluster_09f47a4c9a94b657ae7d	0	False	False
nat_90c029da4514f00630c7	gvpa	cluster_11170a4c1f77a2510e97	2	False	False
nat_9ba976654c95d4d9fd8f	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_6507b3f9f58ef91ab9d8	gvpa	cluster_0283d587032de178b666	1	False	False
nat_4482775e0979509e45d2	gvpa	cluster_00058845722df3ede422	0	False	False
nat_db2cdf073eed6ed31349	gvpa	cluster_0283d587032de178b666	1	False	False
nat_35226954812d95b1eb87	gvpa	cluster_02e83ad46b86e8eaf5e7	0	False	False
nat_0283d587032de178b666	gvpa	cluster_0283d587032de178b666	1	False	False
nat_628577dc37636bc0384e	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_34e541178b7b0b894972	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_5c686c3d3778ea9403cd	gvpa	cluster_0283d587032de178b666	1	False	False
nat_d7b124bfad426ab2d29d	gvpa	cluster_08d35b42e1d455774e7b	2	False	False
nat_f454f2a56d9c1f348b1d	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_19cd7b61a586d4e4fed8	gvpa	cluster_0844cfaee9f234d540b5	0	False	False
nat_a62ba34ed245e06a2975	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_b57946b3f69a165a3268	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_0b5cd7683d0975317579	gvpa	cluster_0b5cd7683d0975317579	2	False	False
nat_9683dd0b519eaf04d743	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_7c8675813e4623763282	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_edc787924d6392f7c1f5	gvpa	cluster_00058845722df3ede422	0	False	False
nat_b7662fa2f5d44aa0d6b4	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_f65654f9aa3b69f34daa	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_51223251df1314e3c9ba	gvpa	cluster_1589f15763a3b3a0bf84	0	False	False
nat_1ca802048c4a6cd9dca3	gvpa	cluster_1ca802048c4a6cd9dca3	2	False	False
nat_e9d0d8807aee29d8e61c	gvpa	cluster_02e83ad46b86e8eaf5e7	0	False	False
nat_62e969f9025127736826	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_a8c546bb807cbf441766	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_9caabe5dd41114f54d71	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_39cf0fd21702af1ff2b1	gvpa	cluster_02e83ad46b86e8eaf5e7	0	False	False
nat_ce84140595a3625becb8	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_4a871af101af640b6e2c	gvpa	cluster_0283d587032de178b666	1	False	False
nat_ced70fa1ad4dcaf12a7b	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_de6e45b17a1efe79f377	gvpa	cluster_02e83ad46b86e8eaf5e7	0	False	False
nat_b669abd036c50b376c62	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_bf9d9ac4b0e25cbc2e14	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_3f2cb7eca6dff49eb9eb	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_44a44809c7c1d751ebce	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_1a1b9a1e258a11254cb4	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_387a1a5b990d83c80a60	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_6cd6a14977934f64979a	gvpa	cluster_0b5cd7683d0975317579	2	False	False
nat_86ebca091b9272e65750	gvpa	cluster_0b5cd7683d0975317579	2	False	False
nat_c88f9ffff90291b15602	gvpa	cluster_08d35b42e1d455774e7b	2	False	False
nat_72cdd34cb274da9e5e19	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_10268ee8450e0bb5a453	gvpa	cluster_10268ee8450e0bb5a453	2	False	False
nat_ae37005a67bc5cb2b176	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_e8c5de40001b59b84f30	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_3426f2b4953d2172f209	gvpa	cluster_02e83ad46b86e8eaf5e7	0	False	False
nat_fa062766acc141ed13ab	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_6f227f789b114508ea99	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_56d5d14e5f958bb848ef	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_819e640008ab1349cc70	gvpa	cluster_1589f15763a3b3a0bf84	0	False	False
nat_63d39c2e5861daa31f41	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_6d06213120173a755e9b	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_0844cfaee9f234d540b5	gvpa	cluster_0844cfaee9f234d540b5	0	False	False
nat_271291dc0f72accfac60	gvpa	cluster_0844cfaee9f234d540b5	0	False	False
nat_f977e0ce7c4a878af278	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_07561c65a5d37a8aa878	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_73e0b5aa88a198c56cae	gvpa	cluster_00058845722df3ede422	0	False	False
nat_cd0ec9cc83e20bd818b3	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_ad18f8d7fabecf9750fb	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_76418c5d471b2873e6bf	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_7801d96d034213cf08c8	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_b9d147aeaac9ffa9d0f3	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_824a3264c546dbd7013f	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_b34a5f1cebe7f342dc3f	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_354eeee0be3f0383107b	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_f2eb1efff0bc22bf511d	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_2b3e3d2d5bed050505a1	gvpa	cluster_205609067b26bcd62eb1	2	False	False
nat_7d8f193406ee761e1417	gvpa	cluster_00058845722df3ede422	0	False	False
nat_61cb6f10b13fb11f910f	gvpa	cluster_0283d587032de178b666	1	False	False
nat_b81aa32b17d671599bc2	gvpa	cluster_0b3f3bf863a3ef16a85e	1	False	False
nat_42ca32a46ff9fbfe04b0	gvpa	cluster_0283d587032de178b666	1	False	False
nat_a6d518bf56b5cafab96a	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_509311e69b214d9f94e7	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_f87e80c34ba5c8c8909b	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_7a296141a2788c2145e9	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_38b03f42eea75fbcc3e0	gvpa	cluster_200ecff40f6b83ca60f9	2	False	False
nat_38a86b2caad8351d20f8	gvpa	cluster_02e83ad46b86e8eaf5e7	0	False	False
nat_4ba0a2c8ff48af80e17e	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_63e94d96149b61e3547f	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_1221e51a70c9226dfb5b	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_4f76b230eb60279eb5dd	gvpa	cluster_00058845722df3ede422	0	False	False
nat_044a3e6477173de21b19	gvpa	cluster_044a3e6477173de21b19	2	False	False
nat_7d8900b1fc48c317aebb	gvpa	cluster_00b8d6bdf51c5322f38c	1	False	False
nat_044652cd2d2677de71ee	gvpa	cluster_0283d587032de178b666	1	False	False
nat_6b94719ca1a990ee1d8f	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_943ce15fb7773fa3a769	gvpa	cluster_00058845722df3ede422	0	False	False
nat_970873de163a6ff8ee05	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_b258e8dfa1451eaa6d09	gvpa	cluster_00b8d6bdf51c5322f38c	1	False	False
nat_2395590053bc57a3bac9	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_37f01da4a984c4443e1d	gvpa	cluster_00b8d6bdf51c5322f38c	1	False	False
nat_70724efd897d81dc16e2	gvpa	cluster_0a9ee98cbcc2eabfac38	1	False	False
nat_0dcb405a364eae4db9c2	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_440c141d3d83ed043c33	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_36d36d0c4f52b3ab32d3	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_476885d73f2103224b29	gvpa	cluster_02e83ad46b86e8eaf5e7	0	False	False
nat_4b81ad5ffa833d3eb412	gvpa	cluster_00b8d6bdf51c5322f38c	1	False	False
nat_875f973318346cb3195c	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_00b8d6bdf51c5322f38c	gvpa	cluster_00b8d6bdf51c5322f38c	1	False	False
nat_4ce0c5155ea4669922bc	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_5d20f105b230fcb464d1	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_92d7d81f95603487cd9c	gvpa	cluster_00058845722df3ede422	0	False	False
nat_d510c78ee6fcdf216c53	gvpa	cluster_08d35b42e1d455774e7b	2	False	False
nat_699456ca14dc91b53082	gvpa	cluster_0b3f3bf863a3ef16a85e	1	False	False
nat_4f811102c58fb8e77080	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_d8adf42b87bd05b02f3c	gvpa	cluster_08d35b42e1d455774e7b	2	False	False
nat_b47c8eec954491beb714	gvpa	cluster_00058845722df3ede422	0	False	False
nat_ce3165ca201b0c8e2c6c	gvpa	cluster_00eda75e8d86c0000a3e	0	False	False
nat_99653906bbbaa3567e58	gvpa	cluster_8892cc08df511f644bcf	0	False	False
nat_286c7b97c4455a336f39	gvpa	cluster_00b8d6bdf51c5322f38c	1	False	False
nat_bb09971e1315fce64b6e	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_0e91ce29d8018f1f6bc6	gvpa	cluster_044b97bbcc6fc75d19af	0	False	False
nat_731f8990c8cbea086350	gvpa	cluster_10816d30b94e7e319ed1	1	False	False
nat_004ac783975534947324	gvpa	cluster_00058845722df3ede422	0	False	False
nat_07f90c8c92dbdb92b94e	gvpa	cluster_00058845722df3ede422	0	False	False
nat_5c03f7861ccf36dc0533	gvpa	cluster_00058845722df3ede422	0	False	False
nat_4cea385a8794a0b112c3	gvpa	cluster_00058845722df3ede422	0	False	False
nat_4e9e86277af05dbd050d	gvpa	cluster_00058845722df3ede422	0	False	False
nat_65113288b099887ef152	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_0a6194eed91a047cb43e	gvpa	cluster_00058845722df3ede422	0	False	False
nat_ea5746ec582bf06f4e03	gvpa	cluster_3e013aaa6defa9421798	0	False	False
nat_1a264ded2f369ea42fdd	gvpa	cluster_00058845722df3ede422	0	False	False
nat_edf12e96625a3cd49854	gvpa	cluster_00058845722df3ede422	0	False	False
nat_d9b751580230ca0e5773	gvpa	cluster_d9b751580230ca0e5773	2	False	False
nat_4d4e00d31d935ed0527d	gvpa	cluster_00058845722df3ede422	0	False	False
nat_0f59cf2a0c4bb65bd343	gvpa	cluster_0a9ee98cbcc2eabfac38	1	False	False
nat_4132d6e9996d37d7483a	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_fca422d4ddd5dcd65605	gvpa	cluster_00058845722df3ede422	0	False	False
nat_d4bbfd09a62903f1dd61	gvpa	cluster_00058845722df3ede422	0	False	False
nat_fd90bc846ac4fc169df6	gvpa	cluster_d9b751580230ca0e5773	2	False	False
nat_6cb2a4a67fad0b3f22b1	gvpa	cluster_0da4fc315e8c5fa1925f	0	False	False
nat_340bf83afc765d1b00fd	gvpa	cluster_1e070d0d2387bb202235	0	False	False
nat_833a1708482ad34125e2	gvpa	cluster_00058845722df3ede422	0	False	False
nat_0aeb545239a28bae61f9	gvpa	cluster_00058845722df3ede422	0	False	False
nat_ce5dc523b5749c0ad99a	gvpa	cluster_320fa412f1f1ad675d12	0	False	False
nat_9fda348180c612303cdb	gvpa	cluster_00058845722df3ede422	0	False	False
nat_db4cf6e6d1d54bfb2db9	gvpa	cluster_db4cf6e6d1d54bfb2db9	1	False	False
nat_0145b7d0415b25474bf7	gvpa	cluster_00058845722df3ede422	0	False	False
nat_64b87c36790fe3acd4ba	gvpa	cluster_00058845722df3ede422	0	False	False
nat_0da4fc315e8c5fa1925f	gvpa	cluster_0da4fc315e8c5fa1925f	0	False	False
nat_62b65b4bdaad5382b6fd	gvpa	cluster_0da4fc315e8c5fa1925f	0	False	False
nat_644a625ed987b37152d8	gvpa	cluster_0da4fc315e8c5fa1925f	0	False	False
nat_3dd2d389f45d6f0511d2	gvpa	cluster_3dd2d389f45d6f0511d2	2	False	False
nat_bf00fc1bb4a6bea076a5	gvpa	cluster_00058845722df3ede422	0	False	False
nat_1f1d6fdb82f348ed948e	gvpa	cluster_00058845722df3ede422	0	False	False
nat_bc5cdb91e80e5d33bb26	gvpa	cluster_034d9111e895aa2cb4fa	1	False	False
nat_fe2e069c7d192a9aa4be	gvpa	cluster_00058845722df3ede422	0	False	False
nat_7b672bf4b057eba2ffac	gvpa	cluster_7b672bf4b057eba2ffac	2	False	False
nat_98f6b86d7ec22351f587	gvpa	cluster_200ecff40f6b83ca60f9	2	False	False
nat_dc2b0da282a1a334132b	gvpa	cluster_0a9ee98cbcc2eabfac38	1	False	False
nat_eb796c25a48cdf2ca2d4	gvpa	cluster_00058845722df3ede422	0	False	False
nat_c0248ec199ed97e6d9ee	gvpa	cluster_c0248ec199ed97e6d9ee	1	False	False
nat_4a87fc740463a61b2d05	gvpa	cluster_3dd2d389f45d6f0511d2	2	False	False
nat_b9de124a92fba0281b06	gvpa	cluster_00058845722df3ede422	0	False	False
nat_140f5823a50b88bf41c9	gvpa	cluster_00058845722df3ede422	0	False	False
nat_461115b7000bfd74f566	gvpa	cluster_00058845722df3ede422	0	False	False
nat_941dc16f5af7d70127ae	gvpa	cluster_0e5f42f63b697d7ae252	1	False	False
nat_bc61cfaf37743c96bcc0	gvpa	cluster_04e4c15b93bd18832d36	2	False	False
nat_fa2383cbfbff83286c61	gvpa	cluster_00058845722df3ede422	0	False	False
nat_0ae199fc6d044a2da135	gvpa	cluster_00058845722df3ede422	0	False	False
nat_dca06c4ca76aafac96e9	gvpa	cluster_00058845722df3ede422	0	False	False
nat_c7cb28cf54b6a88ff785	gvpa	cluster_00058845722df3ede422	0	False	False
nat_5577d4ac8367231fcec5	gvpa	cluster_3dd2d389f45d6f0511d2	2	False	False
nat_c5a4c69d0879da5e6614	gvpa	cluster_0a5813d34fb4f832fd7d	2	False	False
nat_d6e9dabc7155ae370ddb	gvpa	cluster_00058845722df3ede422	0	False	False
nat_05a00477d12701f3890c	gvpa	cluster_00058845722df3ede422	0	False	False
nat_75679c0d4db585656573	gvpa	cluster_00058845722df3ede422	0	False	False
nat_2ef2790cebd0bc14e528	gvpa	cluster_0e5f42f63b697d7ae252	1	False	False
nat_8d29ff35edf68fc809de	gvpa	cluster_00058845722df3ede422	0	False	False
nat_ee10b37a92559cba1989	gvpa	cluster_00058845722df3ede422	0	False	False
nat_f49fe3672d6fdfda7cc7	gvpa	cluster_00058845722df3ede422	0	False	False
nat_53979ea823175001b77b	gvpa	cluster_0a5813d34fb4f832fd7d	2	False	False
nat_84eddb9c9ecca10afd5a	gvpa	cluster_84eddb9c9ecca10afd5a	0	False	False
nat_a7791ad55c70e7fd3462	gvpa	cluster_00058845722df3ede422	0	False	False
nat_b28a6bed955c267791e6	gvpa	cluster_3dd2d389f45d6f0511d2	2	False	False
nat_e38f9994094842734a96	gvpa	cluster_034d9111e895aa2cb4fa	1	False	False
nat_a7ccf9f8dd2634fb8865	gvpa	cluster_034d9111e895aa2cb4fa	1	False	False
nat_2257aec2c4abeff42ec4	gvpa	cluster_00058845722df3ede422	0	False	False
nat_0a5813d34fb4f832fd7d	gvpa	cluster_0a5813d34fb4f832fd7d	2	False	False
nat_a49cfe7d33cec22c3905	gvpa	cluster_00058845722df3ede422	0	False	False
nat_36bb407811468e3b13d9	gvpa	cluster_00058845722df3ede422	0	False	False
nat_cc5d159ca664e171159f	gvpa	cluster_034d9111e895aa2cb4fa	1	False	False
