sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status
vae_candidate_000011	24b09a5248405b355eb4d0b6991ba31b2f411e7b5d8bf571eca66ada82f24a35	True	False	eos	77	76	True	False	False	False	True	0.03095272747394158	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000012	2209f26349121f51c2d50683bbc79b7adb39ee0a2efe92458c2e1ef8796ccd49	True	False	eos	145	144	True	False	False	False	True	0.02023316961984231	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000013	ff9300d2e2aef7175b58962087d76f8ea3405cf2208df6619ad6adb51165ea90	True	False	eos	168	167	True	False	False	False	True	0.04030616886892806	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000014	bb134afc34d6066647b4fd569d5bde33baa5bfb45b52bbcbdd9b81dcc82ecc4d	True	False	eos	138	137	True	False	False	False	True	0.018715461254209063	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000015	3bc2916e02c2a9414da1e3e8711361a2763804f0ec0cf9acf141efc580f8d86f	True	False	eos	140	139	True	False	False	False	True	0.025422015427289085	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000016	0b5eb08f6eb332ce200c2fd9b6660662a77c6852f167a615c09a962dc0375a6d	False	True	length_cap	180	180	True	False	True	False	True	0.07926990621295985	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning;generation_cap_warning	composition_outlier_warning;generation_cap_warning		excluded	unsupported	fail
vae_candidate_000017	9c8ab771bfd794b1aa7ee69ee0f37530f57d5e5486e05a9672da5e3cd28c44cd	True	False	eos	96	95	True	False	False	False	True	0.04825360976372195	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 23, ""end"": 29, ""length"": 7, ""residue"": ""G""}]"	True	False	[]	True	homopolymer_warning	homopolymer_warning		excluded	unsupported	fail
vae_candidate_000018	9903c0f8a58dfda520537020603f08a1e3bc0841c86ce6cda9c792ef6b8aecc3	True	False	eos	99	98	True	False	False	False	True	0.03830109792884931	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000019	61e1b7b4d9c8bbeaf13620a1de72d366d0d9d05983b9ea1c0889f6bbc693f8bb	True	False	eos	72	71	True	False	False	False	True	0.06971136078441709	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000020	ae8c524e0e385be95a4a7dd5c033ce06143a99f3991eb736fd2152038c13221e	True	False	eos	108	107	True	False	False	False	True	0.019250950390677667	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000021	55cbcdd2143ac3b0c8f48d84b7f3d3c6bd2088f63ca032dbd1acc5997b0b2c7c	True	False	eos	96	95	True	False	False	False	True	0.0745365628885244	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 7, ""end"": 15, ""length"": 9, ""residue"": ""G""}]"	True	False	[]	True	composition_outlier_warning;homopolymer_warning	composition_outlier_warning;homopolymer_warning		excluded	unsupported	fail
vae_candidate_000022	5a5f5864f1c94e79295a9d04601ea627af0ffc066c1e4684e1605f4910b6bbdd	True	False	eos	142	141	True	False	False	False	True	0.05164996713497032	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000023	227f5f85d2c1ea30fe2c2f81ec23bce8f21c213023c3c31841a36300d2234799	True	False	eos	134	133	True	False	False	False	True	0.036896639765779844	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000024	1b63af6e39e9be1d0aa5db5825c7af6661efdf4146993b28e176f1e985962e8c	True	False	eos	143	142	True	False	False	False	True	0.034041604518058745	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 132, ""end"": 138, ""length"": 7, ""residue"": ""R""}]"	True	False	[]	True	homopolymer_warning	homopolymer_warning		excluded	unsupported	pass
vae_candidate_000025	826b8e1b9ae33fb6a5f6a3bc529102bf8ff631873ffce76f6ce8d0c277a910e4	True	False	eos	104	103	True	False	False	False	True	0.03358054254684963	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000026	5fe8efcab91f21567b128757d6c5991e38b1a633279bb4d4253b2c5351192869	True	False	eos	126	125	True	False	False	False	True	0.03386638619797188	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000027	3f0375f4b3dc4aee1d00c8b20d4905dcb41ea55006a8d50484456911662079cd	True	False	eos	75	74	True	False	False	False	True	0.03103541623970811	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000028	24df65b3d09872e03a9c1ab0952689b0946af28146612cb127f5146fc56f1786	True	False	eos	128	127	True	False	False	False	True	0.03378132842732675	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000029	3242d585e56968b6b6d3779a84c6879dd2750e5c60057092d7c0c3c71bae79ae	True	False	eos	91	90	True	False	False	False	True	0.01872127449664669	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000030	7b6599f29821f4fc26f818b6b609f681c067638b47fa0164a89a5ae71f8f978c	True	False	eos	100	99	True	False	False	False	True	0.03418009678146153	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000031	f27ccf550975b33eec059d426fa034dff85a85e0b929a62625b3bbddf9d79a26	True	False	eos	75	74	True	False	False	False	True	0.0523361627300771	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000032	e44eaae089f627a5f9e9d800adbf5abc109a4bf622b625468f765a919c99cdbb	True	False	eos	98	97	True	False	False	False	True	0.018226192226394055	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000033	fd0a65a97f33b3d0e714436d62781b63acf04ba867775752865c7f294369b2ea	True	False	eos	124	123	True	False	False	False	True	0.05568195516186458	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000034	36662d33f08471ea31758b191a75d6473722ebfb5002258e1899528823e73149	True	False	eos	93	92	True	False	False	False	True	0.01409890524684084	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000035	2c09b2f6ce4b2ca918c815965f1d36c90b04ec1a900a04e4644541b3f1ad9a6e	True	False	eos	96	95	True	False	False	False	True	0.040349181526233124	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000036	20ef141b558e1fc9742ce427b9de2fb2b223aca7b7a9aefff8c89a24cbcaf39b	True	False	eos	101	100	True	False	False	False	True	0.08668766484575738	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 69, ""end"": 77, ""length"": 9, ""residue"": ""G""}]"	True	False	[]	True	composition_outlier_warning;homopolymer_warning	composition_outlier_warning;homopolymer_warning		excluded	unsupported	fail
vae_candidate_000037	dcbb9e016c560cf7b18a0436e1dbaab229f8ad1eab8cb995f20d592dca291d9d	True	False	eos	64	63	True	False	False	False	True	0.03598040223932621	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000038	2b615b03f06addbc70d65f130a47f9dc22844b880051f56a6b295e6c18d5af7f	True	False	eos	130	129	True	False	False	False	True	0.05493313468061916	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000039	f36881fe1a088c6a58f5b3b9d119ef19814a518a5e7910936c0a00b45295f68c	True	False	eos	105	104	True	False	False	False	True	0.03911375167728097	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000040	9ed5c77bffa3ef0b1c8f8dafeb722c4c4d4bc7a46064767cfc83f1f63c7e8790	True	False	eos	169	168	True	False	False	False	True	0.025509645667142655	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000041	186da6e177a19eacd3d559e95fd5b73ab30b9ad9d5afb4c2c73deb3d1324dc8b	True	False	eos	94	93	True	False	False	False	True	0.03687163406658322	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				ambiguous_exploration	gvpa_gvpj_ambiguous	pass
vae_candidate_000042	3a2140bacd87687187b99035a2cd220e852a764160589cb1400a1938704425b7	True	False	eos	116	115	True	False	False	False	True	0.03410113650942495	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000043	80dff3968fd241dfb440aacf20c77335f317f25edd65fc5cfff61a9aa3c4cfd1	True	False	eos	129	128	True	False	False	False	True	0.027206513170816758	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000044	59841b357d6487c5a6c17e727a6931576a1d817b1cca0e2b5bd43ff1e3edecbf	True	False	eos	72	71	True	False	False	False	True	0.01911728332118463	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000045	ff862c8141858294aaa9f11bf3be63a1662f9764f526a8567c6935823f6ba608	True	False	eos	135	134	True	False	False	False	True	0.03719504385281412	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000046	fa65c311c43a8d04a3f21b200840e33d487102fdecd72e9c5582265b4f97297f	True	False	eos	127	126	True	False	False	False	True	0.02133299796115745	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000047	bf1e201433832bc7a494c1ad09d17d8fcdd165ba4834a97ad6232bde32830665	True	False	eos	60	59	True	False	False	False	True	0.029899120655671626	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000048	4482ea96472d31ebc912c0de9a55f9526254ad45714394d95eb25de7dbcd242d	True	False	eos	77	76	True	False	False	False	True	0.06914563135764965	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000049	9db73996d2979d5828d9f896ad9bf2c52ace50870be9a4f8921e9da444167070	True	False	eos	113	112	True	False	False	False	True	0.0697471703595382	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000050	d6eade2c18d926b4a9d7ec82b7f1615b2e260abd464154bc9db8f1775dba6cf9	True	False	eos	71	70	True	False	False	False	True	0.016786428754475207	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000051	7b74ac8889f5e2d14a9efa0875b8ccb372f47f3e873c944652a036a8e7323545	True	False	eos	83	82	True	False	False	False	True	0.041223203918130585	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000052	5373afba832cbdbea249f8bc08254c7ee7b3c989ddd53383703db146b0d8d20b	True	False	eos	105	104	True	False	False	False	True	0.09160801379674405	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000053	b3b8c33a5b22cdfe9e9926e2dab84d1c4a2eb8cb7f2deb06cde1a737205be09a	True	False	eos	144	143	True	False	False	False	True	0.04700308888566826	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000054	607b9955ebaf04e0de46bf6bce67ac75f9574089b68dff97d7c30b3acb12ae4f	True	False	eos	118	117	True	False	False	False	True	0.024288533122347952	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000055	bad7436e63e4e26e30934f8591f426c5c7a0f03a259b39448159d1df834b6a73	True	False	eos	52	51	True	False	False	False	True	0.13111040527764062	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000056	a09c6ceedd41f54a2281e6ad7d1e6a1b299800f7d3d3c50fb4ab3b8ebb596587	True	False	eos	70	69	True	False	False	False	True	0.02917771592203599	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000057	2af931adeb233cd39ad8d91c0c14316f33b07c0d5034356d1002a99c287b0523	True	False	eos	114	113	True	False	False	False	True	0.012160711824507339	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000058	860f4a13c1f3f2220ee1db107ba1c07d4dbdf710a6ab08f42819b416d6d09fac	True	False	eos	87	86	True	False	False	False	True	0.01949727570712862	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000059	57c3a0c94772b72a830fb9c7f73ad94d96e446f7dbdb76f8362207afab88e622	True	False	eos	86	85	True	False	False	False	True	0.077589589491696	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000060	9292dc1d28b3bfaa6b41ff76c0e4a82a93d9e4fff0ee862ac07728e23c8bed12	True	False	eos	59	58	True	False	False	False	True	0.0854989622750497	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000061	7b84e79a3a0beb5d80b0281069867504089a5c213346fc6895b86d1fe4a40d2c	True	False	eos	111	110	True	False	False	False	True	0.0329396258150423	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000062	d1150b8dc3ee601f11aec290ea9dc0c1d1af3c52c7290a8b136a58ab16746cc5	True	False	eos	91	90	True	False	False	False	True	0.036790571615301186	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000063	bb097cf25c7bfa7a4edc82bd751061c1ca21902b3067fa372f74c740a706f272	True	False	eos	95	94	True	False	False	False	True	0.019907957001606014	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000064	3815ac7163d0ed486e30fec2527de60e197891173649f23afeb2e98c8fb56090	True	False	eos	97	96	True	False	False	False	True	0.025130160433360214	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000065	21818a9b303af01ae846a79041186c50c69d49abd6a9a29662c47d5f8daf4294	True	False	eos	82	81	True	False	False	False	True	0.03071047197796035	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000066	c235c9d91182c84f2466c38831847d9da95690440c7c665048b5bd399bf2b23f	True	False	eos	76	75	True	False	False	False	True	0.057357987395403764	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000067	13493101c4fcb7b1c93534d9a73af04dbef197e3b7707d1e333aec1a353a789d	True	False	eos	134	133	True	False	False	False	True	0.01855801812057772	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000068	c3941ba46ed9169ce82a620641e471d81cc667d5ba00186809faab54e0cdcbaf	True	False	eos	104	103	True	False	False	False	True	0.03950592752093056	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000069	40312d15d20ecba4063c35749333f381de13f3440732e2713ea41975f2df024f	True	False	eos	146	145	True	False	False	False	True	0.03300919361712417	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 118, ""end"": 123, ""length"": 6, ""residue"": ""G""}]"	True	False	[]	True	homopolymer_warning	homopolymer_warning		excluded	unsupported	pass
vae_candidate_000070	13aea4139dbbe80aa0ac0a0547cfdd81972b9c67754b9431cb258d9c9f0deff5	True	False	eos	92	91	True	False	False	False	True	0.015783697061834856	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass
vae_candidate_000071	a6d71e31a9b891614c2c82543b722630c07bb642f52d2f88a8f65a3d293e1be7	True	False	eos	62	61	True	False	False	False	True	0.03897093668491397	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000072	2a9f1680ab42829ab9ff306f5e2ae50f005040643ab0310a0ea76b4302f2f9f3	True	False	eos	158	157	True	False	False	False	True	0.026172436152839665	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000073	65c791cc04edc3309f6e7b5efba23c11bc4d371d15a1d4bc709ae80ce3a4b4e1	True	False	eos	147	146	True	False	False	False	True	0.0793900471661998	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000074	d1bea1e9a515f2726757fe74b5f1692f792c933c8a5cad4260f3b9529cc846bd	True	False	eos	104	103	True	False	False	False	True	0.04822211360489517	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000075	74ae5e5c71d68830cf119e2a5b90269f534c34ddc9cebfbcd242cf910cfe3fac	False	True	length_cap	180	180	True	False	True	False	True	0.07340754344630901	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning;generation_cap_warning	composition_outlier_warning;generation_cap_warning		excluded	unsupported	fail
vae_candidate_000076	395d964efef3566326ca7a6b92d9f5cf95c9bba7d2fa10dbcbce75b9ba521115	True	False	eos	119	118	True	False	False	False	True	0.08239622708383317	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000077	97c0f9e65dba5eda9de7fa77fe6cd53d1dcd285672c9ed2bc27fd39248ac60e1	True	False	eos	102	101	True	False	False	False	True	0.045524175433195396	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000078	94a3a0b3cae5f64a4b96b2548a0aa7b55717d5973c2b054c2757c388b82cd979	True	False	eos	77	76	True	False	False	False	True	0.07018224175198837	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000079	0dee989a9c30c63ca62dce7f251ab9d87d8d73d4af53b655e76f13fcc9f7a5aa	True	False	eos	105	104	True	False	False	False	True	0.08115163386858765	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000080	5dfd6202ee65aae25b669856947d4ed01d617b6294dede39143b2ab94bff5379	True	False	eos	81	80	True	False	False	False	True	0.0691354322302758	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000081	1701ed6ca62831e09508f3dbc97de5ade97b597b3fe478bb9c6d759bc543d476	True	False	eos	52	51	True	False	False	False	True	0.09051237269543844	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail
vae_candidate_000082	d251a995a0b41b9e97106f0bc675ca43446884a37ddd6e9386e8a0159a11811c	True	False	eos	111	110	True	False	False	False	True	0.033432198844672	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
vae_candidate_000083	8113528b1d18d0383e8bd6d9c6c77dd621fed78243a03555a1aa0800e384e76f	False	True	length_cap	180	180	True	False	True	False	True	0.06491631865989689	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning;generation_cap_warning	composition_outlier_warning;generation_cap_warning		excluded	unsupported	fail
vae_candidate_000084	715de92be4b811d8ddc915529c515e5c042c222217ce47c048d284045ca91ac1	False	True	length_cap	180	180	True	False	True	False	True	0.027903923421106404	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	generation_cap_warning	generation_cap_warning		excluded	unsupported	fail
vae_candidate_000085	9275320efeafd170420e960648308094f098bbf8cf7f0e463f50812c8cd2e0e9	True	False	eos	75	74	True	False	False	False	True	0.04992331445227122	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass
vae_candidate_000086	77b7c617c822bc43785fbd37be536267e212ef3308743ba78dec5ff7b5fe6ab8	True	False	eos	92	91	True	False	False	False	True	0.06029665684267356	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail
