sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review
vae_candidate_000012	2209f26349121f51c2d50683bbc79b7adb39ee0a2efe92458c2e1ef8796ccd49	True	False	eos	145	144	True	False	False	False	True	0.02023316961984231	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	144	nat_8bfb3056e00dc3525ee8	"[""nat_8bfb3056e00dc3525ee8""]"	1	145	252.0	168	121	70	0.5785123966942148	0.8402777777777778	0.8344827586206897	0.4827586206896552	0.5172413793103448	resolved		346	32	True
vae_candidate_000013	ff9300d2e2aef7175b58962087d76f8ea3405cf2208df6619ad6adb51165ea90	True	False	eos	168	167	True	False	False	False	True	0.04030616886892806	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	167	nat_82b87d3bb03732004ea1	"[""nat_82b87d3bb03732004ea1""]"	1	159	369.5	176	150	97	0.6466666666666666	0.8982035928143712	0.9433962264150944	0.5808383233532934	0.41916167664670656	resolved		346	86	True
vae_candidate_000014	bb134afc34d6066647b4fd569d5bde33baa5bfb45b52bbcbdd9b81dcc82ecc4d	True	False	eos	138	137	True	False	False	False	True	0.018715461254209063	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	137		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000015	3bc2916e02c2a9414da1e3e8711361a2763804f0ec0cf9acf141efc580f8d86f	True	False	eos	140	139	True	False	False	False	True	0.025422015427289085	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	139	nat_8bfb3056e00dc3525ee8	"[""nat_8bfb3056e00dc3525ee8""]"	1	145	216.5	166	118	67	0.5677966101694916	0.8489208633093526	0.8137931034482758	0.46206896551724136	0.5379310344827586	resolved		346	89	True
vae_candidate_000016	0b5eb08f6eb332ce200c2fd9b6660662a77c6852f167a615c09a962dc0375a6d	False	True	length_cap	180	180	True	False	True	False	True	0.07926990621295985	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning;generation_cap_warning	composition_outlier_warning;generation_cap_warning		excluded	unsupported	fail	180	nat_82d1db25aa951a1ad609	"[""nat_82d1db25aa951a1ad609""]"	1	159	43.5	192	147	47	0.3197278911564626	0.8166666666666667	0.9245283018867925	0.2611111111111111	0.7388888888888889	resolved		346	5	True
vae_candidate_000017	9c8ab771bfd794b1aa7ee69ee0f37530f57d5e5486e05a9672da5e3cd28c44cd	True	False	eos	96	95	True	False	False	False	True	0.04825360976372195	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 23, ""end"": 29, ""length"": 7, ""residue"": ""G""}]"	True	False	[]	True	homopolymer_warning	homopolymer_warning		excluded	unsupported	fail	95	nat_4d4e00d31d935ed0527d	"[""nat_4d4e00d31d935ed0527d""]"	1	95	107.5	114	76	43	0.5657894736842105	0.8	0.8	0.45263157894736844	0.5473684210526315	resolved		346	108	True
vae_candidate_000018	9903c0f8a58dfda520537020603f08a1e3bc0841c86ce6cda9c792ef6b8aecc3	True	False	eos	99	98	True	False	False	False	True	0.03830109792884931	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	98	nat_0145b7d0415b25474bf7	"[""nat_0145b7d0415b25474bf7"", ""nat_168a7720be25950ce7a5"", ""nat_3e6bf91c590be6684eed"", ""nat_4f76b230eb60279eb5dd"", ""nat_9ca97034ea4d97950343"", ""nat_a9c10692b45d32f772b4"", ""nat_acb38079c01f07d0de6f"", ""nat_bf5abb4d953e0d6aaa1f"", ""nat_c0d8f1302fa41452efbc"", ""nat_c468502803b4ab5981f1"", ""nat_d5d6f3cedb33fb3328b6"", ""nat_dbd11e06d90ad48401af""]"	12	95	258.0	103	90	62	0.6888888888888889	0.9183673469387755	0.9473684210526315	0.6326530612244898	0.36734693877551017	resolved		346	159	True
vae_candidate_000019	61e1b7b4d9c8bbeaf13620a1de72d366d0d9d05983b9ea1c0889f6bbc693f8bb	True	False	eos	72	71	True	False	False	False	True	0.06971136078441709	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail	71	nat_1ed909a554bd91f8870f	"[""nat_1ed909a554bd91f8870f""]"	1	73	4.0	84	60	19	0.31666666666666665	0.8450704225352113	0.821917808219178	0.2602739726027397	0.7397260273972603	resolved		346	18	True
vae_candidate_000021	55cbcdd2143ac3b0c8f48d84b7f3d3c6bd2088f63ca032dbd1acc5997b0b2c7c	True	False	eos	96	95	True	False	False	False	True	0.0745365628885244	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 7, ""end"": 15, ""length"": 9, ""residue"": ""G""}]"	True	False	[]	True	composition_outlier_warning;homopolymer_warning	composition_outlier_warning;homopolymer_warning		excluded	unsupported	fail	95	nat_fa2383cbfbff83286c61	"[""nat_fa2383cbfbff83286c61""]"	1	96	24.5	114	77	28	0.36363636363636365	0.8105263157894737	0.8020833333333334	0.2916666666666667	0.7083333333333333	resolved		346	2	True
vae_candidate_000022	5a5f5864f1c94e79295a9d04601ea627af0ffc066c1e4684e1605f4910b6bbdd	True	False	eos	142	141	True	False	False	False	True	0.05164996713497032	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	141	nat_101346775bd8fc719b54	"[""nat_101346775bd8fc719b54""]"	1	150	63.0	170	121	41	0.33884297520661155	0.8581560283687943	0.8066666666666666	0.2733333333333333	0.7266666666666667	resolved		346	12	True
vae_candidate_000023	227f5f85d2c1ea30fe2c2f81ec23bce8f21c213023c3c31841a36300d2234799	True	False	eos	134	133	True	False	False	False	True	0.036896639765779844	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	133	nat_57c2b381c8bb4035d01c	"[""nat_57c2b381c8bb4035d01c""]"	1	133	158.5	157	109	52	0.47706422018348627	0.8195488721804511	0.8195488721804511	0.39097744360902253	0.6090225563909775	resolved		346	1	True
vae_candidate_000024	1b63af6e39e9be1d0aa5db5825c7af6661efdf4146993b28e176f1e985962e8c	True	False	eos	143	142	True	False	False	False	True	0.034041604518058745	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 132, ""end"": 138, ""length"": 7, ""residue"": ""R""}]"	True	False	[]	True	homopolymer_warning	homopolymer_warning		excluded	unsupported	pass	142	nat_55802cc1c7918b91c298	"[""nat_55802cc1c7918b91c298""]"	1	139	351.5	146	135	81	0.6	0.9507042253521126	0.9712230215827338	0.5704225352112676	0.4295774647887324	resolved		346	120	True
vae_candidate_000025	826b8e1b9ae33fb6a5f6a3bc529102bf8ff631873ffce76f6ce8d0c277a910e4	True	False	eos	104	103	True	False	False	False	True	0.03358054254684963	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	103	nat_84eddb9c9ecca10afd5a	"[""nat_84eddb9c9ecca10afd5a""]"	1	99	151.5	118	84	41	0.4880952380952381	0.8155339805825242	0.8484848484848485	0.39805825242718446	0.6019417475728155	resolved		346	1	True
vae_candidate_000026	5fe8efcab91f21567b128757d6c5991e38b1a633279bb4d4253b2c5351192869	True	False	eos	126	125	True	False	False	False	True	0.03386638619797188	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	125	nat_8bfb3056e00dc3525ee8	"[""nat_8bfb3056e00dc3525ee8""]"	1	145	268.0	152	118	74	0.6271186440677966	0.944	0.8137931034482758	0.5103448275862069	0.4896551724137931	resolved		346	17	True
vae_candidate_000027	3f0375f4b3dc4aee1d00c8b20d4905dcb41ea55006a8d50484456911662079cd	True	False	eos	75	74	True	False	False	False	True	0.03103541623970811	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	74	nat_49cef355c6ba3187ae5c	"[""nat_49cef355c6ba3187ae5c""]"	1	76	250.0	80	70	54	0.7714285714285715	0.9459459459459459	0.9210526315789473	0.7105263157894737	0.2894736842105263	resolved		346	99	True
vae_candidate_000028	24df65b3d09872e03a9c1ab0952689b0946af28146612cb127f5146fc56f1786	True	False	eos	128	127	True	False	False	False	True	0.03378132842732675	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	127	nat_43e7561c7d05facf2895	"[""nat_43e7561c7d05facf2895""]"	1	140	181.5	155	112	58	0.5178571428571429	0.8818897637795275	0.8	0.4142857142857143	0.5857142857142856	resolved		346	10	True
vae_candidate_000030	7b6599f29821f4fc26f818b6b609f681c067638b47fa0164a89a5ae71f8f978c	True	False	eos	100	99	True	False	False	False	True	0.03418009678146153	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	99		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000031	f27ccf550975b33eec059d426fa034dff85a85e0b929a62625b3bbddf9d79a26	True	False	eos	75	74	True	False	False	False	True	0.0523361627300771	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	74	nat_4a610b8daff21e476288	"[""nat_4a610b8daff21e476288"", ""nat_d9b751580230ca0e5773""]"	2	85	55.0	91	68	29	0.4264705882352941	0.918918918918919	0.8	0.3411764705882353	0.6588235294117647	resolved		346	67	True
vae_candidate_000033	fd0a65a97f33b3d0e714436d62781b63acf04ba867775752865c7f294369b2ea	True	False	eos	124	123	True	False	False	False	True	0.05568195516186458	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	123	nat_8d5392221648a605a7c2	"[""nat_8d5392221648a605a7c2""]"	1	134	25.0	148	109	28	0.25688073394495414	0.8861788617886179	0.8134328358208955	0.208955223880597	0.791044776119403	resolved		346	1	True
vae_candidate_000034	36662d33f08471ea31758b191a75d6473722ebfb5002258e1899528823e73149	True	False	eos	93	92	True	False	False	False	True	0.01409890524684084	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	92	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_9ca97034ea4d97950343"", ""nat_dc6aa26cbe06c32b68c2""]"	3	94	375.5	96	90	83	0.9222222222222223	0.9782608695652174	0.9574468085106383	0.8829787234042553	0.11702127659574468	resolved		346	184	True
vae_candidate_000035	2c09b2f6ce4b2ca918c815965f1d36c90b04ec1a900a04e4644541b3f1ad9a6e	True	False	eos	96	95	True	False	False	False	True	0.040349181526233124	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	95	nat_67dd37821af98e87666e	"[""nat_67dd37821af98e87666e""]"	1	96	226.5	105	86	57	0.6627906976744186	0.9052631578947369	0.8958333333333334	0.59375	0.40625	resolved		346	156	True
vae_candidate_000036	20ef141b558e1fc9742ce427b9de2fb2b223aca7b7a9aefff8c89a24cbcaf39b	True	False	eos	101	100	True	False	False	False	True	0.08668766484575738	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	True	"[{""start"": 69, ""end"": 77, ""length"": 9, ""residue"": ""G""}]"	True	False	[]	True	composition_outlier_warning;homopolymer_warning	composition_outlier_warning;homopolymer_warning		excluded	unsupported	fail	100	nat_461115b7000bfd74f566	"[""nat_461115b7000bfd74f566"", ""nat_a36a3359d46f89a3e9c6""]"	2	96	29.0	113	83	30	0.3614457831325301	0.83	0.8645833333333334	0.3	0.7	resolved		346	111	True
vae_candidate_000037	dcbb9e016c560cf7b18a0436e1dbaab229f8ad1eab8cb995f20d592dca291d9d	True	False	eos	64	63	True	False	False	False	True	0.03598040223932621	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	63	nat_25fcb1b7b6c3c6f6f29d	"[""nat_25fcb1b7b6c3c6f6f29d""]"	1	68	147.5	69	62	40	0.6451612903225806	0.9841269841269841	0.9117647058823529	0.5882352941176471	0.4117647058823529	resolved		346	45	True
vae_candidate_000038	2b615b03f06addbc70d65f130a47f9dc22844b880051f56a6b295e6c18d5af7f	True	False	eos	130	129	True	False	False	False	True	0.05493313468061916	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	129	nat_c7e8400b87d18c0ef7e0	"[""nat_c7e8400b87d18c0ef7e0""]"	1	152	127.0	158	123	47	0.3821138211382114	0.9534883720930233	0.8092105263157895	0.3092105263157895	0.6907894736842105	resolved		346	13	True
vae_candidate_000039	f36881fe1a088c6a58f5b3b9d119ef19814a518a5e7910936c0a00b45295f68c	True	False	eos	105	104	True	False	False	False	True	0.03911375167728097	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	104	nat_4a87fc740463a61b2d05	"[""nat_4a87fc740463a61b2d05"", ""nat_b28a6bed955c267791e6""]"	2	109	63.5	124	89	29	0.3258426966292135	0.8557692307692307	0.8165137614678899	0.26605504587155965	0.7339449541284404	resolved		346	6	True
vae_candidate_000040	9ed5c77bffa3ef0b1c8f8dafeb722c4c4d4bc7a46064767cfc83f1f63c7e8790	True	False	eos	169	168	True	False	False	False	True	0.025509645667142655	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	168		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000041	186da6e177a19eacd3d559e95fd5b73ab30b9ad9d5afb4c2c73deb3d1324dc8b	True	False	eos	94	93	True	False	False	False	True	0.03687163406658322	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				ambiguous_exploration	gvpa_gvpj_ambiguous	pass	93	nat_2257aec2c4abeff42ec4	"[""nat_2257aec2c4abeff42ec4""]"	1	97	233.5	106	84	63	0.75	0.9032258064516129	0.865979381443299	0.6494845360824743	0.35051546391752575	resolved		346	181	True
vae_candidate_000042	3a2140bacd87687187b99035a2cd220e852a764160589cb1400a1938704425b7	True	False	eos	116	115	True	False	False	False	True	0.03410113650942495	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	115		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000043	80dff3968fd241dfb440aacf20c77335f317f25edd65fc5cfff61a9aa3c4cfd1	True	False	eos	129	128	True	False	False	False	True	0.027206513170816758	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	128		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000044	59841b357d6487c5a6c17e727a6931576a1d817b1cca0e2b5bd43ff1e3edecbf	True	False	eos	72	71	True	False	False	False	True	0.01911728332118463	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	71	nat_08ca607a70bf3998101a	"[""nat_08ca607a70bf3998101a""]"	1	70	176.0	74	67	49	0.7313432835820896	0.9436619718309859	0.9571428571428572	0.6901408450704225	0.3098591549295775	resolved		346	84	True
vae_candidate_000045	ff862c8141858294aaa9f11bf3be63a1662f9764f526a8567c6935823f6ba608	True	False	eos	135	134	True	False	False	False	True	0.03719504385281412	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	134	nat_8bfb3056e00dc3525ee8	"[""nat_8bfb3056e00dc3525ee8""]"	1	145	303.0	162	117	83	0.7094017094017094	0.8731343283582089	0.8068965517241379	0.5724137931034483	0.4275862068965517	resolved		346	50	True
vae_candidate_000046	fa65c311c43a8d04a3f21b200840e33d487102fdecd72e9c5582265b4f97297f	True	False	eos	127	126	True	False	False	False	True	0.02133299796115745	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	126	nat_9fd0842a53e077dc147a	"[""nat_9fd0842a53e077dc147a""]"	1	111	132.5	131	106	47	0.44339622641509435	0.8412698412698413	0.954954954954955	0.373015873015873	0.626984126984127	resolved		346	3	True
vae_candidate_000047	bf1e201433832bc7a494c1ad09d17d8fcdd165ba4834a97ad6232bde32830665	True	False	eos	60	59	True	False	False	False	True	0.029899120655671626	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	59		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000048	4482ea96472d31ebc912c0de9a55f9526254ad45714394d95eb25de7dbcd242d	True	False	eos	77	76	True	False	False	False	True	0.06914563135764965	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail	76	nat_39696a92cfeac6f208a2	"[""nat_39696a92cfeac6f208a2""]"	1	78	34.0	81	73	25	0.3424657534246575	0.9605263157894737	0.9358974358974359	0.32051282051282054	0.6794871794871795	resolved		346	70	True
vae_candidate_000049	9db73996d2979d5828d9f896ad9bf2c52ace50870be9a4f8921e9da444167070	True	False	eos	113	112	True	False	False	False	True	0.0697471703595382	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail	112		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000051	7b74ac8889f5e2d14a9efa0875b8ccb372f47f3e873c944652a036a8e7323545	True	False	eos	83	82	True	False	False	False	True	0.041223203918130585	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	82	nat_b14fdba1c12c78ac4485	"[""nat_b14fdba1c12c78ac4485""]"	1	84	57.5	93	73	31	0.4246575342465753	0.8902439024390244	0.8690476190476191	0.36904761904761907	0.6309523809523809	resolved		346	70	True
vae_candidate_000052	5373afba832cbdbea249f8bc08254c7ee7b3c989ddd53383703db146b0d8d20b	True	False	eos	105	104	True	False	False	False	True	0.09160801379674405	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail	104	nat_c5a4c69d0879da5e6614	"[""nat_c5a4c69d0879da5e6614""]"	1	97	5.5	116	85	21	0.24705882352941178	0.8173076923076923	0.8762886597938144	0.20192307692307693	0.7980769230769231	resolved		346	3	True
vae_candidate_000053	b3b8c33a5b22cdfe9e9926e2dab84d1c4a2eb8cb7f2deb06cde1a737205be09a	True	False	eos	144	143	True	False	False	False	True	0.04700308888566826	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	143	nat_05faae01597311327997	"[""nat_05faae01597311327997""]"	1	155	48.5	174	124	38	0.3064516129032258	0.8671328671328671	0.8	0.24516129032258063	0.7548387096774194	resolved		346	1	True
vae_candidate_000054	607b9955ebaf04e0de46bf6bce67ac75f9574089b68dff97d7c30b3acb12ae4f	True	False	eos	118	117	True	False	False	False	True	0.024288533122347952	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	fail	117		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000055	bad7436e63e4e26e30934f8591f426c5c7a0f03a259b39448159d1df834b6a73	True	False	eos	52	51	True	False	False	False	True	0.13111040527764062	0.06381829728796116	True	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	composition_outlier_warning	composition_outlier_warning		excluded	unsupported	fail	51		[]	0											unresolved	no_reliable_reference	346	0	True
vae_candidate_000056	a09c6ceedd41f54a2281e6ad7d1e6a1b299800f7d3d3c50fb4ab3b8ebb596587	True	False	eos	70	69	True	False	False	False	True	0.02917771592203599	0.06381829728796116	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				excluded	unsupported	pass	69	nat_39cf0fd21702af1ff2b1	"[""nat_39cf0fd21702af1ff2b1""]"	1	69	238.0	70	68	53	0.7794117647058824	0.9855072463768116	0.9855072463768116	0.7681159420289855	0.23188405797101452	resolved		346	70	True
