sequence_id	query_length	closest_reference_id	closest_reference_ids	closest_reference_tie_count	target_length	alignment_score	alignment_length	aligned_pairs	identical_residues	identity	query_coverage	target_coverage	effective_identity	distance	distance_status	distance_reason	reference_count	resolved_reference_count
vae_candidate_000018	98	nat_0145b7d0415b25474bf7	"[""nat_0145b7d0415b25474bf7"", ""nat_168a7720be25950ce7a5"", ""nat_3e6bf91c590be6684eed"", ""nat_4f76b230eb60279eb5dd"", ""nat_9ca97034ea4d97950343"", ""nat_a9c10692b45d32f772b4"", ""nat_acb38079c01f07d0de6f"", ""nat_bf5abb4d953e0d6aaa1f"", ""nat_c0d8f1302fa41452efbc"", ""nat_c468502803b4ab5981f1"", ""nat_d5d6f3cedb33fb3328b6"", ""nat_dbd11e06d90ad48401af""]"	12	95	258.0	103	90	62	0.6888888888888889	0.9183673469387755	0.9473684210526315	0.6326530612244898	0.36734693877551017	resolved		346	159
vae_candidate_000019	71	nat_1ed909a554bd91f8870f	"[""nat_1ed909a554bd91f8870f""]"	1	73	4.0	84	60	19	0.31666666666666665	0.8450704225352113	0.821917808219178	0.2602739726027397	0.7397260273972603	resolved		346	18
vae_candidate_000020	107	nat_d80e058d93177215aa4b	"[""nat_d80e058d93177215aa4b""]"	1	95	376.5	109	93	88	0.946236559139785	0.8691588785046729	0.9789473684210527	0.822429906542056	0.17757009345794394	resolved		346	142
vae_candidate_000021	95	nat_fa2383cbfbff83286c61	"[""nat_fa2383cbfbff83286c61""]"	1	96	24.5	114	77	28	0.36363636363636365	0.8105263157894737	0.8020833333333334	0.2916666666666667	0.7083333333333333	resolved		346	2
vae_candidate_000022	141	nat_101346775bd8fc719b54	"[""nat_101346775bd8fc719b54""]"	1	150	63.0	170	121	41	0.33884297520661155	0.8581560283687943	0.8066666666666666	0.2733333333333333	0.7266666666666667	resolved		346	12
vae_candidate_000023	133	nat_57c2b381c8bb4035d01c	"[""nat_57c2b381c8bb4035d01c""]"	1	133	158.5	157	109	52	0.47706422018348627	0.8195488721804511	0.8195488721804511	0.39097744360902253	0.6090225563909775	resolved		346	1
vae_candidate_000024	142	nat_55802cc1c7918b91c298	"[""nat_55802cc1c7918b91c298""]"	1	139	351.5	146	135	81	0.6	0.9507042253521126	0.9712230215827338	0.5704225352112676	0.4295774647887324	resolved		346	120
vae_candidate_000025	103	nat_84eddb9c9ecca10afd5a	"[""nat_84eddb9c9ecca10afd5a""]"	1	99	151.5	118	84	41	0.4880952380952381	0.8155339805825242	0.8484848484848485	0.39805825242718446	0.6019417475728155	resolved		346	1
vae_candidate_000026	125	nat_8bfb3056e00dc3525ee8	"[""nat_8bfb3056e00dc3525ee8""]"	1	145	268.0	152	118	74	0.6271186440677966	0.944	0.8137931034482758	0.5103448275862069	0.4896551724137931	resolved		346	17
vae_candidate_000027	74	nat_49cef355c6ba3187ae5c	"[""nat_49cef355c6ba3187ae5c""]"	1	76	250.0	80	70	54	0.7714285714285715	0.9459459459459459	0.9210526315789473	0.7105263157894737	0.2894736842105263	resolved		346	99
vae_candidate_000028	127	nat_43e7561c7d05facf2895	"[""nat_43e7561c7d05facf2895""]"	1	140	181.5	155	112	58	0.5178571428571429	0.8818897637795275	0.8	0.4142857142857143	0.5857142857142856	resolved		346	10
vae_candidate_000029	90	nat_c8490949e18e771ed8c8	"[""nat_c8490949e18e771ed8c8""]"	1	94	382.5	95	89	83	0.9325842696629213	0.9888888888888889	0.9468085106382979	0.8829787234042553	0.11702127659574468	resolved		346	196
vae_candidate_000030	99		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000031	74	nat_4a610b8daff21e476288	"[""nat_4a610b8daff21e476288"", ""nat_d9b751580230ca0e5773""]"	2	85	55.0	91	68	29	0.4264705882352941	0.918918918918919	0.8	0.3411764705882353	0.6588235294117647	resolved		346	67
vae_candidate_000032	97	nat_0ae199fc6d044a2da135	"[""nat_0ae199fc6d044a2da135""]"	1	95	323.5	97	95	67	0.7052631578947368	0.979381443298969	1.0	0.6907216494845361	0.30927835051546393	resolved		346	166
vae_candidate_000033	123	nat_8d5392221648a605a7c2	"[""nat_8d5392221648a605a7c2""]"	1	134	25.0	148	109	28	0.25688073394495414	0.8861788617886179	0.8134328358208955	0.208955223880597	0.791044776119403	resolved		346	1
vae_candidate_000034	92	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_9ca97034ea4d97950343"", ""nat_dc6aa26cbe06c32b68c2""]"	3	94	375.5	96	90	83	0.9222222222222223	0.9782608695652174	0.9574468085106383	0.8829787234042553	0.11702127659574468	resolved		346	184
vae_candidate_000035	95	nat_67dd37821af98e87666e	"[""nat_67dd37821af98e87666e""]"	1	96	226.5	105	86	57	0.6627906976744186	0.9052631578947369	0.8958333333333334	0.59375	0.40625	resolved		346	156
vae_candidate_000036	100	nat_461115b7000bfd74f566	"[""nat_461115b7000bfd74f566"", ""nat_a36a3359d46f89a3e9c6""]"	2	96	29.0	113	83	30	0.3614457831325301	0.83	0.8645833333333334	0.3	0.7	resolved		346	111
vae_candidate_000037	63	nat_25fcb1b7b6c3c6f6f29d	"[""nat_25fcb1b7b6c3c6f6f29d""]"	1	68	147.5	69	62	40	0.6451612903225806	0.9841269841269841	0.9117647058823529	0.5882352941176471	0.4117647058823529	resolved		346	45
vae_candidate_000038	129	nat_c7e8400b87d18c0ef7e0	"[""nat_c7e8400b87d18c0ef7e0""]"	1	152	127.0	158	123	47	0.3821138211382114	0.9534883720930233	0.8092105263157895	0.3092105263157895	0.6907894736842105	resolved		346	13
vae_candidate_000039	104	nat_4a87fc740463a61b2d05	"[""nat_4a87fc740463a61b2d05"", ""nat_b28a6bed955c267791e6""]"	2	109	63.5	124	89	29	0.3258426966292135	0.8557692307692307	0.8165137614678899	0.26605504587155965	0.7339449541284404	resolved		346	6
vae_candidate_000040	168		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000041	93	nat_2257aec2c4abeff42ec4	"[""nat_2257aec2c4abeff42ec4""]"	1	97	233.5	106	84	63	0.75	0.9032258064516129	0.865979381443299	0.6494845360824743	0.35051546391752575	resolved		346	181
vae_candidate_000042	115		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000043	128		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000044	71	nat_08ca607a70bf3998101a	"[""nat_08ca607a70bf3998101a""]"	1	70	176.0	74	67	49	0.7313432835820896	0.9436619718309859	0.9571428571428572	0.6901408450704225	0.3098591549295775	resolved		346	84
vae_candidate_000045	134	nat_8bfb3056e00dc3525ee8	"[""nat_8bfb3056e00dc3525ee8""]"	1	145	303.0	162	117	83	0.7094017094017094	0.8731343283582089	0.8068965517241379	0.5724137931034483	0.4275862068965517	resolved		346	50
vae_candidate_000046	126	nat_9fd0842a53e077dc147a	"[""nat_9fd0842a53e077dc147a""]"	1	111	132.5	131	106	47	0.44339622641509435	0.8412698412698413	0.954954954954955	0.373015873015873	0.626984126984127	resolved		346	3
vae_candidate_000047	59		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000048	76	nat_39696a92cfeac6f208a2	"[""nat_39696a92cfeac6f208a2""]"	1	78	34.0	81	73	25	0.3424657534246575	0.9605263157894737	0.9358974358974359	0.32051282051282054	0.6794871794871795	resolved		346	70
vae_candidate_000049	112		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000050	70	nat_ea5746ec582bf06f4e03	"[""nat_ea5746ec582bf06f4e03""]"	1	72	246.5	75	67	54	0.8059701492537313	0.9571428571428572	0.9305555555555556	0.75	0.25	resolved		346	84
vae_candidate_000051	82	nat_b14fdba1c12c78ac4485	"[""nat_b14fdba1c12c78ac4485""]"	1	84	57.5	93	73	31	0.4246575342465753	0.8902439024390244	0.8690476190476191	0.36904761904761907	0.6309523809523809	resolved		346	70
vae_candidate_000052	104	nat_c5a4c69d0879da5e6614	"[""nat_c5a4c69d0879da5e6614""]"	1	97	5.5	116	85	21	0.24705882352941178	0.8173076923076923	0.8762886597938144	0.20192307692307693	0.7980769230769231	resolved		346	3
vae_candidate_000053	143	nat_05faae01597311327997	"[""nat_05faae01597311327997""]"	1	155	48.5	174	124	38	0.3064516129032258	0.8671328671328671	0.8	0.24516129032258063	0.7548387096774194	resolved		346	1
vae_candidate_000054	117		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000055	51		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000056	69	nat_39cf0fd21702af1ff2b1	"[""nat_39cf0fd21702af1ff2b1""]"	1	69	238.0	70	68	53	0.7794117647058824	0.9855072463768116	0.9855072463768116	0.7681159420289855	0.23188405797101452	resolved		346	70
vae_candidate_000057	113	nat_0077c6cbf903d0b80137	"[""nat_0077c6cbf903d0b80137"", ""nat_49d3875a5ef4bbb644f9"", ""nat_7d45d6cf3df5d3d36985"", ""nat_dad443e0412ef646de5e""]"	4	96	366.5	115	94	83	0.8829787234042553	0.831858407079646	0.9791666666666666	0.7345132743362832	0.2654867256637168	resolved		346	112
vae_candidate_000058	86	nat_970873de163a6ff8ee05	"[""nat_970873de163a6ff8ee05""]"	1	88	295.5	90	84	67	0.7976190476190477	0.9767441860465116	0.9545454545454546	0.7613636363636364	0.23863636363636365	resolved		346	206
vae_candidate_000059	85	nat_6dc60142a293ec7c6dcb	"[""nat_6dc60142a293ec7c6dcb"", ""nat_f87e80c34ba5c8c8909b""]"	2	87	10.5	97	75	21	0.28	0.8823529411764706	0.8620689655172413	0.2413793103448276	0.7586206896551724	resolved		346	4
vae_candidate_000060	58	nat_dd1c249d0891ddb7284f	"[""nat_dd1c249d0891ddb7284f""]"	1	71	13.0	71	58	14	0.2413793103448276	1.0	0.8169014084507042	0.19718309859154928	0.8028169014084507	resolved		346	2
vae_candidate_000061	110	nat_7ee1d64f80049d71603c	"[""nat_7ee1d64f80049d71603c""]"	1	95	141.0	113	92	46	0.5	0.8363636363636363	0.968421052631579	0.41818181818181815	0.5818181818181818	resolved		346	118
vae_candidate_000062	90	nat_004ac783975534947324	"[""nat_004ac783975534947324""]"	1	94	208.5	103	81	54	0.6666666666666666	0.9	0.8617021276595744	0.574468085106383	0.42553191489361697	resolved		346	160
vae_candidate_000063	94	nat_842bc418f0682cd2a9c8	"[""nat_842bc418f0682cd2a9c8"", ""nat_a7791ad55c70e7fd3462""]"	2	95	361.5	99	90	81	0.9	0.9574468085106383	0.9473684210526315	0.8526315789473684	0.1473684210526316	resolved		346	156
vae_candidate_000064	96	nat_48f4fc548c0153a5775e	"[""nat_48f4fc548c0153a5775e"", ""nat_4d4e00d31d935ed0527d"", ""nat_8d29ff35edf68fc809de"", ""nat_9fda348180c612303cdb"", ""nat_a8908cb0d732ddf5c6d4""]"	5	96	217.5	106	86	57	0.6627906976744186	0.8958333333333334	0.8958333333333334	0.59375	0.40625	resolved		346	159
vae_candidate_000065	81	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_168a7720be25950ce7a5"", ""nat_215f48254c804f1f2876"", ""nat_3e6bf91c590be6684eed"", ""nat_8189ed3c9ac18707f549"", ""nat_9ca97034ea4d97950343""]"	6	94	285.0	95	80	69	0.8625	0.9876543209876543	0.851063829787234	0.7340425531914894	0.26595744680851063	resolved		346	217
vae_candidate_000066	75	nat_448d52f7c380acd65350	"[""nat_448d52f7c380acd65350"", ""nat_a4ce46bc0db75edd2892""]"	2	76	34.0	90	61	23	0.3770491803278688	0.8133333333333334	0.8026315789473685	0.3026315789473684	0.6973684210526316	resolved		346	23
vae_candidate_000067	133		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000068	103		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000069	145	nat_1aeb097a28c863a862e4	"[""nat_1aeb097a28c863a862e4"", ""nat_1cc68774b93a831e1a93""]"	2	137	222.0	159	123	71	0.5772357723577236	0.8482758620689655	0.8978102189781022	0.4896551724137931	0.5103448275862069	resolved		346	24
vae_candidate_000070	91	nat_a49cfe7d33cec22c3905	"[""nat_a49cfe7d33cec22c3905""]"	1	95	420.5	95	91	89	0.978021978021978	1.0	0.9578947368421052	0.9368421052631579	0.06315789473684208	resolved		346	186
vae_candidate_000071	61		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000072	157	nat_25e53f7654eeb15d035e	"[""nat_25e53f7654eeb15d035e""]"	1	156	248.5	186	127	75	0.5905511811023622	0.8089171974522293	0.8141025641025641	0.47770700636942676	0.5222929936305732	resolved		346	21
vae_candidate_000073	146		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000074	103		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000075	180		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000076	118	nat_9fd0842a53e077dc147a	"[""nat_9fd0842a53e077dc147a""]"	1	111	18.0	132	97	29	0.29896907216494845	0.8220338983050848	0.8738738738738738	0.2457627118644068	0.7542372881355932	resolved		346	3
vae_candidate_000077	101	nat_0077c6cbf903d0b80137	"[""nat_0077c6cbf903d0b80137""]"	1	96	41.5	111	86	33	0.38372093023255816	0.8514851485148515	0.8958333333333334	0.32673267326732675	0.6732673267326732	resolved		346	120
vae_candidate_000078	76		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000079	104	nat_84eddb9c9ecca10afd5a	"[""nat_84eddb9c9ecca10afd5a""]"	1	99	21.0	117	86	26	0.3023255813953488	0.8269230769230769	0.8686868686868687	0.25	0.75	resolved		346	12
vae_candidate_000080	80	nat_4f811102c58fb8e77080	"[""nat_4f811102c58fb8e77080""]"	1	78	34.5	94	64	27	0.421875	0.8	0.8205128205128205	0.3375	0.6625	resolved		346	13
vae_candidate_000081	51		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000082	110	nat_acb38079c01f07d0de6f	"[""nat_acb38079c01f07d0de6f"", ""nat_bf5abb4d953e0d6aaa1f""]"	2	95	194.5	116	89	59	0.6629213483146067	0.8090909090909091	0.9368421052631579	0.5363636363636364	0.4636363636363636	resolved		346	89
vae_candidate_000083	180		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000084	180	nat_3d9edce97c58d4805f58	"[""nat_3d9edce97c58d4805f58"", ""nat_e3bf29001a743e3b64f9""]"	2	152	132.0	188	144	60	0.4166666666666667	0.8	0.9473684210526315	0.3333333333333333	0.6666666666666667	resolved		346	2
vae_candidate_000085	74	nat_2dee131e85e06a8f9fdd	"[""nat_2dee131e85e06a8f9fdd""]"	1	76	110.5	80	70	32	0.45714285714285713	0.9459459459459459	0.9210526315789473	0.42105263157894735	0.5789473684210527	resolved		346	70
vae_candidate_000086	91	nat_fc382b09fdd1c909c75c	"[""nat_fc382b09fdd1c909c75c""]"	1	93	65.0	106	78	32	0.41025641025641024	0.8571428571428571	0.8387096774193549	0.34408602150537637	0.6559139784946236	resolved		346	19
vae_candidate_000087	93	nat_62bc5089576517d5fad1	"[""nat_62bc5089576517d5fad1"", ""nat_a36a3359d46f89a3e9c6"", ""nat_b9de124a92fba0281b06""]"	3	93	320.0	96	90	76	0.8444444444444444	0.967741935483871	0.967741935483871	0.8172043010752689	0.18279569892473113	resolved		346	177
vae_candidate_000088	101	nat_c468502803b4ab5981f1	"[""nat_c468502803b4ab5981f1""]"	1	95	268.0	105	91	70	0.7692307692307693	0.900990099009901	0.9578947368421052	0.693069306930693	0.306930693069307	resolved		346	158
vae_candidate_000089	75	nat_32d58e5d24419efe5e0e	"[""nat_32d58e5d24419efe5e0e"", ""nat_cac8cf4903b24e69aca8""]"	2	76	232.5	82	69	52	0.7536231884057971	0.92	0.9078947368421053	0.6842105263157895	0.3157894736842105	resolved		346	99
vae_candidate_000090	93	nat_fa2383cbfbff83286c61	"[""nat_fa2383cbfbff83286c61""]"	1	96	377.5	96	93	80	0.8602150537634409	1.0	0.96875	0.8333333333333334	0.16666666666666663	resolved		346	186
vae_candidate_000091	93	nat_fe2e069c7d192a9aa4be	"[""nat_fe2e069c7d192a9aa4be""]"	1	92	337.0	94	91	75	0.8241758241758241	0.978494623655914	0.9891304347826086	0.8064516129032258	0.19354838709677424	resolved		346	184
vae_candidate_000092	123	nat_4a87fc740463a61b2d05	"[""nat_4a87fc740463a61b2d05"", ""nat_b28a6bed955c267791e6""]"	2	109	218.5	132	100	56	0.56	0.8130081300813008	0.9174311926605505	0.45528455284552843	0.5447154471544715	resolved		346	52
vae_candidate_000093	140		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000094	178	nat_93fc211ea4b34cbb8750	"[""nat_93fc211ea4b34cbb8750""]"	1	153	285.5	187	144	81	0.5625	0.8089887640449438	0.9411764705882353	0.4550561797752809	0.5449438202247191	resolved		346	6
vae_candidate_000095	121	nat_4a87fc740463a61b2d05	"[""nat_4a87fc740463a61b2d05""]"	1	109	201.0	130	100	57	0.57	0.8264462809917356	0.9174311926605505	0.47107438016528924	0.5289256198347108	resolved		346	38
vae_candidate_000096	180	nat_1f2decc9d9629b127278	"[""nat_1f2decc9d9629b127278""]"	1	158	183.0	191	147	60	0.40816326530612246	0.8166666666666667	0.930379746835443	0.3333333333333333	0.6666666666666667	resolved		346	1
vae_candidate_000097	56		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000098	70	nat_1ed909a554bd91f8870f	"[""nat_1ed909a554bd91f8870f""]"	1	73	255.0	75	68	58	0.8529411764705882	0.9714285714285714	0.9315068493150684	0.7945205479452054	0.20547945205479456	resolved		346	95
vae_candidate_000099	116	nat_b28a6bed955c267791e6	"[""nat_b28a6bed955c267791e6"", ""nat_bc61cfaf37743c96bcc0""]"	2	109	150.5	132	93	44	0.4731182795698925	0.8017241379310345	0.8532110091743119	0.3793103448275862	0.6206896551724138	resolved		346	4
vae_candidate_000100	138	nat_9c7fbca4e03cd6830bf2	"[""nat_9c7fbca4e03cd6830bf2""]"	1	146	168.0	162	122	63	0.5163934426229508	0.8840579710144928	0.8356164383561644	0.4315068493150685	0.5684931506849316	resolved		346	81
vae_candidate_000101	97	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_6681febe116459c77b18"", ""nat_dc6aa26cbe06c32b68c2""]"	3	94	318.5	99	92	74	0.8043478260869565	0.9484536082474226	0.9787234042553191	0.7628865979381443	0.23711340206185572	resolved		346	159
vae_candidate_000102	64	nat_eccab6536bed142192aa	"[""nat_eccab6536bed142192aa""]"	1	70	106.5	77	57	36	0.631578947368421	0.890625	0.8142857142857143	0.5142857142857142	0.48571428571428577	resolved		346	41
vae_candidate_000103	111	nat_1f7ab0dfc808b4ef03c3	"[""nat_1f7ab0dfc808b4ef03c3"", ""nat_92d7d81f95603487cd9c"", ""nat_94cdaea6b1db7bfe983f""]"	3	95	287.5	115	91	70	0.7692307692307693	0.8198198198198198	0.9578947368421052	0.6306306306306306	0.36936936936936937	resolved		346	122
vae_candidate_000104	72	nat_27cf1e5aac6ec3dd931d	"[""nat_27cf1e5aac6ec3dd931d""]"	1	76	128.5	87	61	36	0.5901639344262295	0.8472222222222222	0.8026315789473685	0.47368421052631576	0.5263157894736843	resolved		346	8
vae_candidate_000105	124	nat_8a4162d5996844339fef	"[""nat_8a4162d5996844339fef""]"	1	135	41.5	144	115	33	0.28695652173913044	0.9274193548387096	0.8518518518518519	0.24444444444444444	0.7555555555555555	resolved		346	2
vae_candidate_000106	89		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000107	94	nat_215f48254c804f1f2876	"[""nat_215f48254c804f1f2876"", ""nat_3e6bf91c590be6684eed"", ""nat_9ca97034ea4d97950343"", ""nat_c8490949e18e771ed8c8""]"	4	94	376.0	97	91	86	0.945054945054945	0.9680851063829787	0.9680851063829787	0.9148936170212766	0.08510638297872342	resolved		346	168
vae_candidate_000108	108	nat_4f76b230eb60279eb5dd	"[""nat_4f76b230eb60279eb5dd""]"	1	95	260.5	111	92	67	0.7282608695652174	0.8518518518518519	0.968421052631579	0.6203703703703703	0.37962962962962965	resolved		346	125
vae_candidate_000109	97	nat_63e94d96149b61e3547f	"[""nat_63e94d96149b61e3547f""]"	1	87	21.5	106	78	23	0.2948717948717949	0.8041237113402062	0.896551724137931	0.23711340206185566	0.7628865979381443	resolved		346	1
vae_candidate_000110	71	nat_5bc7120641a4b206dec6	"[""nat_5bc7120641a4b206dec6""]"	1	72	154.5	74	69	43	0.6231884057971014	0.971830985915493	0.9583333333333334	0.5972222222222222	0.4027777777777778	resolved		346	99
vae_candidate_000111	123	nat_5c045ab07969cb21b0ad	"[""nat_5c045ab07969cb21b0ad""]"	1	142	38.0	147	118	38	0.3220338983050847	0.959349593495935	0.8309859154929577	0.2676056338028169	0.7323943661971831	resolved		346	7
vae_candidate_000112	131	nat_1aeb097a28c863a862e4	"[""nat_1aeb097a28c863a862e4""]"	1	137	194.5	156	112	65	0.5803571428571429	0.8549618320610687	0.8175182481751825	0.4744525547445255	0.5255474452554745	resolved		346	34
vae_candidate_000113	148		[]	0											unresolved	no_reliable_reference	346	0
vae_candidate_000114	97	nat_a36a3359d46f89a3e9c6	"[""nat_a36a3359d46f89a3e9c6"", ""nat_acb38079c01f07d0de6f""]"	2	93	200.0	112	78	58	0.7435897435897436	0.8041237113402062	0.8387096774193549	0.5979381443298969	0.4020618556701031	resolved		346	134
vae_candidate_000115	144	nat_d57269e318a762146774	"[""nat_d57269e318a762146774"", ""nat_f4f90ca0708a5faa9c5b""]"	2	137	208.5	165	116	63	0.5431034482758621	0.8055555555555556	0.8467153284671532	0.4375	0.5625	resolved		346	9
vae_candidate_000116	118	nat_4a87fc740463a61b2d05	"[""nat_4a87fc740463a61b2d05""]"	1	109	246.5	131	96	61	0.6354166666666666	0.8135593220338984	0.8807339449541285	0.5169491525423728	0.48305084745762716	resolved		346	3
vae_candidate_000117	113	nat_2257aec2c4abeff42ec4	"[""nat_2257aec2c4abeff42ec4""]"	1	97	189.5	115	95	57	0.6	0.8407079646017699	0.979381443298969	0.504424778761062	0.49557522123893805	resolved		346	85
vae_candidate_000118	70	nat_ea5746ec582bf06f4e03	"[""nat_ea5746ec582bf06f4e03""]"	1	72	239.0	74	68	51	0.75	0.9714285714285714	0.9444444444444444	0.7083333333333334	0.29166666666666663	resolved		346	95
vae_candidate_000119	73	nat_444b2346dad8b8d36df2	"[""nat_444b2346dad8b8d36df2""]"	1	71	39.0	84	60	26	0.43333333333333335	0.821917808219178	0.8450704225352113	0.3561643835616438	0.6438356164383562	resolved		346	6
vae_candidate_000120	88	nat_73e0b5aa88a198c56cae	"[""nat_73e0b5aa88a198c56cae""]"	1	87	246.0	100	75	61	0.8133333333333334	0.8522727272727273	0.8620689655172413	0.6931818181818182	0.30681818181818177	resolved		346	132
vae_candidate_000121	96	nat_0101bc590c89813c161a	"[""nat_0101bc590c89813c161a"", ""nat_4482775e0979509e45d2"", ""nat_4b58b860e36e01bdb682""]"	3	94	389.5	97	93	87	0.9354838709677419	0.96875	0.9893617021276596	0.90625	0.09375	resolved		346	166
vae_candidate_000122	103	nat_833a1708482ad34125e2	"[""nat_833a1708482ad34125e2""]"	1	98	260.5	118	83	65	0.7831325301204819	0.8058252427184466	0.8469387755102041	0.6310679611650486	0.3689320388349514	resolved		346	4
vae_candidate_000123	73	nat_8d6274f78693091697cf	"[""nat_8d6274f78693091697cf""]"	1	70	198.0	73	70	51	0.7285714285714285	0.958904109589041	1.0	0.6986301369863014	0.3013698630136986	resolved		346	97
vae_candidate_000124	74	nat_d565583d15eb6f192c57	"[""nat_d565583d15eb6f192c57""]"	1	67	3.5	78	63	21	0.3333333333333333	0.8513513513513513	0.9402985074626866	0.28378378378378377	0.7162162162162162	resolved		346	1
vae_candidate_000125	111	nat_d80e058d93177215aa4b	"[""nat_d80e058d93177215aa4b""]"	1	95	376.5	111	95	84	0.8842105263157894	0.8558558558558559	1.0	0.7567567567567568	0.2432432432432432	resolved		346	123
