sequence_id	sequence_sha256	sequence_length	pf00741_status	pf00741_score	pf00741_sequence_score	pf00741_coverage	best_family	best_family_score	second_family	second_family_score	family_margin	best_model_coverage	best_query_coverage	family_status	classification_reason	gvpa_score	gvpj_score	control_type	expected_family	fold	parent_id
nat_54de16dcd0555acdee27	54de16dcd0555acdee27e23bffaee616a31d423e9e0c7d09bc1668199d1ac85a	72	pass	63.1	63.4	1.0			gvpa	126.4		0.0	0.0	unsupported	no_qualified_subfamily_hit	126.4	91.4	natural_heldout	gvpa	0	nat_54de16dcd0555acdee27
nat_7cb4966ababb293a7db4	7cb4966ababb293a7db4a703483439d33c99a78a5a6366c84547d2b67a710fd5	80	pass	60.1	60.4	1.0	gvpj	93.3	gvpa	125.8	-32.5	0.6228070175438597	0.8625	gvpa_gvpj_ambiguous	insufficient_competitive_margin	125.8	93.3	natural_heldout	gvpa	0	nat_7cb4966ababb293a7db4
nat_de1520359c3cd2badb80	de1520359c3cd2badb80f957511e46579741fc7dd176bf9ab7bd48d3e9492cb6	80	pass	59.1	59.4	1.0	gvpj	92.8	gvpa	127.9	-35.10000000000001	0.6228070175438597	0.8625	gvpa_gvpj_ambiguous	insufficient_competitive_margin	127.9	92.8	natural_heldout	gvpa	0	nat_de1520359c3cd2badb80
nat_49d3875a5ef4bbb644f9	49d3875a5ef4bbb644f930139f267d2cc4e3bdfbfd30dde28aab18149bc1f254	95	pass	59.1	59.5	1.0	gvpa	138.1	gvpj	93.7	44.39999999999999	0.6131386861313869	0.8842105263157894	supported_gvpa	pf00741_and_competitive_gvpa_support	138.1	93.7	natural_heldout	gvpa	0	nat_49d3875a5ef4bbb644f9
nat_1e070d0d2387bb202235	1e070d0d2387bb202235dd365948f4b25f48059ea4c98d3578571e9cd7eb12bb	75	pass	55.9	56.2	1.0			gvpa	120.8		0.0	0.0	unsupported	no_qualified_subfamily_hit	120.8	81.2	natural_heldout	gvpa	0	nat_1e070d0d2387bb202235
nat_38cb7bda240a833d36b3	38cb7bda240a833d36b384add457f6a14c4bac92c8bfa58639724187005025d1	95	pass	59.3	59.7	1.0	gvpa	139.5	gvpj	95.9	43.599999999999994	0.635036496350365	0.9157894736842105	supported_gvpa	pf00741_and_competitive_gvpa_support	139.5	95.9	natural_heldout	gvpa	0	nat_38cb7bda240a833d36b3
nat_3dcd4bf22b7bbdb49d82	3dcd4bf22b7bbdb49d82bd3c0ad5243535489009f84e98c6150ccd4e5dc08f1d	95	pass	59.1	59.5	1.0	gvpa	139.6	gvpj	95.5	44.099999999999994	0.635036496350365	0.9157894736842105	supported_gvpa	pf00741_and_competitive_gvpa_support	139.6	95.5	natural_heldout	gvpa	0	nat_3dcd4bf22b7bbdb49d82
nat_8f3e753527c876cd94f0	8f3e753527c876cd94f0f40735a536faf3fc90a3524a79b993b998a48495383b	95	pass	59.1	59.5	1.0	gvpa	139.3	gvpj	95.4	43.900000000000006	0.6204379562043796	0.8947368421052632	supported_gvpa	pf00741_and_competitive_gvpa_support	139.3	95.4	natural_heldout	gvpa	0	nat_8f3e753527c876cd94f0
nat_8f7aa09afb9d7c3cc2eb	8f7aa09afb9d7c3cc2eb21e2c36d3651a0b1d0bb140446aa99cfc1a96f4de3ce	72	pass	62.3	62.7	1.0			gvpa	125.8		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.8	89.7	natural_heldout	gvpa	0	nat_8f7aa09afb9d7c3cc2eb
nat_144165ea4d3ea8a64b2e	144165ea4d3ea8a64b2e97fd557e53d485b05e168aefc547e39ea8dc8fed59dd	95	pass	59.1	59.5	1.0	gvpa	139.1	gvpj	94.7	44.39999999999999	0.6277372262773723	0.9052631578947369	supported_gvpa	pf00741_and_competitive_gvpa_support	139.1	94.7	natural_heldout	gvpa	0	nat_144165ea4d3ea8a64b2e
nat_bb973ad514bc9a8e4071	bb973ad514bc9a8e4071a1875fc5756e7859556fa23d8596d35a2c4da3565928	72	pass	63.2	63.5	1.0	gvpj	91.5	gvpa	125.2	-33.7	0.6140350877192983	0.9583333333333334	gvpa_gvpj_ambiguous	insufficient_competitive_margin	125.2	91.5	natural_heldout	gvpa	0	nat_bb973ad514bc9a8e4071
nat_d5c2d4101839c4dee9b6	d5c2d4101839c4dee9b608bbafd0bb712b3bb5cc8e8bb373c074eb48f72d3a9b	86	pass	57.8	58.2	1.0	gvpj	87.7	gvpa	129.7	-41.999999999999986	0.6491228070175439	0.872093023255814	gvpa_gvpj_ambiguous	insufficient_competitive_margin	129.7	87.7	natural_heldout	gvpa	0	nat_d5c2d4101839c4dee9b6
nat_f5db5c4704d592f947d9	f5db5c4704d592f947d9390e9bcd6afde1ac2a8c4b44472ec28636a4e3ab47c5	82	pass	56.1	56.7	1.0	gvpj	89.2	gvpa	127.9	-38.7	0.6052631578947368	0.8414634146341463	gvpa_gvpj_ambiguous	insufficient_competitive_margin	127.9	89.2	natural_heldout	gvpa	0	nat_f5db5c4704d592f947d9
nat_41af882b944a1fc500db	41af882b944a1fc500dbe8f6fc01230050462280d115eeafbc8f1cb2c66f1d11	72	pass	61.9	62.2	1.0			gvpa	127.1		0.0	0.0	unsupported	no_qualified_subfamily_hit	127.1	90.7	natural_heldout	gvpa	0	nat_41af882b944a1fc500db
nat_ffef1b1b441fdc15ea9c	ffef1b1b441fdc15ea9c7981dc1e18e5fd48b4bd588343bda7a874e40857653d	72	pass	61.7	62.0	1.0			gvpa	125.4		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.4	89.7	natural_heldout	gvpa	0	nat_ffef1b1b441fdc15ea9c
nat_908def535fa98fa36b50	908def535fa98fa36b50ccc7b99887e25d2d33284b95e820e8135e01dd397cd1	72	pass	60.3	60.6	1.0			gvpa	125.7		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.7	89.7	natural_heldout	gvpa	0	nat_908def535fa98fa36b50
nat_f0b585defb33f68b9eec	f0b585defb33f68b9eec146548ed02b46b614ae37435ad5b020b758b4d5f244f	72	pass	55.9	56.2	1.0			gvpa	124.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	124.2	85.9	natural_heldout	gvpa	0	nat_f0b585defb33f68b9eec
nat_cdcb9ea08084d402155d	cdcb9ea08084d402155df7d0686cb8cea6ba1a31a6700d9535afd219d71587fa	72	pass	55.5	56.0	1.0			gvpa	125.4		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.4	88.5	natural_heldout	gvpa	0	nat_cdcb9ea08084d402155d
nat_499d1d5d62f7019687f3	499d1d5d62f7019687f3b0059c07e37c33752b65b36ec66eebc2e45d4f2fa3a4	86	pass	53.7	54.0	1.0	gvpj	94.2	gvpa	129.9	-35.7	0.6491228070175439	0.8372093023255814	gvpa_gvpj_ambiguous	insufficient_competitive_margin	129.9	94.2	natural_heldout	gvpa	0	nat_499d1d5d62f7019687f3
nat_fe5639b3f6715383286a	fe5639b3f6715383286aeb1b876f8ff0584cb9b9687213268c0fa3160ccd0d10	86	pass	54.7	55.0	1.0	gvpj	96.6	gvpa	133.1	-36.5	0.7105263157894737	0.9069767441860465	gvpa_gvpj_ambiguous	insufficient_competitive_margin	133.1	96.6	natural_heldout	gvpa	0	nat_fe5639b3f6715383286a
nat_6b64acdf3f40fdffd144	6b64acdf3f40fdffd14457cf606766a5451a179ed659c2fe7bc45e7d0a7abcb4	91	pass	56.5	56.8	1.0	gvpj	96.8	gvpa	133.9	-37.10000000000001	0.7017543859649122	0.8681318681318682	gvpa_gvpj_ambiguous	insufficient_competitive_margin	133.9	96.8	natural_heldout	gvpa	0	nat_6b64acdf3f40fdffd144
nat_fa3ceb760df75c71ed08	fa3ceb760df75c71ed088b41a6a5cb57560dd57584efea5c666da3bd00024593	86	pass	55.9	56.3	1.0	gvpj	96.4	gvpa	133.9	-37.5	0.7017543859649122	0.9186046511627907	gvpa_gvpj_ambiguous	insufficient_competitive_margin	133.9	96.4	natural_heldout	gvpa	0	nat_fa3ceb760df75c71ed08
nat_45c7c948c17d40fffc2f	45c7c948c17d40fffc2fecd18e8eb9f993cd3d908fa5567702d7b7dfc4518927	86	pass	58.0	58.4	1.0	gvpj	95.8	gvpa	131.6	-35.8	0.6578947368421053	0.872093023255814	gvpa_gvpj_ambiguous	insufficient_competitive_margin	131.6	95.8	natural_heldout	gvpa	0	nat_45c7c948c17d40fffc2f
nat_967e2f04e468a1a875d9	967e2f04e468a1a875d95aef96684bd59af17b05397db6a5e57b624802fa22d2	78	pass	59.1	59.4	1.0			gvpa	126.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	126.2	91.1	natural_heldout	gvpa	0	nat_967e2f04e468a1a875d9
nat_26dd9c3e80f115461010	26dd9c3e80f115461010c3e48a60d95fe14f7e45bff5c06ac7dd6e0e34690448	71	pass	61.3	61.6	1.0			gvpa	129.1		0.0	0.0	unsupported	no_qualified_subfamily_hit	129.1	92.6	natural_heldout	gvpa	0	nat_26dd9c3e80f115461010
nat_4076ee92571a9babe66f	4076ee92571a9babe66f0519b5f715f210808ee8cf5653d8a346b1632f6930d1	71	pass	61.3	61.6	1.0	gvpj	92.8	gvpa	129.0	-36.2	0.6052631578947368	0.9436619718309859	gvpa_gvpj_ambiguous	insufficient_competitive_margin	129.0	92.8	natural_heldout	gvpa	0	nat_4076ee92571a9babe66f
nat_c306fc2a612dcf796388	c306fc2a612dcf7963887fd1483f31b8b1d3630b71566506bdbc766a133d7160	86	pass	56.7	57.0	1.0	gvpj	97.9	gvpa	134.3	-36.400000000000006	0.7105263157894737	0.9069767441860465	gvpa_gvpj_ambiguous	insufficient_competitive_margin	134.3	97.9	natural_heldout	gvpa	0	nat_c306fc2a612dcf796388
nat_81c3c33e1052ca11c9fd	81c3c33e1052ca11c9fde60fd0a62a9ef2c4738a5782114778528dc2c8d1fe8f	87	pass	55.6	56.0	1.0	gvpj	96.9	gvpa	133.1	-36.19999999999999	0.7280701754385965	0.9310344827586207	gvpa_gvpj_ambiguous	insufficient_competitive_margin	133.1	96.9	natural_heldout	gvpa	0	nat_81c3c33e1052ca11c9fd
nat_58de098a6c8aae0513de	58de098a6c8aae0513de85526b4bfd2ec959113cd4692c08455d9bd7f1221b78	72	pass	59.4	59.7	1.0	gvpj	89.4	gvpa	123.0	-33.599999999999994	0.6052631578947368	0.9444444444444444	gvpa_gvpj_ambiguous	insufficient_competitive_margin	123.0	89.4	natural_heldout	gvpa	0	nat_58de098a6c8aae0513de
nat_27cfc6c7874687adce98	27cfc6c7874687adce98fe5beec40dda323c639ba2824175d39fc4aad0117ad3	73	pass	59.0	59.4	1.0			gvpa	119.3		0.0	0.0	unsupported	no_qualified_subfamily_hit	119.3	88.4	natural_heldout	gvpa	0	nat_27cfc6c7874687adce98
nat_83d86218590801baa4be	83d86218590801baa4be9cbf64a37be9f413307984b80079d4c17313ca959345	85	pass	56.7	57.1	1.0	gvpj	94.1	gvpa	131.5	-37.400000000000006	0.631578947368421	0.8588235294117647	gvpa_gvpj_ambiguous	insufficient_competitive_margin	131.5	94.1	natural_heldout	gvpa	0	nat_83d86218590801baa4be
nat_fd49c343614a605c0f40	fd49c343614a605c0f408c1059dfd9e3f863077071d8fcc71280dc5802c3028c	87	pass	45.0	45.0	1.0	gvpj	75.5	gvpa	117.5	-42.0	0.6140350877192983	0.8045977011494253	gvpa_gvpj_ambiguous	insufficient_competitive_margin	117.5	75.5	natural_heldout	gvpa	0	nat_fd49c343614a605c0f40
nat_9ba976654c95d4d9fd8f	9ba976654c95d4d9fd8ffe4ff8d4a6186d6631fd013c161e4ccb5c524a6494cc	69	pass	56.2	56.6	0.9743589743589743			gvpa	116.8		0.0	0.0	unsupported	no_qualified_subfamily_hit	116.8	81.6	natural_heldout	gvpa	0	nat_9ba976654c95d4d9fd8f
nat_4482775e0979509e45d2	4482775e0979509e45d23f6ca737a7fdb6814c225930bbcb113f82d33d585228	95	pass	59.1	59.5	1.0	gvpa	139.4	gvpj	95.4	44.0	0.6204379562043796	0.8947368421052632	supported_gvpa	pf00741_and_competitive_gvpa_support	139.4	95.4	natural_heldout	gvpa	0	nat_4482775e0979509e45d2
nat_35226954812d95b1eb87	35226954812d95b1eb87f6c9f6c2ac5cabf4e8cb1e9932ee85489572ea157c29	84	pass	57.1	57.5	1.0			gvpa	120.6		0.0	0.0	unsupported	no_qualified_subfamily_hit	120.6	82.6	natural_heldout	gvpa	0	nat_35226954812d95b1eb87
nat_628577dc37636bc0384e	628577dc37636bc0384ee327a4aeb3192a7c90e3c438c8b2383085b819d27655	72	pass	56.0	56.3	1.0	gvpj	85.2	gvpa	123.7	-38.5	0.6140350877192983	0.9583333333333334	gvpa_gvpj_ambiguous	insufficient_competitive_margin	123.7	85.2	natural_heldout	gvpa	0	nat_628577dc37636bc0384e
nat_34e541178b7b0b894972	34e541178b7b0b894972aaad49425526fd16e04d52071bf0480f2bf5f7434458	88	pass	57.1	57.4	1.0	gvpj	95.3	gvpa	132.6	-37.3	0.6578947368421053	0.8409090909090909	gvpa_gvpj_ambiguous	insufficient_competitive_margin	132.6	95.3	natural_heldout	gvpa	0	nat_34e541178b7b0b894972
nat_f454f2a56d9c1f348b1d	f454f2a56d9c1f348b1dac3f706e94ceea099db81084cd1c70f2fc3cd1dfd5a3	87	pass	56.4	56.7	1.0	gvpj	95.5	gvpa	132.8	-37.30000000000001	0.7192982456140351	0.9080459770114943	gvpa_gvpj_ambiguous	insufficient_competitive_margin	132.8	95.5	natural_heldout	gvpa	0	nat_f454f2a56d9c1f348b1d
nat_19cd7b61a586d4e4fed8	19cd7b61a586d4e4fed893c2bbd031719e582f6c6b75c515eb7fffa1099eb2c8	84	pass	58.1	58.6	1.0	gvpj	96.8	gvpa	133.4	-36.60000000000001	0.6491228070175439	0.8571428571428571	gvpa_gvpj_ambiguous	insufficient_competitive_margin	133.4	96.8	natural_heldout	gvpa	0	nat_19cd7b61a586d4e4fed8
nat_a62ba34ed245e06a2975	a62ba34ed245e06a29758d7dd356e60f73eeb1c63f5eec9b8103fa7af5740d6a	70	pass	47.6	47.9	1.0	gvpj	80.2	gvpa	114.4	-34.2	0.6052631578947368	0.9428571428571428	gvpa_gvpj_ambiguous	insufficient_competitive_margin	114.4	80.2	natural_heldout	gvpa	0	nat_a62ba34ed245e06a2975
nat_b57946b3f69a165a3268	b57946b3f69a165a32688ee14d0fee5bcea63bf4d3ebf9eda46125a5b0948414	86	pass	58.4	58.8	1.0	gvpj	94.1	gvpa	129.7	-35.599999999999994	0.6754385964912281	0.8837209302325582	gvpa_gvpj_ambiguous	insufficient_competitive_margin	129.7	94.1	natural_heldout	gvpa	0	nat_b57946b3f69a165a3268
nat_9683dd0b519eaf04d743	9683dd0b519eaf04d7438c1faa3b5ba7bfa2c6cfe741bd86fa7ae8c0e5378d7f	72	pass	60.3	60.7	1.0			gvpa	125.6		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.6	89.1	natural_heldout	gvpa	0	nat_9683dd0b519eaf04d743
nat_7c8675813e4623763282	7c8675813e46237632821dfe2c299d8a6a1afa403a3029f6dc9436af707fc73f	72	pass	56.3	56.7	1.0			gvpa	125.9		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.9	89.6	natural_heldout	gvpa	0	nat_7c8675813e4623763282
nat_edc787924d6392f7c1f5	edc787924d6392f7c1f5e5e00d1e49e457b29997f69ad3227883a383e8273b5b	94	pass	59.1	59.5	1.0	gvpa	139.5	gvpj	93.3	46.2	0.6496350364963503	0.9468085106382979	supported_gvpa	pf00741_and_competitive_gvpa_support	139.5	93.3	natural_heldout	gvpa	0	nat_edc787924d6392f7c1f5
nat_b7662fa2f5d44aa0d6b4	b7662fa2f5d44aa0d6b41c24f4f96c605eb5db30149fbf2c0bac9fe17a17acbe	72	pass	62.4	62.8	1.0	gvpj	90.6	gvpa	124.7	-34.10000000000001	0.6140350877192983	0.9583333333333334	gvpa_gvpj_ambiguous	insufficient_competitive_margin	124.7	90.6	natural_heldout	gvpa	0	nat_b7662fa2f5d44aa0d6b4
nat_f65654f9aa3b69f34daa	f65654f9aa3b69f34daadee67a7561e43738c0e2ee7c492fbb794705940ddbfb	72	pass	62.4	62.8	1.0	gvpj	90.4	gvpa	124.7	-34.3	0.6140350877192983	0.9583333333333334	gvpa_gvpj_ambiguous	insufficient_competitive_margin	124.7	90.4	natural_heldout	gvpa	0	nat_f65654f9aa3b69f34daa
nat_51223251df1314e3c9ba	51223251df1314e3c9bade6b7106f3aca04a55dafced3cc5b130a47bc7b29c63	66	pass	59.2	59.5	1.0			gvpa	124.7		0.0	0.0	unsupported	no_qualified_subfamily_hit	124.7	89.7	natural_heldout	gvpa	0	nat_51223251df1314e3c9ba
nat_e9d0d8807aee29d8e61c	e9d0d8807aee29d8e61cc5812e5272da20f42b2eb9c88bded666404669277156	71	pass	57.7	58.0	1.0			gvpa	125.6		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.6	87.3	natural_heldout	gvpa	0	nat_e9d0d8807aee29d8e61c
nat_39cf0fd21702af1ff2b1	39cf0fd21702af1ff2b1a85e7f95803ffe5d465cb6cae8e617df8798b8c9f644	69	pass	58.3	58.7	1.0			gvpa	118.6		0.0	0.0	unsupported	no_qualified_subfamily_hit	118.6	85.2	natural_heldout	gvpa	0	nat_39cf0fd21702af1ff2b1
nat_ce84140595a3625becb8	ce84140595a3625becb853b3896946af55d40cf7bd6ebf4c0c866321df18c48e	71	pass	59.5	59.8	1.0	gvpj	91.7	gvpa	129.2	-37.499999999999986	0.6052631578947368	0.9436619718309859	gvpa_gvpj_ambiguous	insufficient_competitive_margin	129.2	91.7	natural_heldout	gvpa	0	nat_ce84140595a3625becb8
nat_de6e45b17a1efe79f377	de6e45b17a1efe79f37778d836358d826a304d076e7019714203a05f82787777	74	pass	59.5	59.8	1.0			gvpa	125.4		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.4	90.8	natural_heldout	gvpa	0	nat_de6e45b17a1efe79f377
nat_44a44809c7c1d751ebce	44a44809c7c1d751ebce0ff9a86895a50f13e140bfe6d9ae84ed0e8114d8495c	72	pass	53.6	53.9	1.0			gvpa	125.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	125.2	85.7	natural_heldout	gvpa	0	nat_44a44809c7c1d751ebce
nat_1a1b9a1e258a11254cb4	1a1b9a1e258a11254cb4f5cd618e15676d2d449475d5b0ed37269cbc3185bc1d	72	pass	57.9	58.1	1.0	gvpj	90.4	gvpa	128.1	-37.69999999999999	0.6052631578947368	0.9305555555555556	gvpa_gvpj_ambiguous	insufficient_competitive_margin	128.1	90.4	natural_heldout	gvpa	0	nat_1a1b9a1e258a11254cb4
nat_72cdd34cb274da9e5e19	72cdd34cb274da9e5e194597336bd584c0601117e8bd69b326cde75988c2ef5d	92	pass	57.5	57.9	0.9743589743589743	gvpj	92.8	gvpa	128.9	-36.10000000000001	0.6491228070175439	0.8043478260869565	gvpa_gvpj_ambiguous	insufficient_competitive_margin	128.9	92.8	natural_heldout	gvpa	0	nat_72cdd34cb274da9e5e19
nat_ae37005a67bc5cb2b176	ae37005a67bc5cb2b176bbb2a26f1bbfc007226ff1abafb159c27039c720fa0e	72	pass	60.9	61.3	1.0			gvpa	126.5		0.0	0.0	unsupported	no_qualified_subfamily_hit	126.5	89.5	natural_heldout	gvpa	0	nat_ae37005a67bc5cb2b176
nat_e8c5de40001b59b84f30	e8c5de40001b59b84f3000546d57bdbffeb1f2fbded41da8015760622ba66cb1	86	pass	58.8	59.1	1.0	gvpj	98.3	gvpa	134.4	-36.10000000000001	0.6578947368421053	0.8604651162790697	gvpa_gvpj_ambiguous	insufficient_competitive_margin	134.4	98.3	natural_heldout	gvpa	0	nat_e8c5de40001b59b84f30
nat_3426f2b4953d2172f209	3426f2b4953d2172f209b39e07c92d33714de1f85bc963ee04a0c73f32a57c8b	70	pass	55.8	56.2	1.0			gvpa	117.4		0.0	0.0	unsupported	no_qualified_subfamily_hit	117.4	86.4	natural_heldout	gvpa	0	nat_3426f2b4953d2172f209
nat_fa062766acc141ed13ab	fa062766acc141ed13ab5647f670b952cf8945bbcfc8349eca2a90bcac8cd4ef	71	pass	56.9	57.2	1.0	gvpj	88.2	gvpa	124.2	-36.0	0.6052631578947368	0.9436619718309859	gvpa_gvpj_ambiguous	insufficient_competitive_margin	124.2	88.2	natural_heldout	gvpa	0	nat_fa062766acc141ed13ab
nat_6f227f789b114508ea99	6f227f789b114508ea9998be7bfc238fb7cd36b4f026ef2c1d299b426ba4d67d	72	pass	58.0	58.3	1.0			gvpa	124.6		0.0	0.0	unsupported	no_qualified_subfamily_hit	124.6	88.8	natural_heldout	gvpa	0	nat_6f227f789b114508ea99
nat_56d5d14e5f958bb848ef	56d5d14e5f958bb848effc7cddc6dd078434561bb8d86a1a4654791676632e8b	71	pass	57.9	58.2	1.0	gvpj	89.9	gvpa	127.2	-37.3	0.6052631578947368	0.9436619718309859	gvpa_gvpj_ambiguous	insufficient_competitive_margin	127.2	89.9	natural_heldout	gvpa	0	nat_56d5d14e5f958bb848ef
