sequence_id	sequence_sha256	cluster_id	length	release_status	reasons	source_accessions
nat_45ceddea54f47745a1ad	45ceddea54f47745a1ad9c65097c2d122a4bd298292f81068539903e0cbdd579	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	P22453;WGS73826|gvpA|protein;WP_009626980.1;WP_009626980|gvpA|protein;sp|P22453|gvpA|protein
nat_61a382d08777524701b3	61a382d08777524701b3b127d54c55544b762da256e18e1289de6de3ef39b838	cluster_0da4fc315e8c5fa1925f	72	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	Q18JA1;WP_011571057.1;WP_011571057|gvpA|protein;sp|Q18JA1|gvpA|protein
nat_91f552b9f84853c37285	91f552b9f84853c37285e8ec0883b5170258f814bb6ffb90d6de28cb0f3c10ba	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	Q2JKK1;Q2JW39;WP_011429717.1;WP_011429717|gvpA|protein;sp|Q2JKK1|gvpA|protein;sp|Q2JW39|gvpA|protein
nat_a1131689eff9ccc2bc1c	a1131689eff9ccc2bc1cb9c6417b27251120988628db25efce7ae158aaecf416	cluster_02e83ad46b86e8eaf5e7	70	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	Q9RH31;WP_018390783.1;WP_018390783|gvpA|protein;sp|Q9RH31|gvpA|protein
nat_291571f679284e1c6455	291571f679284e1c6455963717615530ae130d29db41fb93abfacd00fa90ad20	cluster_044b97bbcc6fc75d19af	73	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_212716182|gvpA|protein
nat_419538444627b50496c7	419538444627b50496c73c8cf28e7a1950e49971cfa5cb42c07430d39eb23bd3	cluster_044b97bbcc6fc75d19af	82	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_022949487|gvpA|protein
nat_d5b00906bcc6e7ee2601	d5b00906bcc6e7ee2601548874eb49cd8eb278fe52c5928828ab442fa2ac7bd2	cluster_00eda75e8d86c0000a3e	86	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_456223989|gvpA|protein
nat_cd15fd2a214ac9570bfd	cd15fd2a214ac9570bfd13751ddd824061d5d55bc28fc3df3c1367b97c80a108	cluster_044b97bbcc6fc75d19af	83	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_233491533|gvpA|protein
nat_eccab6536bed142192aa	eccab6536bed142192aa8ae35f75a35f64e1e978ec751eee4b6251731c6ee4f8	cluster_02e83ad46b86e8eaf5e7	70	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	GLK71416|gvpA|protein;WP_213372596.1;WP_213372596|gvpA|protein
nat_be9809bb1f91644c1e43	be9809bb1f91644c1e431f6b48e4a4183d550ce2f80f162d11f698b4c92e1824	cluster_1589f15763a3b3a0bf84	72	quarantined	mixed_annotation_cluster	WP_007357596.1;WP_007357596|gvpA|protein
nat_622c716866d2133b80f2	622c716866d2133b80f2821fd0bc4b15c8a3872f04f569b358001ba249e094bc	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	UZQ54585|gvpA|protein;WP_265902100.1;WP_265902100|gvpA|protein
nat_d9b32c93cd099c72a956	d9b32c93cd099c72a9565d0d1d751944285fef4f2523b73e02fca6dad757ad3d	cluster_1589f15763a3b3a0bf84	72	quarantined	mixed_annotation_cluster	KAM3092794|gvpA|protein;KAM3097639|gvpA|protein;KAM3106609|gvpA|protein;KAM3113662|gvpA|protein;WP_446859740.1;WP_446859740|gvpA|protein
nat_fd161dfe59366687c2f2	fd161dfe59366687c2f2851a7085607a1a49850277ce6c989d8f377546025ebe	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_017721733.1;WP_017721733|gvpA|protein
nat_2e707b0ae8b0c69feb2e	2e707b0ae8b0c69feb2eb75166178922a33851e0022ed4c173447055ed769eb8	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_017721725.1;WP_017721725|gvpA|protein
nat_a36a3359d46f89a3e9c6	a36a3359d46f89a3e9c6d339b24da5b9e7b56e875526568f984c4d9d61c9bfca	cluster_00058845722df3ede422	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	QCS42367|gvpA|protein;WP_138244856.1;WP_138244856|gvpA|protein
nat_5d20e8974d28b202ff3e	5d20e8974d28b202ff3e6522190fdbf27c7ec35790b334b7bfc0964dd160f003	cluster_00eda75e8d86c0000a3e	88	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_427576720.1;WP_427576720|gvpA|protein
nat_728d4a20bb169ff7ae28	728d4a20bb169ff7ae2861700c0866b80279630b2ad500072229c4d700f14351	cluster_21fd512873a52dc47991	92	quarantined	mixed_annotation_cluster	WP_427090790.1;WP_427090790|gvpA|protein
nat_b3e7eac10f741058a688	b3e7eac10f741058a688bc7d62c0f50b5a15ad09caae40e59b5e7155d1011066	cluster_044b97bbcc6fc75d19af	74	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_426749826.1;WP_426749826|gvpA|protein;XSE93341|gvpA|protein
nat_9896810d394d4d1edf15	9896810d394d4d1edf15ff02a5ebe1a5ce22578a398bf69c24333fb0d1e948a5	cluster_044b97bbcc6fc75d19af	80	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_431193991|gvpA|protein
nat_17718ba432b9ffbaf06b	17718ba432b9ffbaf06b1bb2b0b2bb7a8824f8f4fa1fc5d630b80747312e1252	cluster_00eda75e8d86c0000a3e	90	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_430127181.1;WP_430127181|gvpA|protein
nat_0fc8bfe28907ef9fa5eb	0fc8bfe28907ef9fa5eb6ba06eadb9186ee00c3cd615714110e142bfd5e0793d	cluster_0b5cd7683d0975317579	70	quarantined	mixed_annotation_cluster	WP_428089254|gvpA|protein
nat_9a9380d4b10b8ef49e08	9a9380d4b10b8ef49e08d8cdcb310b72b0898e2b53118fc0ebf7fc13e6851c59	cluster_0283d587032de178b666	85	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_443143372.1;WP_443143372|gvpA|protein
nat_969159e68bc0479327cf	969159e68bc0479327cf12527c848f43e276e0d12b14db7fde40332a3c5adbe5	cluster_00eda75e8d86c0000a3e	92	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_128525920.1;WP_128525920|gvpA|protein
nat_54de16dcd0555acdee27	54de16dcd0555acdee27e23bffaee616a31d423e9e0c7d09bc1668199d1ac85a	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	CAN1213032|gvpA|protein;WP_330483830.1;WP_330483830|gvpA|protein
nat_7cb4966ababb293a7db4	7cb4966ababb293a7db4a703483439d33c99a78a5a6366c84547d2b67a710fd5	cluster_044b97bbcc6fc75d19af	80	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_425589715.1;WP_425589715|gvpA|protein
nat_de1520359c3cd2badb80	de1520359c3cd2badb80f957511e46579741fc7dd176bf9ab7bd48d3e9492cb6	cluster_044b97bbcc6fc75d19af	80	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_425311603.1;WP_425311603|gvpA|protein;XTX24202|gvpA|protein
nat_49d3875a5ef4bbb644f9	49d3875a5ef4bbb644f930139f267d2cc4e3bdfbfd30dde28aab18149bc1f254	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_436344290.1;WP_436344290|gvpA|protein
nat_1e070d0d2387bb202235	1e070d0d2387bb202235dd365948f4b25f48059ea4c98d3578571e9cd7eb12bb	cluster_1e070d0d2387bb202235	75	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_440955508.1;WP_440955508|gvpA|protein;XYY85779|gvpA|protein
nat_38cb7bda240a833d36b3	38cb7bda240a833d36b384add457f6a14c4bac92c8bfa58639724187005025d1	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_440769334.1;WP_440769334|gvpA|protein
nat_8f3e753527c876cd94f0	8f3e753527c876cd94f0f40735a536faf3fc90a3524a79b993b998a48495383b	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_124192755.1;WP_124192755|gvpA|protein
nat_8f7aa09afb9d7c3cc2eb	8f7aa09afb9d7c3cc2eb21e2c36d3651a0b1d0bb140446aa99cfc1a96f4de3ce	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	CDM94358|gvpA|protein;CDM94362|gvpA|protein;GCE96702|gvpA|protein;QNH59348|gvpA|protein;QNH59349|gvpA|protein;QQW31697|gvpA|protein;QQW31698|gvpA|protein;QQW31699|gvpA|protein;WP_006616598.1;WP_006616598|gvpA|protein;XDE63737|gvpA|protein;XUE26255|gvpA|protein
nat_144165ea4d3ea8a64b2e	144165ea4d3ea8a64b2e97fd557e53d485b05e168aefc547e39ea8dc8fed59dd	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_436345017.1;WP_436345017|gvpA|protein
nat_bb973ad514bc9a8e4071	bb973ad514bc9a8e4071a1875fc5756e7859556fa23d8596d35a2c4da3565928	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_435550518.1;WP_435550518|gvpA|protein
nat_d5c2d4101839c4dee9b6	d5c2d4101839c4dee9b608bbafd0bb712b3bb5cc8e8bb373c074eb48f72d3a9b	cluster_0da4fc315e8c5fa1925f	86	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_435348186.1;WP_435348186|gvpA|protein
nat_13dff233b6dfd04cb79c	13dff233b6dfd04cb79ca09d72c28e71d76c7ac1c59a0f75ad568a11420b75ee	cluster_04e4c15b93bd18832d36	76	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_435186752.1;WP_435186752|gvpA|protein
nat_f5db5c4704d592f947d9	f5db5c4704d592f947d9390e9bcd6afde1ac2a8c4b44472ec28636a4e3ab47c5	cluster_00058845722df3ede422	82	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_435154202.1;WP_435154202|gvpA|protein
nat_41af882b944a1fc500db	41af882b944a1fc500dbe8f6fc01230050462280d115eeafbc8f1cb2c66f1d11	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_431662249.1;WP_431662249|gvpA|protein
nat_ffef1b1b441fdc15ea9c	ffef1b1b441fdc15ea9c7981dc1e18e5fd48b4bd588343bda7a874e40857653d	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_190575773.1;WP_190575773|gvpA|protein
nat_b65132e25cc65ac0170d	b65132e25cc65ac0170dec17af09ef6d9ddc86b42bf3a1dd98bef9769b556343	cluster_0283d587032de178b666	93	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_430790276.1;WP_430790276|gvpA|protein;XUI83482|gvpA|protein
nat_908def535fa98fa36b50	908def535fa98fa36b50ccc7b99887e25d2d33284b95e820e8135e01dd397cd1	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_430686742.1;WP_430686742|gvpA|protein
nat_f0b585defb33f68b9eec	f0b585defb33f68b9eec146548ed02b46b614ae37435ad5b020b758b4d5f244f	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_324632560.1;WP_324632560|gvpA|protein
nat_6ab091088c0d2085f193	6ab091088c0d2085f19341445efca3bd7552fe8e88dd3276c572540a4c79acbc	cluster_0283d587032de178b666	88	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_323618175.1;WP_323618175|gvpA|protein
nat_cdcb9ea08084d402155d	cdcb9ea08084d402155df7d0686cb8cea6ba1a31a6700d9535afd219d71587fa	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_322732512.1;WP_322732512|gvpA|protein
nat_e70eb92ab459701dc753	e70eb92ab459701dc753ece2045300ba79f6dcccdb811cbfe12eeb7a71243f3d	cluster_0283d587032de178b666	88	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_322420075.1;WP_322420075|gvpA|protein
nat_6b64acdf3f40fdffd144	6b64acdf3f40fdffd14457cf606766a5451a179ed659c2fe7bc45e7d0a7abcb4	cluster_00eda75e8d86c0000a3e	91	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_347395773.1;WP_347395773|gvpA|protein
nat_353e9d0dff81158687ff	353e9d0dff81158687ff2e4f2b8984e4d6a17430c1d909a093884122403d9cb2	cluster_0283d587032de178b666	91	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_339227026.1;WP_339227026|gvpA|protein;WYN44540|gvpA|protein
nat_967e2f04e468a1a875d9	967e2f04e468a1a875d95aef96684bd59af17b05397db6a5e57b624802fa22d2	cluster_044b97bbcc6fc75d19af	78	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_335072082.1;WP_335072082|gvpA|protein
nat_26dd9c3e80f115461010	26dd9c3e80f115461010c3e48a60d95fe14f7e45bff5c06ac7dd6e0e34690448	cluster_044b97bbcc6fc75d19af	71	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_335059862.1;WP_335059862|gvpA|protein
nat_4076ee92571a9babe66f	4076ee92571a9babe66f0519b5f715f210808ee8cf5653d8a346b1632f6930d1	cluster_044b97bbcc6fc75d19af	71	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_334779866.1;WP_334779866|gvpA|protein
nat_58de098a6c8aae0513de	58de098a6c8aae0513de85526b4bfd2ec959113cd4692c08455d9bd7f1221b78	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_428403798.1;WP_428403798|gvpA|protein
nat_531760bd0ae2999dbf0a	531760bd0ae2999dbf0aa9151e722a6e3f56f36bc1e97a4473d19e1e66ba63d6	cluster_10816d30b94e7e319ed1	91	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster	WP_426585015.1;WP_426585015|gvpA|protein
nat_18aeb74e18302803a1f0	18aeb74e18302803a1f05608a7d4fa45b098bea94fa1a6302b33e1400eb1edfd	cluster_10816d30b94e7e319ed1	89	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster	WP_426542028.1;WP_426542028|gvpA|protein
nat_27cfc6c7874687adce98	27cfc6c7874687adce98fe5beec40dda323c639ba2824175d39fc4aad0117ad3	cluster_27cfc6c7874687adce98	73	quarantined	mixed_annotation_cluster	WP_426380802.1;WP_426380802|gvpA|protein
nat_fc382b09fdd1c909c75c	fc382b09fdd1c909c75ca87f66ed2c98f5b6601cc069a0d6df8ae25285c11467	cluster_200ecff40f6b83ca60f9	93	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_423999109.1;WP_423999109|gvpA|protein;XRI17973|gvpA|protein
nat_fd49c343614a605c0f40	fd49c343614a605c0f408c1059dfd9e3f863077071d8fcc71280dc5802c3028c	cluster_09f47a4c9a94b657ae7d	87	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_309192103.1;WP_309192103|gvpA|protein
nat_6507b3f9f58ef91ab9d8	6507b3f9f58ef91ab9d82a0e5b2908ec0d333c616e2b17fc0f4b837dade8ca1f	cluster_0283d587032de178b666	88	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_226555226.1;WP_226555226|gvpA|protein
nat_4482775e0979509e45d2	4482775e0979509e45d23f6ca737a7fdb6814c225930bbcb113f82d33d585228	cluster_00058845722df3ede422	95	provisional_training_eligible	annotation_and_out_of_cluster_evidence_agree;no_known_cluster_conflict	WP_007143586.1;WP_007143586|gvpA|protein
nat_628577dc37636bc0384e	628577dc37636bc0384ee327a4aeb3192a7c90e3c438c8b2383085b819d27655	cluster_044b97bbcc6fc75d19af	72	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_421032811.1;WP_421032811|gvpA|protein
nat_34e541178b7b0b894972	34e541178b7b0b894972aaad49425526fd16e04d52071bf0480f2bf5f7434458	cluster_00eda75e8d86c0000a3e	88	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_415382277.1;WP_415382277|gvpA|protein
nat_5c686c3d3778ea9403cd	5c686c3d3778ea9403cd9d61d7221e3e4812a50ef33cf1e8cd450094ca203ae0	cluster_0283d587032de178b666	86	quarantined	mixed_annotation_cluster;nearest_gvpa_to_unresolved_negative_cluster;unresolved_negative_cluster	WP_413917177.1;WP_413917177|gvpA|protein
nat_19cd7b61a586d4e4fed8	19cd7b61a586d4e4fed893c2bbd031719e582f6c6b75c515eb7fffa1099eb2c8	cluster_0844cfaee9f234d540b5	84	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_336497511.1;WP_336497511|gvpA|protein
nat_a62ba34ed245e06a2975	a62ba34ed245e06a29758d7dd356e60f73eeb1c63f5eec9b8103fa7af5740d6a	cluster_044b97bbcc6fc75d19af	70	quarantined	mixed_annotation_cluster;unresolved_negative_cluster	WP_323244924.1;WP_323244924|gvpA|protein
nat_0b5cd7683d0975317579	0b5cd7683d09753175798c62619ea564033e5f158ba14359919e46d521384fcf	cluster_0b5cd7683d0975317579	72	quarantined	mixed_annotation_cluster	WP_164693470.1;WP_164693470|gvpA|protein
