selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	model_coverage	domain_pass	constraint_score	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	sequence_evalue	sequence_score	hmm_from	hmm_to	alignment_from	alignment_to	selected_by_metric	source_metric_rank
11	gen_45	319	not_detected	0	1000	0	False	0	23	22	10	0.9565217391	0.4347826087	ref_001011	0.4375	0.04388714734	0.1003134796	0.237037037	84	0.9561128527	0.9616740998	gen_59	0.4984333542	0.5015666458							novelty_score	3
12	gen_113	301	not_detected	0	1000	0	False	0	23	21	8	0.9130434783	0.347826087	ref_000268	0.25743	0.08638016611	0.3355481728	1.02020202	202	0.9136198339	0.9784135981	gen_168	0.2622920656	0.7377079344							uniqueness_score	4
13	gen_101	71	detected	59.3	3.1e-18	1	True	0.8971291866	23	23	22	1	0.9565217391	ref_000861	0.90141	0.90141	1	1	4.32e-42	0.09859	0.930038423	gen_161	0.7887338028	0.2112661972	2.3e-18	59.8	1	39	11	49	constraint_score	4
14	gen_179	87	detected	54.8	8.3e-17	1	True	0.5693779904	23	23	23	1	1	ref_000674	0.88636	0.896548046	1.011494253	1.011494253	1.56e-48	0.103451954	0.9164595539	gen_67	0.8043494565	0.1956505435	8.3e-17	54.8	1	39	11	49	conservation_score	5
15	gen_72	512	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001201	0.28409	0.04882796875	0.171875	0.6111111111	306	0.9511720313	0.9598578751	gen_187	0.6464822266	0.3535177734							novelty_score	4
16	gen_146	307	not_detected	0	1000	0	False	0	23	19	4	0.8260869565	0.1739130435	ref_001142	0.28767	0.06840361564	0.2377850163	0.5328467153	15	0.9315963844	0.9768756682	gen_2	0.1188397681	0.8811602319							uniqueness_score	5
17	gen_199	120	detected	59.3	3.2e-18	1	True	0.8971291866	23	21	13	0.9130434783	0.5652173913	ref_000864	0.73418	0.4833351667	0.6583333333	0.7117117117	6.21e-36	0.5166648333	0.9448730583	gen_56	0.4500026667	0.5499973333	2.4e-18	59.7	1	39	20	58	constraint_score	5
18	gen_194	99	detected	56.8	2e-17	1	True	0.7105263158	23	23	23	1	1	ref_000329	0.76289	0.7474780808	0.9797979798	1.010416667	1.31e-44	0.2525219192	0.9367923096	gen_142	0.6565687879	0.3434312121	1.3e-17	57.3	1	39	10	48	conservation_score	6
19	gen_124	282	not_detected	0	1000	0	False	0	23	13	6	0.5652173913	0.2608695652	ref_000869	0.51852	0.04964553191	0.09574468085	0.375	26	0.9503544681	0.9532065763	gen_59	0.3714311111	0.6285688889							novelty_score	5
20	gen_78	105	not_detected	0	1000	0	False	0	23	0	0	0	0	ref_000478	0.43243	0.1523800952	0.3523809524	0.4111111111	715	0.8476199048	0.9694536722	gen_111	0.1909096364	0.8090903636							uniqueness_score	6
21	gen_6	86	detected	59.2	3.5e-18	1	True	0.8875598086	23	23	23	1	1	ref_001077	0.93023	0.93023	1	1	3.65e-55	0.06977	0.9182489006	gen_173	0.88372	0.11628	2.7e-18	59.5	1	39	11	49	constraint_score	6
22	gen_40	136	detected	46.8	2.6e-14	0.9743589744	True	0.2344497608	23	23	23	1	1	ref_001168	0.73913	0.728571	1.014705882	0.9857142857	1.81e-53	0.271429	0.9403047276	gen_68	0.5103468276	0.4896531724	1.9e-14	47.3	2	39	19	56	conservation_score	7
23	gen_105	341	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000685	0.28814	0.0498541349	0.1730205279	0.8428571429	951	0.9501458651	0.9610828079	gen_2	0.8058	0.1942							novelty_score	6
24	gen_119	337	not_detected	0	1000	0	False	0	23	13	7	0.5652173913	0.3043478261	ref_000933	0.29252	0.1275977448	0.4362017804	0.9545454545	92	0.8724022552	0.9692796757	gen_45	0.3264141246	0.6735858754							uniqueness_score	7
25	gen_56	103	detected	58.2	7.2e-18	1	True	0.8062200957	23	21	11	0.9130434783	0.4782608696	ref_000864	0.6875	0.3963963964	0.6213592233	0.5765765766	2.4e-30	0.6036036036	0.9510921176	gen_199	0.4500026667	0.5499973333	5.7e-18	58.5	1	39	11	49	constraint_score	7
26	gen_67	92	detected	53.1	2.8e-16	1	True	0.4377990431	23	23	23	1	1	ref_000778	0.89888	0.8695686957	0.9673913043	1	2.08e-51	0.1304313043	0.9262695714	gen_179	0.8043494565	0.1956505435	2.1e-16	53.5	1	39	11	49	conservation_score	10
27	gen_64	490	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001060	0.26882	0.05102093878	0.1897959184	0.7685950413	236	0.9489790612	0.9591247762	gen_188	0.5816345918	0.4183654082							novelty_score	7
28	gen_48	347	not_detected	0	1000	0	False	0	23	17	12	0.7391304348	0.5217391304	ref_000775	0.27381	0.06628253602	0.242074928	0.9655172414	850	0.933717464	0.966239433	gen_59	0.3832862248	0.6167137752							uniqueness_score	8
29	gen_44	70	detected	56.6	2.3e-17	1	True	0.7057416268	23	23	22	1	0.9565217391	ref_000685	0.88571	0.88571	1	1	6.86e-41	0.11429	0.9329328847	gen_161	0.7857185714	0.2142814286	1.8e-17	56.9	1	39	11	49	constraint_score	9
30	gen_68	145	detected	46.2	4e-14	0.9743589744	True	0.1961722488	23	23	23	1	1	ref_001168	0.73913	0.7034478621	0.9517241379	0.9857142857	7.55e-58	0.2965521379	0.9406000018	gen_40	0.5103468276	0.4896531724	2.9e-14	46.7	2	39	18	55	conservation_score	11
31	gen_33	482	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001210	0.27473	0.05186811203	0.1887966805	0.6319444444	272	0.948131888	0.9586125032	gen_188	0.5622415768	0.4377584232							novelty_score	8
32	gen_30	288	not_detected	0	1000	0	False	0	23	18	8	0.7826086957	0.347826087	ref_000981	0.38462	0.06944527778	0.1805555556	0.3586206897	588	0.9305547222	0.9614048579	gen_93	0.3888857292	0.6111142708							uniqueness_score	11
33	gen_92	89	detected	56.3	2.8e-17	1	True	0.6889952153	23	23	23	1	1	ref_000029	0.89888	0.89888	1	1.022988506	1.17e-49	0.10112	0.9199520424	gen_173	0.8651710112	0.1348289888	2.2e-17	56.7	1	39	11	49	constraint_score	10
34	gen_97	136	detected	54.4	1.1e-16	1	True	0.5358851675	23	23	23	1	1	ref_001111	0.73723	0.7426508088	1.007352941	1.007352941	3.81e-55	0.2573491912	0.9253563546	gen_40	0.4852958824	0.5147041176	7.9e-17	54.9	1	39	24	62	conservation_score	13
35	gen_187	490	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001201	0.28261	0.05306146939	0.187755102	0.6388888889	161	0.9469385306	0.9589326844	gen_114	0.663264	0.336736							novelty_score	9
36	gen_120	347	not_detected	0	1000	0	False	0	23	20	4	0.8695652174	0.1739130435	ref_000478	0.30928	0.08645579251	0.2795389049	1.077777778	194	0.9135442075	0.9611316757	gen_50	0.1930844957	0.8069155043							uniqueness_score	12
37	gen_39	71	detected	55.6	4.6e-17	1	True	0.6220095694	23	23	20	1	0.8695652174	ref_000626	0.74242	0.6805516667	0.9295774648	0.9166666667	7.37e-30	0.3194483333	0.9332887464	gen_101	0.6338049296	0.3661950704	3.7e-17	55.9	1	39	11	49	constraint_score	12
38	gen_118	156	detected	43.1	3.6e-13	1	True	0.0980861244	23	23	22	1	0.9565217391	ref_000954	0.87742	0.8717955128	0.9935897436	1	7.35e-79	0.1282044872	0.9458818477	gen_76	0.7435875	0.2564125	2.7e-13	43.5	1	39	19	57	conservation_score	15
39	gen_41	303	not_detected	0	1000	0	False	0	23	17	11	0.7391304348	0.4782608696	ref_000957	0.28814	0.05610646865	0.1947194719	0.446969697	108	0.9438935314	0.9569948182	gen_59	0.4666631746	0.5333368254							novelty_score	11
40	gen_186	395	not_detected	0	1000	0	False	0	23	18	7	0.7826086957	0.3043478261	ref_000070	0.28571	0.06075858228	0.2126582278	0.976744186	152	0.9392414177	0.9598926587	gen_33	0.4771778216	0.5228221784							uniqueness_score	14
41	gen_129	73	detected	54.8	8.6e-17	0.9743589744	True	0.5693779904	23	21	8	0.9130434783	0.347826087	ref_000722	0.45161	0.3835591781	0.8493150685	0.8857142857	3.56e-08	0.6164408219	0.9536316445	gen_139	0.4285730769	0.5714269231	6.6e-17	55.1	2	39	22	59	constraint_score	13
42	gen_142	87	detected	54.1	1.3e-16	1	True	0.509569378	23	23	22	1	0.9565217391	ref_000225	0.82927	0.7391319565	0.9425287356	0.8913043478	1.32e-44	0.2608680435	0.9334196015	gen_194	0.6565687879	0.3434312121	9.9e-17	54.6	1	39	10	48	conservation_score	16
43	gen_47	100	not_detected	0	1000	0	False	0	23	16	6	0.6956521739	0.2608695652	ref_001168	0.25806	0.05714185714	0.31	0.2214285714	384	0.9428581429	0.6419695489	gen_36	0.7900024	0.2099976							novelty_score	12
44	gen_191	84	not_detected	0	1000	0	False	0	23	22	4	0.9565217391	0.1739130435	ref_001204	0.28846	0.1102935294	0.619047619	0.3823529412	128	0.8897064706	0.959532251	gen_9	0.79762	0.20238							uniqueness_score	16
45	gen_71	84	detected	53.4	2.2e-16	1	True	0.4593301435	23	21	9	0.9130434783	0.3913043478	ref_001221	0.48936	0.2738085714	0.5595238095	0.5662650602	2.17e-12	0.7261914286	0.9368854418	gen_139	0.4725237363	0.5274762637	1.8e-16	53.7	1	39	29	67	constraint_score	17
46	gen_35	155	detected	43.5	2.8e-13	1	True	0.1244019139	23	23	22	1	0.9565217391	ref_001033	0.81046	0.8000024516	0.9870967742	0.9935064935	1.63e-74	0.1999975484	0.9410965946	gen_118	0.717945	0.282055	2e-13	44	1	39	19	57	conservation_score	17
47	gen_114	444	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_001201	0.29545	0.05855765766	0.1981981982	0.6111111111	199	0.9414423423	0.9566815893	gen_187	0.663264	0.336736							novelty_score	13
48	gen_188	482	not_detected	0	1000	0	False	0	23	18	5	0.7826086957	0.2173913043	ref_000896	0.29703	0.06224072614	0.2095435685	0.7426470588	350	0.9377592739	0.9593479488	gen_64	0.5816345918	0.4183654082							uniqueness_score	17
49	gen_189	77	detected	50.4	1.9e-15	0.8974358974	False	0.3050965655	23	20	10	0.8695652174	0.4347826087	ref_000826	0.34247	0.3246793506	0.9480519481	1.013888889	4.65e-05	0.6753206494	0.9532856651	gen_129	0.3896135065	0.6103864935	1.5e-15	50.8	5	39	16	50	constraint_score	21
50	gen_76	155	detected	43.2	3.6e-13	1	True	0.1028708134	23	23	22	1	0.9565217391	ref_001038	0.83117	0.8258076129	0.9935483871	0.9935483871	1.52e-76	0.1741923871	0.9427858595	gen_118	0.7435875	0.2564125	2.7e-13	43.6	1	39	19	57	conservation_score	19
