selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	pareto_rank	crowding_distance
16	vae_candidate_000149	121	detected	55.8	2.9e-17	2.2e-17	56.2	1	True	0.6557377049	1	39	10	48	23	23	22	1	0.9565217391	nat_75679c0d4db585656573	0.58333	0.5206581818	0.8925619835	1	9.84e-32	0.4793418182	0.6105106095	vae_candidate_000343	0.5619864463	0.4380135537	1	1.155742862
17	vae_candidate_000160	121	detected	58.4	4.7e-18	7.8e-22	70.5	1	True	0.8524590164	1	39	12	50	23	23	23	1	1	nat_75679c0d4db585656573	0.61261	0.5619810744	0.9173553719	1	9.36e-36	0.4380189256	0.5711403589	vae_candidate_000948	0.5867771901	0.4132228099	1	0.8937271523
18	vae_candidate_000523	109	detected	43.1	2.8e-13	2e-13	43.6	1	True	0.131147541	1	39	28	65	23	23	23	1	1	nat_7ee1d64f80049d71603c	0.57143	0.5137627523	0.8990825688	1	3.47e-28	0.4862372477	0.5769728528	vae_candidate_000247	0.5137627523	0.4862372477	1	0.5674181305
19	vae_candidate_000731	125	detected	59.1	2.8e-18	1.7e-18	59.8	1	True	0.893442623	1	39	18	56	23	23	23	1	1	nat_fca422d4ddd5dcd65605	0.87629	0.68000104	0.776	1	8.93e-45	0.31999896	0.4855022005	vae_candidate_000128	0.68800256	0.31199744	1	0.4997659817
20	vae_candidate_000212	111	detected	58.6	3.9e-18	2.9e-18	59	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_78005b3dddedd0251b7e	0.62963	0.612612973	0.972972973	1	3.09e-37	0.387387027	0.4989317824	vae_candidate_000715	0.6306312613	0.3693687387	1	0.3020505723
21	vae_candidate_000346	115	detected	61.1	6.6e-19	4.5e-19	61.6	1	True	0.9918032787	1	39	25	63	23	23	22	1	0.9565217391	nat_7ee1d64f80049d71603c	0.63964	0.6173916522	0.9652173913	1	8.65e-37	0.3826083478	0.5005147707	vae_candidate_000574	0.6521711304	0.3478288696	1	0.2836926394
22	vae_candidate_000343	114	detected	58.5	4.1e-18	2.7e-18	59.1	1	True	0.8524590164	1	39	8	46	23	23	23	1	1	nat_942bc0624c6f9016a403	0.56452	0.5185220741	1	0.9185185185	3.77e-38	0.4814779259	0.5562027613	vae_candidate_000273	0.6052605263	0.3947394737	1	0.2117149266
23	vae_candidate_000439	87	detected	60.1	1.3e-18	9e-19	60.7	1	True	0.9836065574	1	39	13	51	23	23	23	1	1	nat_75679c0d4db585656573	0.65591	0.6630394565	1	1	8.4e-38	0.3369605435	0.483455341	vae_candidate_000591	0.63636	0.36364	1	0.0788372337
24	vae_candidate_000001	84	detected	60.3	1.2e-18	7.8e-19	60.9	1	True	0.9836065574	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.81818	0.7659557447	1	0.9361702128	2.35e-44	0.2340442553	0.4006221882	vae_candidate_000857	0.7717372826	0.2282627174	2	inf
25	vae_candidate_000216	100	detected	52.4	3.3e-16	2.5e-16	52.8	1	True	0.4918032787	1	39	13	51	23	23	21	1	0.9130434783	nat_2257aec2c4abeff42ec4	0.62366	0.5800038	0.93	0.9587628866	4.34e-32	0.4199962	0.5533641078	vae_candidate_000536	0.5599969	0.4400031	2	inf
26	vae_candidate_000220	84	detected	59.9	1.6e-18	1.2e-18	60.3	1	True	0.9754098361	1	39	11	49	23	23	23	1	1	nat_75679c0d4db585656573	0.91139	0.7826066304	0.9404761905	0.8586956522	5.61e-45	0.2173933696	0.4058384976	vae_candidate_000396	0.7865191011	0.2134808989	2	inf
27	vae_candidate_000744	95	detected	43.2	2.5e-13	2e-13	43.5	1	True	0.1475409836	1	39	8	46	23	23	22	1	0.9565217391	nat_b5ccff48f879b7cc34ad	0.6129	0.5999968421	0.9789473684	1	6.05e-29	0.4000031579	0.5471131898	vae_candidate_000058	0.6105282105	0.3894717895	2	inf
28	vae_candidate_000926	77	detected	57.9	6.5e-18	4.4e-18	58.4	1	True	0.8114754098	1	39	11	49	23	22	22	0.9565217391	0.9565217391	nat_5bc7120641a4b206dec6	0.68056	0.6363677922	0.9350649351	1	5.94e-30	0.3636322078	0.5556911022	vae_candidate_000118	0.6103927273	0.3896072727	2	inf
29	vae_candidate_000946	117	detected	57.8	7.1e-18	5.3e-18	58.2	1	True	0.8032786885	1	39	9	47	23	23	22	1	0.9565217391	nat_7ee1d64f80049d71603c	0.78049	0.5470100855	0.7008547009	0.8631578947	9.61e-39	0.4529899145	0.5435281526	vae_candidate_000547	0.5726495726	0.4273504274	2	inf
30	vae_candidate_000948	104	detected	59.6	1.9e-18	1.4e-18	60	1	True	0.9590163934	1	39	12	50	23	23	23	1	1	nat_144165ea4d3ea8a64b2e	0.78409	0.6634607692	0.8461538462	0.9263157895	6.32e-42	0.3365392308	0.4561174793	vae_candidate_000627	0.6730769231	0.3269230769	2	inf
31	vae_candidate_000505	82	detected	59.6	1.9e-18	1.6e-18	59.9	1	True	0.9590163934	1	39	14	52	23	23	22	1	0.9565217391	nat_73e0b5aa88a198c56cae	0.77333	0.6666637931	0.9146341463	0.8620689655	1.78e-34	0.3333362069	0.4802175808	vae_candidate_000792	0.6951219512	0.3048780488	2	0.9188213556
32	vae_candidate_000965	92	detected	59.3	2.5e-18	1.8e-18	59.7	1	True	0.9180327869	1	39	19	57	23	23	22	1	0.9565217391	nat_c8490949e18e771ed8c8	0.78481	0.6595743617	0.8586956522	0.8404255319	1.05e-38	0.3404256383	0.4663084551	vae_candidate_000220	0.6956491304	0.3043508696	2	0.8833214944
33	vae_candidate_000108	108	detected	49.3	3.1e-15	1.8e-15	50.1	1	True	0.3606557377	1	39	13	49	23	23	23	1	1	nat_004ac783975534947324	0.61538	0.5925881481	0.962962963	1	1.72e-31	0.4074118519	0.5340798557	vae_candidate_000293	0.5833359259	0.4166640741	2	0.5981870905
34	vae_candidate_000388	104	detected	59.6	1.9e-18	1.9e-18	59.6	1	True	0.9590163934	1	39	10	48	23	23	23	1	1	nat_67dd37821af98e87666e	0.70588	0.6923053846	0.9807692308	1	2.11e-38	0.3076946154	0.4779625287	vae_candidate_000399	0.65384875	0.34615125	2	0.5601651221
35	vae_candidate_000633	99	detected	58.5	4.1e-18	3.2e-18	58.9	1	True	0.8524590164	1	39	9	47	23	23	23	1	1	nat_4f76b230eb60279eb5dd	0.61053	0.5858621212	0.9595959596	1	1.25e-30	0.4141378788	0.5239232653	vae_candidate_000364	0.6666690909	0.3333309091	2	0.5282099215
36	vae_candidate_000273	108	detected	44.3	1.2e-13	6.3e-14	45.2	1	True	0.2540983607	1	39	12	53	23	23	23	1	1	nat_9ba949b2aab9e2be6898	0.60952	0.5925888889	0.9722222222	1	5.43e-34	0.4074111111	0.5281081585	vae_candidate_000627	0.6203748148	0.3796251852	3	inf
37	vae_candidate_000396	89	detected	59.7	1.8e-18	1.3e-18	60.2	1	True	0.9590163934	1	39	12	50	23	23	23	1	1	nat_75679c0d4db585656573	0.85393	0.8260844565	1	0.9673913043	3.7e-49	0.1739155435	0.3624209304	vae_candidate_000338	0.8494645161	0.1505354839	3	inf
38	vae_candidate_000493	91	detected	60	1.4e-18	8.3e-19	60.8	1	True	0.9836065574	1	39	8	46	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.96341	0.8404214894	0.9010989011	0.8723404255	5.3e-51	0.1595785106	0.3987028086	vae_candidate_000501	0.8571432967	0.1428567033	3	inf
39	vae_candidate_000588	99	detected	53.2	1.9e-16	1.3e-16	53.7	0.9743589744	True	0.5163934426	2	39	19	56	23	23	20	1	0.8695652174	nat_fca422d4ddd5dcd65605	0.67059	0.5757590909	0.8585858586	0.8854166667	1.6e-28	0.4242409091	0.5384740767	vae_candidate_000772	0.6262585859	0.3737414141	3	inf
40	vae_candidate_000876	82	detected	58.8	3.3e-18	2.6e-18	59.2	1	True	0.868852459	1	39	11	49	23	23	23	1	1	nat_0101bc590c89813c161a	0.69149	0.69149	1	1	1.64e-37	0.30851	0.4527714101	vae_candidate_000780	0.6966305618	0.3033694382	3	inf
41	vae_candidate_000316	85	detected	52.2	3.9e-16	2.7e-16	52.7	0.9743589744	True	0.4836065574	2	39	14	51	23	23	22	1	0.9565217391	nat_4d627ec7ce40cceb1d25	0.6375	0.6	0.9411764706	1	4.23e-32	0.4	0.507798259	vae_candidate_000536	0.6590922727	0.3409077273	3	1.038573412
42	vae_candidate_000792	74	detected	59.2	2.5e-18	2e-18	59.5	1	True	0.9098360656	1	39	12	50	23	23	23	1	1	nat_2a93193629740c6b70af	0.80556	0.7631621053	0.972972973	0.9473684211	4.18e-35	0.2368378947	0.4278214137	vae_candidate_000050	0.797292973	0.202707027	3	0.784515824
43	vae_candidate_000018	98	detected	48.9	4.2e-15	2.2e-15	49.8	1	True	0.3606557377	1	39	12	52	23	23	23	1	1	nat_67dd37821af98e87666e	0.60396	0.6224485714	1	1	2.19e-33	0.3775514286	0.5091714657	vae_candidate_000913	0.6326530612	0.3673469388	3	0.7370465486
44	vae_candidate_000347	93	detected	57.2	1.1e-17	7.7e-18	57.7	1	True	0.7540983607	1	39	11	49	23	23	22	1	0.9565217391	nat_78005b3dddedd0251b7e	0.67416	0.6315814737	0.9569892473	0.9368421053	1.4e-30	0.3684185263	0.5145247068	vae_candidate_000070	0.6344073118	0.3655926882	3	0.4802832042
45	vae_candidate_000359	106	detected	57.6	7.9e-18	5.3e-18	58.2	1	True	0.7704918033	1	39	21	59	23	23	23	1	1	nat_1aef09f774a1818b7e24	0.69792	0.6320784906	0.9056603774	1	1.66e-37	0.3679215094	0.4954309351	vae_candidate_000401	0.6132118868	0.3867881132	3	0.4577375468
46	vae_candidate_000179	91	detected	55.9	2.7e-17	2.1e-17	56.3	1	True	0.6803278689	1	39	12	50	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.70732	0.6304373913	0.9010989011	0.8913043478	2.91e-34	0.3695626087	0.4947569651	vae_candidate_000836	0.6263763736	0.3736236264	3	0.3179054915
47	vae_candidate_000364	95	detected	56.1	2.4e-17	1.5e-17	56.8	1	True	0.6967213115	1	39	12	50	23	23	23	1	1	nat_81de2b78d291d512c1e2	0.63158	0.63158	1	1	2.25e-35	0.36842	0.489055645	vae_candidate_000633	0.6666690909	0.3333309091	3	0.3102208053
48	vae_candidate_000582	86	detected	59.4	2.2e-18	1.7e-18	59.8	1	True	0.9344262295	1	39	12	50	23	23	23	1	1	nat_5d40201e59780a4578e1	0.85393	0.7999975789	1	0.9368421053	3.79e-48	0.2000024211	0.3728009764	vae_candidate_000029	0.8111106667	0.1888893333	3	0.3001488486
49	vae_candidate_000627	90	detected	59.3	2.4e-18	2e-18	59.6	1	True	0.9180327869	1	39	12	50	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.84091	0.8043486957	0.9777777778	0.9565217391	1.26e-47	0.1956513043	0.3779751772	vae_candidate_000995	0.8064483871	0.1935516129	3	0.2793995578
50	vae_candidate_000345	101	detected	57	1.2e-17	6.6e-18	57.9	1	True	0.7295081967	1	39	12	50	23	23	22	1	0.9565217391	nat_5d40201e59780a4578e1	0.62	0.6138613861	0.9900990099	1	6.08e-37	0.3861386139	0.512459393	vae_candidate_000948	0.63462	0.36538	3	0.1938782936
