selection_rank	sequence_id	length	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	selected_by_metric	source_metric_rank
25	vae_candidate_000352	72	detected	60.2	1.2e-18	9.8e-19	60.5	1	True	0.9836065574	1	39	10	48	23	23	22	1	0.9565217391	nat_9f8db13e803cecc901b7	0.90164	0.7638894444	0.8472222222	0.8714285714	1.8e-33	0.2361105556	0.5239458345	vae_candidate_000318	0.6623411688	0.3376588312	constraint_score	8
26	vae_candidate_000058	86	detected	58.7	3.7e-18	2.8e-18	59.1	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_5d40201e59780a4578e1	0.78652	0.7368450526	1	0.9368421053	5.73e-43	0.2631549474	0.4163191808	vae_candidate_000905	0.7499967391	0.2500032609	conservation_score	7
27	vae_candidate_000343	114	detected	58.5	4.1e-18	2.7e-18	59.1	1	True	0.8524590164	1	39	8	46	23	23	23	1	1	nat_942bc0624c6f9016a403	0.56452	0.5185220741	1	0.9185185185	3.77e-38	0.4814779259	0.5562027613	vae_candidate_000273	0.6052605263	0.3947394737	novelty_score	10
28	vae_candidate_000818	94	detected	46.2	3e-14	2.1e-14	46.7	0.9743589744	True	0.2786885246	2	39	30	67	23	23	23	1	1	nat_fb877ea45a36f28c6227	0.72464	0.5319165957	0.7340425532	0.7931034483	3.48e-32	0.4680834043	0.5584835623	vae_candidate_000965	0.5851058511	0.4148941489	uniqueness_score	13
29	vae_candidate_000439	87	detected	60.1	1.3e-18	9e-19	60.7	1	True	0.9836065574	1	39	13	51	23	23	23	1	1	nat_75679c0d4db585656573	0.65591	0.6630394565	1	1	8.4e-38	0.3369605435	0.483455341	vae_candidate_000591	0.63636	0.36364	constraint_score	9
30	vae_candidate_000065	81	detected	52.6	2.9e-16	2.9e-16	52.6	1	True	0.4918032787	1	39	12	51	23	23	23	1	1	nat_64b87c36790fe3acd4ba	0.70833	0.7234008511	1	1	6.9e-36	0.2765991489	0.4302064776	vae_candidate_000582	0.7558131395	0.2441868605	conservation_score	8
31	vae_candidate_000946	117	detected	57.8	7.1e-18	5.3e-18	58.2	1	True	0.8032786885	1	39	9	47	23	23	22	1	0.9565217391	nat_7ee1d64f80049d71603c	0.78049	0.5470100855	0.7008547009	0.8631578947	9.61e-39	0.4529899145	0.5435281526	vae_candidate_000547	0.5726495726	0.4273504274	novelty_score	13
32	vae_candidate_000926	77	detected	57.9	6.5e-18	4.4e-18	58.4	1	True	0.8114754098	1	39	11	49	23	22	22	0.9565217391	0.9565217391	nat_5bc7120641a4b206dec6	0.68056	0.6363677922	0.9350649351	1	5.94e-30	0.3636322078	0.5556911022	vae_candidate_000118	0.6103927273	0.3896072727	uniqueness_score	15
33	vae_candidate_000493	91	detected	60	1.4e-18	8.3e-19	60.8	1	True	0.9836065574	1	39	8	46	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.96341	0.8404214894	0.9010989011	0.8723404255	5.3e-51	0.1595785106	0.3987028086	vae_candidate_000501	0.8571432967	0.1428567033	constraint_score	10
34	vae_candidate_000090	93	detected	59.1	2.7e-18	2.1e-18	59.5	1	True	0.893442623	1	39	12	50	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.8172	0.8172	1	1	2.68e-51	0.1828	0.3880776711	vae_candidate_000135	0.8279604301	0.1720395699	conservation_score	10
35	vae_candidate_000588	99	detected	53.2	1.9e-16	1.3e-16	53.7	0.9743589744	True	0.5163934426	2	39	19	56	23	23	20	1	0.8695652174	nat_fca422d4ddd5dcd65605	0.67059	0.5757590909	0.8585858586	0.8854166667	1.6e-28	0.4242409091	0.5384740767	vae_candidate_000772	0.6262585859	0.3737414141	novelty_score	15
36	vae_candidate_000216	100	detected	52.4	3.3e-16	2.5e-16	52.8	1	True	0.4918032787	1	39	13	51	23	23	21	1	0.9130434783	nat_2257aec2c4abeff42ec4	0.62366	0.5800038	0.93	0.9587628866	4.34e-32	0.4199962	0.5533641078	vae_candidate_000536	0.5599969	0.4400031	uniqueness_score	16
37	vae_candidate_000501	90	detected	60.1	1.4e-18	1e-18	60.5	1	True	0.9836065574	1	39	11	49	23	23	23	1	1	nat_215f48254c804f1f2876	0.94382	0.8936168085	0.9888888889	0.9468085106	1.23e-47	0.1063831915	0.3591337906	vae_candidate_000857	0.8695643478	0.1304356522	constraint_score	11
38	vae_candidate_000108	108	detected	49.3	3.1e-15	1.8e-15	50.1	1	True	0.3606557377	1	39	13	49	23	23	23	1	1	nat_004ac783975534947324	0.61538	0.5925881481	0.962962963	1	1.72e-31	0.4074118519	0.5340798557	vae_candidate_000293	0.5833359259	0.4166640741	conservation_score	12
39	vae_candidate_000633	99	detected	58.5	4.1e-18	3.2e-18	58.9	1	True	0.8524590164	1	39	9	47	23	23	23	1	1	nat_4f76b230eb60279eb5dd	0.61053	0.5858621212	0.9595959596	1	1.25e-30	0.4141378788	0.5239232653	vae_candidate_000364	0.6666690909	0.3333309091	novelty_score	17
40	vae_candidate_000744	95	detected	43.2	2.5e-13	2e-13	43.5	1	True	0.1475409836	1	39	8	46	23	23	22	1	0.9565217391	nat_b5ccff48f879b7cc34ad	0.6129	0.5999968421	0.9789473684	1	6.05e-29	0.4000031579	0.5471131898	vae_candidate_000058	0.6105282105	0.3894717895	uniqueness_score	17
41	vae_candidate_000623	93	detected	60	1.5e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	10	48	23	23	23	1	1	nat_62bc5089576517d5fad1	0.90323	0.90323	1	1	4.17e-47	0.09677	0.3675783736	vae_candidate_000070	0.91398	0.08602	constraint_score	12
42	vae_candidate_000118	70	detected	57	1.3e-17	1e-17	57.3	1	True	0.7295081967	1	39	10	48	23	23	23	1	1	nat_a4ce46bc0db75edd2892	0.74286	0.6842131579	1	0.9210526316	1.03e-33	0.3157868421	0.4773671023	vae_candidate_000792	0.7702735135	0.2297264865	conservation_score	13
43	vae_candidate_000273	108	detected	44.3	1.2e-13	6.3e-14	45.2	1	True	0.2540983607	1	39	12	53	23	23	23	1	1	nat_9ba949b2aab9e2be6898	0.60952	0.5925888889	0.9722222222	1	5.43e-34	0.4074111111	0.5281081585	vae_candidate_000627	0.6203748148	0.3796251852	novelty_score	19
44	vae_candidate_000347	93	detected	57.2	1.1e-17	7.7e-18	57.7	1	True	0.7540983607	1	39	11	49	23	23	22	1	0.9565217391	nat_78005b3dddedd0251b7e	0.67416	0.6315814737	0.9569892473	0.9368421053	1.4e-30	0.3684185263	0.5145247068	vae_candidate_000070	0.6344073118	0.3655926882	uniqueness_score	25
45	vae_candidate_000780	89	detected	60.1	1.3e-18	1e-18	60.5	1	True	0.9836065574	1	39	9	47	23	23	23	1	1	nat_3e6bf91c590be6684eed	0.88298	0.88298	1	1	4.37e-44	0.11702	0.3417276674	vae_candidate_000857	0.9021707609	0.09782923913	constraint_score	13
46	vae_candidate_000128	117	detected	56.1	2.4e-17	1.7e-17	56.6	1	True	0.6967213115	1	39	10	48	23	23	23	1	1	nat_842bc418f0682cd2a9c8	0.92045	0.6923042735	0.7521367521	0.9263157895	1.75e-46	0.3076957265	0.4855500749	vae_candidate_000772	0.7179487179	0.2820512821	conservation_score	14
47	vae_candidate_000316	85	detected	52.2	3.9e-16	2.7e-16	52.7	0.9743589744	True	0.4836065574	2	39	14	51	23	23	22	1	0.9565217391	nat_4d627ec7ce40cceb1d25	0.6375	0.6	0.9411764706	1	4.23e-32	0.4	0.507798259	vae_candidate_000536	0.6590922727	0.3409077273	novelty_score	21
48	vae_candidate_000345	101	detected	57	1.2e-17	6.6e-18	57.9	1	True	0.7295081967	1	39	12	50	23	23	22	1	0.9565217391	nat_5d40201e59780a4578e1	0.62	0.6138613861	0.9900990099	1	6.08e-37	0.3861386139	0.512459393	vae_candidate_000948	0.63462	0.36538	uniqueness_score	26
49	vae_candidate_000857	92	detected	60	1.4e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	11	49	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.93617	0.93617	1	1	3.97e-51	0.06383	0.3481462864	vae_candidate_000780	0.9021707609	0.09782923913	constraint_score	14
50	vae_candidate_000133	102	detected	52.2	4e-16	3.1e-16	52.5	1	True	0.4836065574	1	39	10	48	23	23	23	1	1	nat_7ee1d64f80049d71603c	0.70707	0.6862738235	0.9705882353	1	1.12e-38	0.3137261765	0.4648454095	vae_candidate_000914	0.6568673529	0.3431326471	conservation_score	15
