selection_rank	sequence_id	sequence_sha256	terminated_by_eos	hit_generation_cap	stop_reason	raw_token_length	length	standard_aa_only	duplicate_candidate	generation_cap_warning	low_complexity_warning	composition_outlier_checked	composition_js_divergence	composition_js_threshold	composition_outlier_warning	training_match_checked	exact_training_match	training_match_ids	reference_match_checked	exact_reference_match	reference_match_ids	hydrophobic_checked	hydrophobic_warning	hydrophobic_segments	homopolymer_checked	homopolymer_warning	homopolymer_segments	tandem_repeat_checked	tandem_repeat_warning	tandem_repeat_segments	qc_pass	qc_reasons	qc_warnings	qc_failures	pool	family_status	pf00741_status	global_query_length	global_closest_reference_id	global_closest_reference_ids	global_closest_reference_tie_count	global_target_length	global_alignment_score	global_alignment_length	global_aligned_pairs	global_identical_residues	global_identity	global_query_coverage	global_target_coverage	global_effective_identity	global_distance	global_distance_status	global_distance_reason	global_reference_count	global_resolved_reference_count	manual_review	domain_review_status	domain_warning_reasons	pf00741_hit_segments	non_target_hit_count	domain_architecture	tm_review_status	tm_segment_count	tm_segments_1based_inclusive	c_review_reasons	c_manual_review	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance	domain_evaluated	novelty_score	uniqueness_score	generator_type	model_checkpoint	checkpoint_sha256	reference_release_id	split_manifest_sha256	vocabulary_sha256	generation_seed	sample_index	temperature	top_k	top_p	latent_id	sequence_length	uniqueness_resolved_fraction	uniqueness_lower_bound	uniqueness_upper_bound	uniqueness_reference_pool_size	score_ready	score_exclusion_reason	aggregate_score
11	vae_candidate_000965	4f72254750b56b8638c3793b88cc5bd2a5e2c3486ec30b3b933521ee032c2b26	True	False	eos	93	92	True	False	False	False	True	0.0279458564697	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	92	nat_ee10b37a92559cba1989	"[""nat_ee10b37a92559cba1989""]"	1	92	273.5	99	85	66	0.776470588235	0.923913043478	0.923913043478	0.717391304348	0.282608695652	resolved		346	185	False	no_extra_domain_evidence		1	0	PF00741:19-57	no_extra_tm_evidence	0			False	detected	59.3	2.5e-18	1.8e-18	59.7	1	True	0.9180327869	1	39	19	57	23	23	22	1	0.9565217391	nat_c8490949e18e771ed8c8	0.78481	0.6595743617	0.8586956522	0.8404255319	1.05e-38	vae_candidate_000220	0.6956491304	0.3043508696	True	0.282608695652	0.393131530621	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	964	1	0	1	964	92	0.77037037037	0.302856882849	0.532486512479	136	True		0.637573688068
12	vae_candidate_000359	20b78181a37b1a7637137c3e7d87f625707ed7bfaa2d84d536ebee331c5e005a	True	False	eos	107	106	True	False	False	False	True	0.0197276188901	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	106	nat_0077c6cbf903d0b80137	"[""nat_0077c6cbf903d0b80137"", ""nat_1aef09f774a1818b7e24"", ""nat_729a9790a662e92ab379""]"	3	96	285	107	95	71	0.747368421053	0.896226415094	0.989583333333	0.669811320755	0.330188679245	resolved		346	148	True	no_extra_domain_evidence		1	0	PF00741:21-59	no_extra_tm_evidence	0		base:manual_review	True	detected	57.6	7.9e-18	5.3e-18	58.2	1	True	0.7704918033	1	39	21	59	23	23	23	1	1	nat_1aef09f774a1818b7e24	0.69792	0.6320784906	0.9056603774	1	1.66e-37	vae_candidate_000401	0.6132118868	0.3867881132	True	0.330188679245	0.434279097926	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	358	1	0	1	358	106	0.807407407407	0.350640160548	0.54323275314	136	True		0.633739895118
13	vae_candidate_000876	7473a1f66e79ee674ff19cb246275ee2689436bcad8cd11261e17459d30e62d5	True	False	eos	83	82	True	False	False	False	True	0.0164554167211	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	82	nat_168a7720be25950ce7a5	"[""nat_168a7720be25950ce7a5""]"	1	94	290.5	94	82	66	0.80487804878	1	0.872340425532	0.702127659574	0.297872340426	resolved		346	219	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	58.8	3.3e-18	2.6e-18	59.2	1	True	0.868852459	1	39	11	49	23	23	23	1	1	nat_0101bc590c89813c161a	0.69149	0.69149	1	1	1.64e-37	vae_candidate_000780	0.6966305618	0.3033694382	True	0.297872340426	0.367057183486	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	875	1	0	1	875	82	0.718518518519	0.26373738369	0.545218865171	136	True		0.633445495728
14	vae_candidate_000001	b784a46b5b0d83f040d354c75bfaf51fb9a8bf2db443f24804d892d6db103acc	True	False	eos	85	84	True	False	False	False	True	0.017018031926	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	84	nat_d4ba65189ba86a477cc5	"[""nat_d4ba65189ba86a477cc5""]"	1	92	308	94	82	72	0.878048780488	0.97619047619	0.891304347826	0.782608695652	0.217391304348	resolved		346	219	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	60.3	1.2e-18	7.8e-19	60.9	1	True	0.9836065574	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.81818	0.7659557447	1	0.9361702128	2.35e-44	vae_candidate_000857	0.7717372826	0.2282627174	True	0.217391304348	0.326581450718	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	0	1	0	1	0	84	0.762962962963	0.249169551289	0.486206588326	136	True		0.631894828117
15	vae_candidate_000347	9a06335a5626267198cad2956b7fca119cfee5f9765eb03fc0e0f69e492c1bac	True	False	eos	94	93	True	False	False	False	True	0.0243279788995	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	93	nat_dad443e0412ef646de5e	"[""nat_dad443e0412ef646de5e""]"	1	95	259	99	89	62	0.696629213483	0.956989247312	0.936842105263	0.652631578947	0.347368421053	resolved		346	182	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	57.2	1.1e-17	7.7e-18	57.7	1	True	0.7540983607	1	39	11	49	23	23	22	1	0.9565217391	nat_78005b3dddedd0251b7e	0.67416	0.6315814737	0.9569892473	0.9368421053	1.4e-30	vae_candidate_000070	0.6344073118	0.3655926882	True	0.347368421053	0.453849957453	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	346	1	0	1	346	93	0.844444444444	0.383251075182	0.538806630738	136	True		0.627959619576
16	vae_candidate_000345	7d4593914292670b3edaef46bc194955019f1ac3bef91e80203b9bbcae52184c	True	False	eos	102	101	True	False	False	False	True	0.0294417100585	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	101	nat_d5d6f3cedb33fb3328b6	"[""nat_d5d6f3cedb33fb3328b6""]"	1	95	275.5	108	88	65	0.738636363636	0.871287128713	0.926315789474	0.643564356436	0.356435643564	resolved		346	153	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	57	1.2e-17	6.6e-18	57.9	1	True	0.7295081967	1	39	12	50	23	23	22	1	0.9565217391	nat_5d40201e59780a4578e1	0.62	0.6138613861	0.9900990099	1	6.08e-37	vae_candidate_000948	0.63462	0.36538	True	0.356435643564	0.451204533627	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	344	1	0	1	344	101	0.837037037037	0.377674905925	0.540637868888	136	True		0.623417528248
17	vae_candidate_000536	9afa5083ffbfd9d5f230069fdad3506f2b109cc83b99b9e4c43c4c15c5634cb8	True	False	eos	89	88	True	False	False	False	True	0.0170161769306	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	88	nat_ee10b37a92559cba1989	"[""nat_ee10b37a92559cba1989""]"	1	92	304	94	86	68	0.790697674419	0.977272727273	0.934782608696	0.739130434783	0.260869565217	resolved		346	198	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	58.6	4e-18	3.1e-18	58.9	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.73913	0.7234038298	1	0.9787234043	2.08e-43	vae_candidate_000582	0.7840952273	0.2159047727	True	0.260869565217	0.349422103353	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	535	1	0	1	535	88	0.814814814815	0.284714306436	0.469899491621	136	True		0.617736851568
18	vae_candidate_000364	b51baa8faae97da6fe2b3c30f179a5a0337377fe8979f9291690c0fc348390e0	True	False	eos	96	95	True	False	False	False	True	0.0337799607994	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	95	nat_9fda348180c612303cdb	"[""nat_9fda348180c612303cdb""]"	1	95	278	102	88	63	0.715909090909	0.926315789474	0.926315789474	0.663157894737	0.336842105263	resolved		346	183	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	56.1	2.4e-17	1.5e-17	56.8	1	True	0.6967213115	1	39	12	50	23	23	23	1	1	nat_81de2b78d291d512c1e2	0.63158	0.63158	1	1	2.25e-35	vae_candidate_000633	0.6666690909	0.3333309091	True	0.336842105263	0.434315923854	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	363	1	0	1	363	95	0.837037037037	0.363538514041	0.526501477004	136	True		0.616969835154
19	vae_candidate_000220	ac6236b0943d18d2a2bbea2c155e4c255d0179a290acc428265afc5bd200129b	True	False	eos	85	84	True	False	False	False	True	0.0157984496967	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	84	nat_75679c0d4db585656573	"[""nat_75679c0d4db585656573""]"	1	92	323	97	79	76	0.962025316456	0.940476190476	0.858695652174	0.826086956522	0.173913043478	resolved		346	219	False	no_extra_domain_evidence		1	0	PF00741:11-49	no_extra_tm_evidence	0			False	detected	59.9	1.6e-18	1.2e-18	60.3	1	True	0.9754098361	1	39	11	49	23	23	23	1	1	nat_75679c0d4db585656573	0.91139	0.7826066304	0.9404761905	0.8586956522	5.61e-45	vae_candidate_000396	0.7865191011	0.2134808989	True	0.173913043478	0.307004632168	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	219	1	0	1	219	84	0.77037037037	0.236507272188	0.466136901818	136	True		0.614081877936
20	vae_candidate_000058	860f4a13c1f3f2220ee1db107ba1c07d4dbdf710a6ab08f42819b416d6d09fac	True	False	eos	87	86	True	False	False	False	True	0.0194972757071	0.063818297288	False	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True	False	[]	True				main_supported_gvpa	supported_gvpa	pass	86	nat_970873de163a6ff8ee05	"[""nat_970873de163a6ff8ee05""]"	1	88	295.5	90	84	67	0.797619047619	0.976744186047	0.954545454545	0.761363636364	0.238636363636	resolved		346	206	False	no_extra_domain_evidence		1	0	PF00741:12-50	no_extra_tm_evidence	0			False	detected	58.7	3.7e-18	2.8e-18	59.1	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_5d40201e59780a4578e1	0.78652	0.7368450526	1	0.9368421053	5.73e-43	vae_candidate_000905	0.7499967391	0.2500032609	True	0.238636363636	0.344075207233	sequence_vae	models/generator/sequence_vae/member_a_v1_seed42/best.pt	d2801a2a130928739f44f9726bcb5bbd7be229fadfe2f05fba5d0f6cc87debdf	member_a_v1_conservative_provisional	28e2c439d1946a789cb3a3812d4c54f1cce0502dbfa9429d77c238425b501f30	4664cb809825b7023ad6a8a90b9492f757446b7b97890595c397504646aa55d4	42	57	1	0	1	57	86	0.814814814815	0.280357576264	0.465542761449	136	True		0.610841827142
