sequence_id	split	cluster_id	length	sequence_sha256	source_path	source_id	source_header	annotation_support	family_verification_status
ref_000021	train	cluster_000201	92	728d4a20bb169ff7ae2861700c0866b80279630b2ad500072229c4d700f14351	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_427090790|gvpA|protein	WP_427090790|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000022	train	cluster_000348	74	b3e7eac10f741058a688bc7d62c0f50b5a15ad09caae40e59b5e7155d1011066	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_426749826|gvpA|protein	WP_426749826|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000023	train	cluster_000201	92	b06d07bf5a6f8cc59b307cc74668a4565b178a5b51a0e3498d4c26987650035e	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_426659139|gvpA|protein	WP_426659139|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000024	train	cluster_000318	80	9896810d394d4d1edf15ff02a5ebe1a5ce22578a398bf69c24333fb0d1e948a5	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_431193991|gvpA|protein	WP_431193991|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000025	train	cluster_000309	83	910f1df4ae7a7e4e12922ebde6fee24297fb90f39eea052693cdac7ba54d0304	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_430140347|gvpA|protein	WP_430140347|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000026	train	cluster_000200	90	17718ba432b9ffbaf06b1bb2b0b2bb7a8824f8f4fa1fc5d630b80747312e1252	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_430127181|gvpA|protein	WP_430127181|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000027	train	cluster_000228	89	ac016806c065e58141c3b0882b333b9894e53396b76c57e421d12cc3fee9d207	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_430006374|gvpA|protein	WP_430006374|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000028	train	cluster_000318	70	0fc8bfe28907ef9fa5eb6ba06eadb9186ee00c3cd615714110e142bfd5e0793d	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_428089254|gvpA|protein	WP_428089254|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000029	train	cluster_000231	87	58552353178d8fa2f36f7b3daafc17974c1edbc48383f9691809dca7f0067bba	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_221567456|gvpA|protein	WP_221567456|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000030	test	cluster_000295	85	9a9380d4b10b8ef49e08d8cdcb310b72b0898e2b53118fc0ebf7fc13e6851c59	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_443143372|gvpA|protein	WP_443143372|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000031	train	cluster_000160	92	969159e68bc0479327cf12527c848f43e276e0d12b14db7fde40332a3c5adbe5	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_128525920|gvpA|protein	WP_128525920|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000032	train	cluster_000405	69	484b097725196d6613d9eef612aabe13e2fc6914100808e8038b38b39a3ebbaa	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_257743183|gvpA|protein	WP_257743183|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000033	train	cluster_000236	88	8d9ebc646f6fec623f00ceeb9030112286df2d5d8f0f5344df448c0444b19877	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_342825632|gvpA|protein	WP_342825632|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000034	train	cluster_000318	72	54de16dcd0555acdee27e23bffaee616a31d423e9e0c7d09bc1668199d1ac85a	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_330483830|gvpA|protein	WP_330483830|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000035	train	cluster_000318	80	7cb4966ababb293a7db4a703483439d33c99a78a5a6366c84547d2b67a710fd5	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_425589715|gvpA|protein	WP_425589715|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000036	validation	cluster_000342	73	4c06fdcd9b94ab517ef7d85c35ac9fe42722fa104e03d232f9906a1962e98808	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_015164085|gvpA|protein	WP_015164085|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000037	train	cluster_000318	80	de1520359c3cd2badb80f957511e46579741fc7dd176bf9ab7bd48d3e9492cb6	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_425311603|gvpA|protein	WP_425311603|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000038	test	cluster_000178	95	49d3875a5ef4bbb644f930139f267d2cc4e3bdfbfd30dde28aab18149bc1f254	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_436344290|gvpA|protein	WP_436344290|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000039	train	cluster_000341	75	1e070d0d2387bb202235dd365948f4b25f48059ea4c98d3578571e9cd7eb12bb	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_440955508|gvpA|protein	WP_440955508|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000040	test	cluster_000178	95	38cb7bda240a833d36b384add457f6a14c4bac92c8bfa58639724187005025d1	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_440769334|gvpA|protein	WP_440769334|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000041	train	cluster_000179	95	3dcd4bf22b7bbdb49d82bd3c0ad5243535489009f84e98c6150ccd4e5dc08f1d	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_440765493|gvpA|protein	WP_440765493|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000042	train	cluster_000179	95	8f3e753527c876cd94f0f40735a536faf3fc90a3524a79b993b998a48495383b	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_124192755|gvpA|protein	WP_124192755|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000043	validation	cluster_000342	75	a36db64a1cae19ba84f5736ecad9f699b8c418df17453e6097baf0fe98e55ea5	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_069965561|gvpA|protein	WP_069965561|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000044	train	cluster_000310	83	8029e604ce9dbbf533bc34063c6ae4a15adebb3aec2e326641ead510af02f069	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_433627171|gvpA|protein	WP_433627171|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000045	train	cluster_000310	83	a95d48deca9746ef575ec2c96132f2d3026053b85173ca7aeafa62b090fafe87	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_113279097|gvpA|protein	WP_113279097|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000046	train	cluster_000346	72	8f7aa09afb9d7c3cc2eb21e2c36d3651a0b1d0bb140446aa99cfc1a96f4de3ce	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_006616598|gvpA|protein	WP_006616598|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000047	train	cluster_000366	72	c0e3f34d82aab8fda8726713aa4d0f05d8d0c58a7216b71e0372b7862d480ca1	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_168048067|gvpA|protein	WP_168048067|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000048	train	cluster_000184	95	144165ea4d3ea8a64b2e97fd557e53d485b05e168aefc547e39ea8dc8fed59dd	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_436345017|gvpA|protein	WP_436345017|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000049	train	cluster_000223	87	86d5d5d3761caa2bee10b54644a925b5b984756881a0c293ecddc246f152bd18	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_110939071|gvpA|protein	WP_110939071|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000050	train	cluster_000334	72	bb973ad514bc9a8e4071a1875fc5756e7859556fa23d8596d35a2c4da3565928	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_435550518|gvpA|protein	WP_435550518|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000051	train	cluster_000268	86	d5c2d4101839c4dee9b608bbafd0bb712b3bb5cc8e8bb373c074eb48f72d3a9b	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_435348186|gvpA|protein	WP_435348186|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000052	train	cluster_000322	76	13dff233b6dfd04cb79ca09d72c28e71d76c7ac1c59a0f75ad568a11420b75ee	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_435186752|gvpA|protein	WP_435186752|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000053	train	cluster_000313	82	f5db5c4704d592f947d9390e9bcd6afde1ac2a8c4b44472ec28636a4e3ab47c5	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_435154202|gvpA|protein	WP_435154202|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000054	train	cluster_000316	81	5ce032d4beb5b5581c618476a58270e695b96c865b52dc4ae6b923e37a3377cd	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_435154193|gvpA|protein	WP_435154193|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000055	train	cluster_000157	102	137eb09d8ee3033616644972d3e3e925408f94a1cacddbb7cf37e4ede6df16f3	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_435076947|gvpA|protein	WP_435076947|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000056	train	cluster_000310	83	d405e6b9ae22924670320e0579207148579619ea65916597eaa9e3b155853a8e	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_433627166|gvpA|protein	WP_433627166|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000057	train	cluster_000318	72	41af882b944a1fc500dbe8f6fc01230050462280d115eeafbc8f1cb2c66f1d11	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_431662249|gvpA|protein	WP_431662249|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000058	train	cluster_000164	97	911977f51fb32fb01946dc2bed8313d1fa9c4cb458417285b80e1d0b4af36425	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_101841863|gvpA|protein	WP_101841863|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000059	validation	cluster_000342	72	ffef1b1b441fdc15ea9c7981dc1e18e5fd48b4bd588343bda7a874e40857653d	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_190575773|gvpA|protein	WP_190575773|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000060	train	cluster_000194	93	b65132e25cc65ac0170dec17af09ef6d9ddc86b42bf3a1dd98bef9769b556343	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_430790276|gvpA|protein	WP_430790276|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000061	train	cluster_000318	72	908def535fa98fa36b50ccc7b99887e25d2d33284b95e820e8135e01dd397cd1	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_430686742|gvpA|protein	WP_430686742|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000062	train	cluster_000227	88	e6ccc21f1ec1a2362fcf83865db79b02072bd4e4854c8eedc5c7f7b0246d5719	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_430120777|gvpA|protein	WP_430120777|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000063	train	cluster_000309	83	a66f240c8435d5f7eedc413fda6c233e960d22ae30577f0ce510087aea050816	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_430065897|gvpA|protein	WP_430065897|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000064	train	cluster_000201	83	a30535db979f7cb9b9d1575d743d64af85db6ff38f04fbd94a72d974ac906c20	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_328257699|gvpA|protein	WP_328257699|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000065	train	cluster_000367	72	f0b585defb33f68b9eec146548ed02b46b614ae37435ad5b020b758b4d5f244f	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_324632560|gvpA|protein	WP_324632560|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000066	train	cluster_000200	88	6ab091088c0d2085f19341445efca3bd7552fe8e88dd3276c572540a4c79acbc	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_323618175|gvpA|protein	WP_323618175|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000067	validation	cluster_000342	72	cdcb9ea08084d402155df7d0686cb8cea6ba1a31a6700d9535afd219d71587fa	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_322732512|gvpA|protein	WP_322732512|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000068	train	cluster_000237	88	e70eb92ab459701dc753ece2045300ba79f6dcccdb811cbfe12eeb7a71243f3d	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_322420075|gvpA|protein	WP_322420075|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000069	train	cluster_000221	90	805855d37a367a5867e37119f6d4ca11ce3a9771efa51ee1d159b4bd843f912a	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_320156897|gvpA|protein	WP_320156897|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000070	train	cluster_000269	86	499d1d5d62f7019687f3b0059c07e37c33752b65b36ec66eebc2e45d4f2fa3a4	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_316572692|gvpA|protein	WP_316572692|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000071	validation	cluster_000255	86	fe5639b3f6715383286aeb1b876f8ff0584cb9b9687213268c0fa3160ccd0d10	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_290399117|gvpA|protein	WP_290399117|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000072	test	cluster_000210	91	6b64acdf3f40fdffd14457cf606766a5451a179ed659c2fe7bc45e7d0a7abcb4	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_347395773|gvpA|protein	WP_347395773|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000073	train	cluster_000241	86	fa3ceb760df75c71ed088b41a6a5cb57560dd57584efea5c666da3bd00024593	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_341982146|gvpA|protein	WP_341982146|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000074	train	cluster_000202	91	353e9d0dff81158687ff2e4f2b8984e4d6a17430c1d909a093884122403d9cb2	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_339227026|gvpA|protein	WP_339227026|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000075	validation	cluster_000270	86	45c7c948c17d40fffc2fecd18e8eb9f993cd3d908fa5567702d7b7dfc4518927	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_335961848|gvpA|protein	WP_335961848|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000076	train	cluster_000309	83	8400e38ff12b62b40e03f973a10e92c50343db146d03ee3461eae584e02f49fc	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_335714145|gvpA|protein	WP_335714145|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000077	train	cluster_000245	80	76384a42f96a6dc0ed31f4335ecfed20e5f4a9f030a106c3909a844c5b9db10c	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_335558846|gvpA|protein	WP_335558846|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000078	train	cluster_000245	87	1d2eaab6bc1405efd0c8e5ab7312219bec44e62cde1589a104d7f3122aeaceec	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_335537523|gvpA|protein	WP_335537523|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000079	train	cluster_000323	78	967e2f04e468a1a875d95aef96684bd59af17b05397db6a5e57b624802fa22d2	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_335072082|gvpA|protein	WP_335072082|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000080	train	cluster_000329	71	26dd9c3e80f115461010c3e48a60d95fe14f7e45bff5c06ac7dd6e0e34690448	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_335059862|gvpA|protein	WP_335059862|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000081	validation	cluster_000342	73	71f9753012b6644cf772515c27a3c5a497fdd40153f703681603ce4eafc42ea5	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_335049349|gvpA|protein	WP_335049349|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000082	train	cluster_000318	74	8be2e14f0153cb01c7e89076f2a6275d8da7f12e0e575e69dabb3df9999082cc	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_334789054|gvpA|protein	WP_334789054|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000083	train	cluster_000318	71	4076ee92571a9babe66f0519b5f715f210808ee8cf5653d8a346b1632f6930d1	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_334779866|gvpA|protein	WP_334779866|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000084	validation	cluster_000342	73	b38024f0aba86f47c4adefb470377765a198ad65def833ed535315e7ecc6271b	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_334710560|gvpA|protein	WP_334710560|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000085	train	cluster_000318	59	24eac37b8142531de647d95b040f3bb74e20b109dd515dd14a422c5a046f198c	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_330936551|gvpA|protein	WP_330936551|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000086	train	cluster_000343	75	651deda52eb485d5380e11d0bd0c580df38f654881a05e859441303cd3690fbc	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_315073129|gvpA|protein	WP_315073129|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000087	train	cluster_000228	86	c306fc2a612dcf7963887fd1483f31b8b1d3630b71566506bdbc766a133d7160	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_113969339|gvpA|protein	WP_113969339|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000088	train	cluster_000246	87	81c3c33e1052ca11c9fde60fd0a62a9ef2c4738a5782114778528dc2c8d1fe8f	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_426842538|gvpA|protein	WP_426842538|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000089	validation	cluster_000368	72	58de098a6c8aae0513de85526b4bfd2ec959113cd4692c08455d9bd7f1221b78	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_428403798|gvpA|protein	WP_428403798|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000090	train	cluster_000211	91	531760bd0ae2999dbf0aa9151e722a6e3f56f36bc1e97a4473d19e1e66ba63d6	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_426585015|gvpA|protein	WP_426585015|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
ref_000091	train	cluster_000211	89	18aeb74e18302803a1f05608a7d4fa45b098bea94fa1a6302b33e1400eb1edfd	data/raw/t05/gvpa/GvpA_RefSeq.fasta	WP_426542028|gvpA|protein	WP_426542028|gvpA|protein	explicit_gvpa_source_label	pending_competitive_gvpa_gvpj_verification
