sequence_id	length	domain_status	domain_score	domain_evalue	sequence_evalue	sequence_score	model_coverage	domain_pass	constraint_score	hmm_from	hmm_to	alignment_from	alignment_to	conserved_sites_total	conserved_sites_covered	conserved_sites_matched	conservation_coverage	conservation_score	closest_reference_id	closest_reference_pident	closest_reference_effective_identity	closest_reference_query_coverage	closest_reference_target_coverage	closest_reference_evalue	novelty_score	uniqueness_score	nearest_candidate_id	nearest_candidate_identity	nearest_candidate_distance
vae_candidate_000220	84	detected	59.9	1.6e-18	1.2e-18	60.3	1	True	0.9754098361	1	39	11	49	23	23	23	1	1	nat_75679c0d4db585656573	0.91139	0.7826066304	0.9404761905	0.8586956522	5.61e-45	0.2173933696	0.4058384976	vae_candidate_000396	0.7865191011	0.2134808989
vae_candidate_000228	124	detected	59.3	2.4e-18	1.8e-18	59.7	1	True	0.9180327869	1	39	17	55	23	23	23	1	1	nat_dca06c4ca76aafac96e9	0.60577	0.5080651613	0.8387096774	1	3.79e-36	0.4919348387	0.5727150473	vae_candidate_000731	0.5359968	0.4640032
vae_candidate_000230	92	detected	59.2	2.6e-18	2e-18	59.6	1	True	0.9098360656	1	39	12	50	23	23	23	1	1	nat_d6e9dabc7155ae370ddb	0.87097	0.8526337895	1	0.9789473684	9.39e-45	0.1473662105	0.3707252474	vae_candidate_000399	0.8829748936	0.1170251064
vae_candidate_000247	96	detected	56.5	1.8e-17	1.3e-17	57	1	True	0.7213114754	1	39	12	50	23	23	23	1	1	nat_dca06c4ca76aafac96e9	0.82979	0.8041263918	0.9791666667	0.9690721649	2.69e-48	0.1958736082	0.4098967726	vae_candidate_000841	0.80208	0.19792
vae_candidate_000249	107	detected	53.6	1.5e-16	1e-16	54.1	1	True	0.5245901639	1	39	25	63	23	23	23	1	1	nat_49d3875a5ef4bbb644f9	0.90323	0.7850503738	0.8691588785	0.9789473684	6.9e-46	0.2149496262	0.4474118473	vae_candidate_000157	0.7289745794	0.2710254206
vae_candidate_000258	93	detected	56.7	1.6e-17	1.2e-17	57.1	1	True	0.7213114754	1	39	11	49	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.87778	0.8404276596	0.9677419355	0.9574468085	1.64e-45	0.1595723404	0.3948677051	vae_candidate_000903	0.8000029474	0.1999970526
vae_candidate_000264	110	detected	58.6	3.8e-18	2.9e-18	59	1	True	0.8606557377	1	39	27	65	23	23	23	1	1	nat_1f956fdbc151f2ec0ffb	0.95506	0.7727303636	0.8090909091	0.9368421053	5.58e-45	0.2272696364	0.4416504081	vae_candidate_000696	0.7727272727	0.2272727273
vae_candidate_000266	89	detected	57.4	9.5e-18	7.3e-18	57.8	1	True	0.762295082	1	39	12	50	23	23	23	1	1	nat_dbd11e06d90ad48401af	0.8617	0.8617	1	1	9.81e-47	0.1383	0.3545472529	vae_candidate_000230	0.8587	0.1413
vae_candidate_000273	108	detected	44.3	1.2e-13	6.3e-14	45.2	1	True	0.2540983607	1	39	12	53	23	23	23	1	1	nat_9ba949b2aab9e2be6898	0.60952	0.5925888889	0.9722222222	1	5.43e-34	0.4074111111	0.5281081585	vae_candidate_000627	0.6203748148	0.3796251852
vae_candidate_000284	91	detected	58.1	5.6e-18	4.3e-18	58.5	1	True	0.8114754098	1	39	12	50	23	23	23	1	1	nat_30c8db5b2a48ec02340b	0.82418	0.797876383	1	0.9680851064	5.05e-46	0.202123617	0.4344135465	vae_candidate_000266	0.7802208791	0.2197791209
vae_candidate_000288	114	detected	49.4	3e-15	3e-15	49.4	0.8717948718	False	0.346010044	1	34	14	47	23	23	20	1	0.8695652174	nat_a49cfe7d33cec22c3905	0.74074	0.5263152632	0.7105263158	0.8526315789	9.87e-32	0.4736847368	0.556941451	vae_candidate_000948	0.5964913158	0.4035086842
vae_candidate_000293	93	detected	60.9	7.5e-19	5.9e-19	61.2	1	True	0.9918032787	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.62245	0.648937234	1	1	9.97e-34	0.351062766	0.503451581	vae_candidate_000536	0.6559143011	0.3440856989
vae_candidate_000295	87	detected	40.2	2.2e-12	1.5e-12	40.8	1	True	0	1	39	12	49	23	23	21	1	0.9130434783	nat_9ba949b2aab9e2be6898	0.74074	0.6315783158	0.9310344828	0.8526315789	7.18e-35	0.3684216842	0.4853945773	vae_candidate_000058	0.666668046	0.333331954
vae_candidate_000316	85	detected	52.2	3.9e-16	2.7e-16	52.7	0.9743589744	True	0.4836065574	2	39	14	51	23	23	22	1	0.9565217391	nat_4d627ec7ce40cceb1d25	0.6375	0.6	0.9411764706	1	4.23e-32	0.4	0.507798259	vae_candidate_000536	0.6590922727	0.3409077273
vae_candidate_000318	77	detected	56.9	1.3e-17	1.3e-17	56.9	1	True	0.7295081967	1	39	12	50	23	23	23	1	1	nat_39696a92cfeac6f208a2	0.76056	0.6923046154	0.9220779221	0.9102564103	2.25e-33	0.3076953846	0.4857696796	vae_candidate_000792	0.6753272727	0.3246727273
vae_candidate_000323	103	detected	54.9	5.6e-17	4.4e-17	55.3	1	True	0.5983606557	1	39	22	60	23	23	22	1	0.9565217391	nat_9ba949b2aab9e2be6898	0.80952	0.660191068	0.8155339806	0.8842105263	1.52e-38	0.339808932	0.5030375352	vae_candidate_000401	0.6796121359	0.3203878641
vae_candidate_000327	96	detected	37.1	2.1e-11	1.5e-11	37.5	1	True	0	1	39	9	46	23	22	21	0.9565217391	0.9130434783	nat_0ae199fc6d044a2da135	0.77011	0.6979121875	0.90625	0.9157894737	9.68e-40	0.3020878125	0.4728571466	vae_candidate_000219	0.7113385567	0.2886614433
vae_candidate_000332	105	detected	33.6	2.6e-10	6.1e-11	35.6	0.8974358974	False	0	5	39	23	58	23	23	23	1	1	nat_8f3e753527c876cd94f0	0.85714	0.7999973333	0.9333333333	1	8.2e-46	0.2000026667	0.4234200527	vae_candidate_000533	0.7714285714	0.2285714286
vae_candidate_000338	93	detected	60	1.5e-18	1.1e-18	60.4	1	True	0.9836065574	1	39	14	52	23	23	23	1	1	nat_9ca97034ea4d97950343	0.98876	0.936166383	0.9569892473	0.9468085106	1.72e-60	0.06383361702	0.3416137107	vae_candidate_000399	0.9042589362	0.09574106383
vae_candidate_000343	114	detected	58.5	4.1e-18	2.7e-18	59.1	1	True	0.8524590164	1	39	8	46	23	23	23	1	1	nat_942bc0624c6f9016a403	0.56452	0.5185220741	1	0.9185185185	3.77e-38	0.4814779259	0.5562027613	vae_candidate_000273	0.6052605263	0.3947394737
vae_candidate_000344	88	detected	56.4	1.9e-17	1.4e-17	56.8	1	True	0.7131147541	1	39	12	50	23	23	22	1	0.9565217391	nat_9ba949b2aab9e2be6898	0.82418	0.7894776842	1	0.9578947368	4.17e-46	0.2105223158	0.379374539	vae_candidate_000266	0.80899	0.19101
vae_candidate_000345	101	detected	57	1.2e-17	6.6e-18	57.9	1	True	0.7295081967	1	39	12	50	23	23	22	1	0.9565217391	nat_5d40201e59780a4578e1	0.62	0.6138613861	0.9900990099	1	6.08e-37	0.3861386139	0.512459393	vae_candidate_000948	0.63462	0.36538
vae_candidate_000346	115	detected	61.1	6.6e-19	4.5e-19	61.6	1	True	0.9918032787	1	39	25	63	23	23	22	1	0.9565217391	nat_7ee1d64f80049d71603c	0.63964	0.6173916522	0.9652173913	1	8.65e-37	0.3826083478	0.5005147707	vae_candidate_000574	0.6521711304	0.3478288696
vae_candidate_000347	93	detected	57.2	1.1e-17	7.7e-18	57.7	1	True	0.7540983607	1	39	11	49	23	23	22	1	0.9565217391	nat_78005b3dddedd0251b7e	0.67416	0.6315814737	0.9569892473	0.9368421053	1.4e-30	0.3684185263	0.5145247068	vae_candidate_000070	0.6344073118	0.3655926882
vae_candidate_000352	72	detected	60.2	1.2e-18	9.8e-19	60.5	1	True	0.9836065574	1	39	10	48	23	23	22	1	0.9565217391	nat_9f8db13e803cecc901b7	0.90164	0.7638894444	0.8472222222	0.8714285714	1.8e-33	0.2361105556	0.5239458345	vae_candidate_000318	0.6623411688	0.3376588312
vae_candidate_000354	95	detected	58.9	3.1e-18	2.3e-18	59.3	1	True	0.868852459	1	39	12	50	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.89474	0.89474	1	1	3.72e-51	0.10526	0.3696978687	vae_candidate_000967	0.8526294737	0.1473705263
vae_candidate_000356	111	detected	43.4	2.3e-13	7.2e-14	45	1	True	0.1803278689	1	39	14	55	23	23	23	1	1	nat_d1b057f953bd558c0457	0.86598	0.7567572973	0.8738738739	1	2.39e-43	0.2432427027	0.4504052898	vae_candidate_000841	0.7297295495	0.2702704505
vae_candidate_000359	106	detected	57.6	7.9e-18	5.3e-18	58.2	1	True	0.7704918033	1	39	21	59	23	23	23	1	1	nat_1aef09f774a1818b7e24	0.69792	0.6320784906	0.9056603774	1	1.66e-37	0.3679215094	0.4954309351	vae_candidate_000401	0.6132118868	0.3867881132
vae_candidate_000364	95	detected	56.1	2.4e-17	1.5e-17	56.8	1	True	0.6967213115	1	39	12	50	23	23	23	1	1	nat_81de2b78d291d512c1e2	0.63158	0.63158	1	1	2.25e-35	0.36842	0.489055645	vae_candidate_000633	0.6666690909	0.3333309091
vae_candidate_000369	88	detected	38.5	7.3e-12	4.5e-12	39.2	1	True	0	1	39	12	51	23	23	23	1	1	nat_9ba949b2aab9e2be6898	0.88764	0.8315785263	1	0.9368421053	5.28e-50	0.1684214737	0.4005047084	vae_candidate_000841	0.8210557895	0.1789442105
vae_candidate_000374	106	detected	49.8	2.3e-15	1.7e-15	50.2	1	True	0.3852459016	1	39	11	49	23	23	22	1	0.9565217391	nat_49d3875a5ef4bbb644f9	0.87059	0.6981146226	0.8018867925	0.8947368421	1.23e-41	0.3018853774	0.4632062694	vae_candidate_000157	0.7358528302	0.2641471698
vae_candidate_000383	98	detected	55.1	4.8e-17	3.2e-17	55.7	1	True	0.5983606557	1	39	20	58	23	23	22	1	0.9565217391	nat_9ba949b2aab9e2be6898	0.78495	0.7449015306	0.9489795918	0.9789473684	4.32e-43	0.2550984694	0.46130543	vae_candidate_000908	0.7346938776	0.2653061224
vae_candidate_000388	104	detected	59.6	1.9e-18	1.9e-18	59.6	1	True	0.9590163934	1	39	10	48	23	23	23	1	1	nat_67dd37821af98e87666e	0.70588	0.6923053846	0.9807692308	1	2.11e-38	0.3076946154	0.4779625287	vae_candidate_000399	0.65384875	0.34615125
vae_candidate_000396	89	detected	59.7	1.8e-18	1.3e-18	60.2	1	True	0.9590163934	1	39	12	50	23	23	23	1	1	nat_75679c0d4db585656573	0.85393	0.8260844565	1	0.9673913043	3.7e-49	0.1739155435	0.3624209304	vae_candidate_000338	0.8494645161	0.1505354839
vae_candidate_000399	94	detected	58.3	4.8e-18	3.6e-18	58.7	1	True	0.8442622951	1	39	12	50	23	23	23	1	1	nat_9ca97034ea4d97950343	0.95699	0.9468092553	0.9893617021	0.9893617021	1.28e-59	0.05319074468	0.3492157683	vae_candidate_000967	0.9157856842	0.08421431579
vae_candidate_000401	95	detected	57.2	1.1e-17	8.3e-18	57.6	1	True	0.7540983607	1	39	22	60	23	23	23	1	1	nat_d5d6f3cedb33fb3328b6	0.94253	0.8631590526	0.9157894737	0.9157894737	6.98e-54	0.1368409474	0.3685486298	vae_candidate_000338	0.8315826316	0.1684173684
vae_candidate_000411	96	detected	55.1	4.9e-17	3.8e-17	55.5	1	True	0.5983606557	1	39	17	55	23	23	23	1	1	nat_dc6aa26cbe06c32b68c2	0.88764	0.82291625	0.9270833333	0.9468085106	4.47e-51	0.17708375	0.4172734358	vae_candidate_000501	0.8124958333	0.1875041667
vae_candidate_000426	94	detected	56.5	1.8e-17	1.4e-17	56.9	1	True	0.7213114754	1	39	12	50	23	23	23	1	1	nat_d5d6f3cedb33fb3328b6	0.90426	0.8947414737	1	0.9894736842	4.33e-45	0.1052585263	0.3719213278	vae_candidate_000135	0.88298	0.11702
vae_candidate_000439	87	detected	60.1	1.3e-18	9e-19	60.7	1	True	0.9836065574	1	39	13	51	23	23	23	1	1	nat_75679c0d4db585656573	0.65591	0.6630394565	1	1	8.4e-38	0.3369605435	0.483455341	vae_candidate_000591	0.63636	0.36364
vae_candidate_000463	85	detected	56.8	1.4e-17	1e-17	57.3	1	True	0.7213114754	1	39	11	49	23	23	23	1	1	nat_873dfd59523575571c0b	0.79487	0.7294101176	0.9176470588	0.9176470588	2.27e-41	0.2705898824	0.4397579846	vae_candidate_000582	0.7325569767	0.2674430233
vae_candidate_000467	102	detected	58.9	3.2e-18	2.4e-18	59.3	1	True	0.868852459	1	39	20	58	23	23	23	1	1	nat_dad443e0412ef646de5e	0.85294	0.85294	1	1	4.73e-49	0.14706	0.3963260999	vae_candidate_000135	0.8137219608	0.1862780392
vae_candidate_000493	91	detected	60	1.4e-18	8.3e-19	60.8	1	True	0.9836065574	1	39	8	46	23	23	23	1	1	nat_c8490949e18e771ed8c8	0.96341	0.8404214894	0.9010989011	0.8723404255	5.3e-51	0.1595785106	0.3987028086	vae_candidate_000501	0.8571432967	0.1428567033
vae_candidate_000501	90	detected	60.1	1.4e-18	1e-18	60.5	1	True	0.9836065574	1	39	11	49	23	23	23	1	1	nat_215f48254c804f1f2876	0.94382	0.8936168085	0.9888888889	0.9468085106	1.23e-47	0.1063831915	0.3591337906	vae_candidate_000857	0.8695643478	0.1304356522
vae_candidate_000505	82	detected	59.6	1.9e-18	1.6e-18	59.9	1	True	0.9590163934	1	39	14	52	23	23	22	1	0.9565217391	nat_73e0b5aa88a198c56cae	0.77333	0.6666637931	0.9146341463	0.8620689655	1.78e-34	0.3333362069	0.4802175808	vae_candidate_000792	0.6951219512	0.3048780488
vae_candidate_000520	73	detected	35.5	6.6e-11	5e-11	35.9	0.8205128205	False	0	1	32	10	41	23	22	20	0.9565217391	0.8695652174	nat_1ed909a554bd91f8870f	0.69333	0.7123253425	1	1	5.73e-29	0.2876746575	0.5230942022	vae_candidate_000050	0.6712284932	0.3287715068
vae_candidate_000523	109	detected	43.1	2.8e-13	2e-13	43.6	1	True	0.131147541	1	39	28	65	23	23	23	1	1	nat_7ee1d64f80049d71603c	0.57143	0.5137627523	0.8990825688	1	3.47e-28	0.4862372477	0.5769728528	vae_candidate_000247	0.5137627523	0.4862372477
vae_candidate_000527	93	detected	57.2	1.1e-17	8.8e-18	57.5	1	True	0.7540983607	1	39	13	51	23	23	23	1	1	nat_78005b3dddedd0251b7e	0.8	0.8	1	1	9.47e-45	0.2	0.3917730781	vae_candidate_000070	0.8064483871	0.1935516129
vae_candidate_000533	101	detected	40	2.6e-12	3.4e-14	46	1	True	0	1	39	12	54	23	23	23	1	1	nat_9fda348180c612303cdb	0.86869	0.8514882178	0.9801980198	1	2.09e-44	0.1485117822	0.4102655874	vae_candidate_000967	0.7920784158	0.2079215842
vae_candidate_000535	92	detected	58	6.1e-18	4.7e-18	58.4	1	True	0.8114754098	1	39	13	51	23	23	23	1	1	nat_b5ccff48f879b7cc34ad	0.81395	0.7608663043	0.9347826087	0.9347826087	1.93e-45	0.2391336957	0.4161056853	vae_candidate_000090	0.7634425806	0.2365574194
vae_candidate_000536	88	detected	58.6	4e-18	3.1e-18	58.9	1	True	0.8606557377	1	39	12	50	23	23	23	1	1	nat_004ac783975534947324	0.73913	0.7234038298	1	0.9787234043	2.08e-43	0.2765961702	0.4161247762	vae_candidate_000582	0.7840952273	0.2159047727
vae_candidate_000539	91	detected	52.2	3.9e-16	2.8e-16	52.7	0.8974358974	False	0.4568482998	5	39	14	48	23	23	23	1	1	nat_4f811102c58fb8e77080	0.7	0.6153846154	0.8791208791	1	6.61e-34	0.3846153846	0.5282055676	vae_candidate_000652	0.637363956	0.362636044
vae_candidate_000547	100	detected	57.3	9.9e-18	7.8e-18	57.7	1	True	0.7540983607	1	39	11	49	23	23	22	1	0.9565217391	nat_943ce15fb7773fa3a769	0.75556	0.680004	0.9	0.9574468085	1.12e-38	0.319996	0.4651996525	vae_candidate_000034	0.6800024	0.3199976
vae_candidate_000572	87	detected	51.8	5.1e-16	3.5e-16	52.4	1	True	0.4426229508	1	39	9	49	23	23	23	1	1	nat_81de2b78d291d512c1e2	0.825	0.7173913043	0.9195402299	0.8695652174	5.47e-41	0.2826086957	0.4306716565	vae_candidate_000780	0.7415748315	0.2584251685
vae_candidate_000574	94	detected	59.9	1.6e-18	1.2e-18	60.2	1	True	0.9754098361	1	39	12	50	23	23	23	1	1	nat_92d7d81f95603487cd9c	0.94681	0.9368435789	1	0.9894736842	2.1e-58	0.06315642105	0.3546445206	vae_candidate_000338	0.8829807447	0.1170192553
vae_candidate_000582	86	detected	59.4	2.2e-18	1.7e-18	59.8	1	True	0.9344262295	1	39	12	50	23	23	23	1	1	nat_5d40201e59780a4578e1	0.85393	0.7999975789	1	0.9368421053	3.79e-48	0.2000024211	0.3728009764	vae_candidate_000029	0.8111106667	0.1888893333
vae_candidate_000588	99	detected	53.2	1.9e-16	1.3e-16	53.7	0.9743589744	True	0.5163934426	2	39	19	56	23	23	20	1	0.8695652174	nat_fca422d4ddd5dcd65605	0.67059	0.5757590909	0.8585858586	0.8854166667	1.6e-28	0.4242409091	0.5384740767	vae_candidate_000772	0.6262585859	0.3737414141
