sequence_id	sequence_sha256	sequence_length	pf00741_status	pf00741_score	pf00741_sequence_score	pf00741_coverage	best_family	best_family_score	second_family	second_family_score	family_margin	best_model_coverage	best_query_coverage	family_status	classification_reason	gvpa_score	gvpj_score	hmm_family_status	similarity_best_family	similarity_best_reference	similarity_effective_identity	similarity_query_coverage	similarity_target_coverage	similarity_second_family	similarity_second_identity	similarity_margin
gen_10	c465d490e4ce99fe438ac9a14bf6b3fd6afc8ef78a514cf600a797cc61c90deb	111	fail			0.0	gvpk	120.1				0.946236559139785	0.7837837837837838	unsupported	competitive_gvpk_support;no_reportable_runner_up;insufficient_covered_reference_similarity			other_gvp								
gen_11	d7a1945db7235f13a27217a3ac2fcc0a797f9afaa2de3d8feb43c16c1e69577f	113	fail			0.0	gvpk	114.3	gvpl	0.1	114.2	0.946236559139785	0.7699115044247787	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_8e116b0b90509f56bbdd	0.5221238938053098	0.7699115044247787	0.8598130841121495			
gen_12	87baf41d8566673c9de63736d48abb053711bbb2d64000c7d0b1fa7177a57faa	97	fail			0.0	gvpk	77.2	gvpv	3.0	74.2	0.8387096774193549	0.7835051546391752	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_13	7c0bce6300ef6f06f1eedac4e51bb46106bf211ba743e627c30490105efc202a	89	pass	44.5	45.0	0.9487179487179487			gvpj	35.1		0.0	0.0	unsupported	no_qualified_subfamily_hit	7.4	35.1	unsupported								
gen_14	8e67c6a565907c9f00f8c6193225db59665bb41fe32500f34e4f84cc819a6ea6	294	fail			0.0			gvpl	13.9		0.0	0.0	unsupported	no_qualified_subfamily_hit			unsupported								
gen_15	ac3229a887d7ab179e1e9d843c7ca08beeab0d9ed6b79d9ed53a2377d54428a2	102	fail			0.0	gvpk	119.7	gvpl	1.3	118.4	0.946236559139785	0.8529411764705882	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_b94c6e496a778f2f3d21	0.6176470588235294	0.7058823529411765	0.7659574468085106			
gen_16	74cc51d70868abf873c44203cbe18fd67b46be03303be991f9accb680a546c5c	95	fail			0.0	gvpk	117.2	gvpl	1.1	116.10000000000001	0.946236559139785	0.9157894736842105	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_2730dab12de0ce3ce325	0.6421052631578947	0.8631578947368421	0.8913043478260869			
gen_17	dd8b237dccc383a22626e1da883f59c2450b8b12ffae3e95e942f16c32fb1b9a	115	fail			0.0	gvpk	119.3	gvpl	0.3	119.0	0.946236559139785	0.7565217391304347	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_18	6911c809618d30e494943741f54b0f1e997205426e3071f9abb1fac86f2593d3	126	fail			0.0	gvpk	101.5	gvpl	0.3	101.2	0.9139784946236559	0.6666666666666666	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_19	cf46cab15ae102c20e898a41a05fe824d7e00a881576662904d7ba04ca493f75	98	fail			0.0	gvpk	114.2	gvpl	2.4	111.8	0.946236559139785	0.8877551020408163	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_2730dab12de0ce3ce325	0.6020408163265306	0.7857142857142857	0.8369565217391305			
gen_20	d915363a11fb1fd433b3e919182e4d63ff8a51d0c7d3f040b032715ffe525c56	81	fail	2.8	3.3	0.5641025641025641			gvpk	35.4		0.0	0.0	unsupported	no_qualified_subfamily_hit			unsupported								
gen_21	9ef4a9029921053ba6f51e407e18dd0c48340d5af260de58b5415e43337d4ab4	109	fail			0.0	gvpk	119.6	gvpl	0.5	119.1	0.946236559139785	0.7981651376146789	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_78f7cb5e56edc86d1b1c	0.5688073394495413	0.7247706422018348	0.7247706422018348			
gen_22	7aab7c62982d77db0d93c55874eb4c754c56f69a3d6c51b45b9f05655bc7dae9	112	fail			0.0	gvpk	109.9	gvpl	2.1	107.80000000000001	0.9247311827956989	0.7589285714285714	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_8e116b0b90509f56bbdd	0.5267857142857143	0.8035714285714286	0.7757009345794392			
gen_23	4e942c8d725f84bcec48d2f22f62006fa4b8e16812130240d3080c49f6ff3090	99	fail			0.0	gvpk	112.9	gvpv	5.1	107.80000000000001	0.978494623655914	0.9292929292929293	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity		0.1	other_gvp								
gen_24	78aa474b48601145da10e4f97f6d9fdaa2c4337c50ae92fbd90b948f886c153e	105	fail			0.0	gvpk	114.2	gvpl	1.9	112.3	0.946236559139785	0.8285714285714286	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_6a2caa9d644a05b1fa76	0.5523809523809524	0.7047619047619048	0.7872340425531915			
gen_25	f10e11d648c0658735e1a0c5cd89083a7f750b9eef89d1b408918d2420d63aac	84	fail			0.0	gvpg	132.2	gvpl	1.0	131.2	0.9879518072289156	0.9880952380952381	unsupported	competitive_gvpg_support;profile_sequence_family_conflict		0.2	other_gvp	gvpf	nat_28fe1b57f20e35dc1b32	0.8571428571428571	1.0	1.0	gvpg	0.7142857142857143	0.1428571428571428
gen_26	c3c80fc95a698825131e5a499f9d4d9b22d962a8211b43ff0dab7e6cf8bb428f	102	fail			0.0	gvpk	101.6	gvpv	2.3	99.3	0.8602150537634409	0.7745098039215687	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_675665fb4942fba8ca99	0.45098039215686275	0.7941176470588235	0.8431372549019608			
gen_27	3cd8afafc5841b0003738852b68310fe1348f626cd6f7fb9f0e90f218bc96cf1	104	fail			0.0	gvpk	101.7	gvpa	2.0	99.7	0.956989247311828	0.875	other_gvp	competitive_gvpk_support;competitive_sequence_agreement	2.0		other_gvp	gvpk	nat_c24b0ac6128907419709	0.8365384615384616	0.9903846153846154	0.9903846153846154			
gen_28	b5b13d89d0fb4bc7e305e579946773bd4883b25998dcea29a14cd6b9e49ce591	66	fail	20.0	20.9	0.5128205128205128			gvpj	16.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	4.7	16.2	unsupported								
gen_29	1c79010e347a73666410759e6b60ea89f5f1b7cb4d8c9307d32f754e555c16ef	366	fail			0.0			gvpk	2.2		0.0	0.0	unsupported	no_qualified_subfamily_hit			unsupported								
gen_30	42e8b2e00a2222949b9edcb5d54881ee4264b5e5932504c50689b630f2e7228d	288	fail			0.0	gvpl	35.4	gvpk	1.0	34.4	0.624113475177305	0.6875	unsupported	competitive_gvpl_support;insufficient_covered_reference_similarity			other_gvp								
gen_31	e18de3f6897ed75a0c422184e4ba90a3006c786162fa945c35489d8beba95d57	305	fail			0.0	gvpn	455.0				0.7760416666666666	0.9770491803278688	other_gvp	competitive_gvpn_support;no_reportable_runner_up;competitive_sequence_agreement			other_gvp	gvpn	nat_a0c268810cbe681db67b	0.8431372549019608	1.0	0.9967320261437909			
gen_32	6c117dbcdc7ca4b3c09cda00c41dbe8af8ab2c19eb0362d7e2ede6cc6d4d5121	104	pass	33.1	33.9	0.8974358974358975			gvpj	21.7		0.0	0.0	unsupported	no_qualified_subfamily_hit	6.2	21.7	unsupported								
gen_33	2a7b2cbea9b07f1283c57bf3e5c1d323137ef1692f3d17a99645f383216ddee0	482	fail			0.0	gvpn	463.8				0.78125	0.6099585062240664	unsupported	competitive_gvpn_support;no_reportable_runner_up;insufficient_covered_reference_similarity			other_gvp								
gen_34	2364648917110ac8cd98315a09976b14a63f2df3809f0c90f8928f2c76c79317	115	fail			0.0	gvpk	111.1	gvpl	1.0	110.1	0.946236559139785	0.7565217391304347	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_8e116b0b90509f56bbdd	0.5391304347826087	0.7739130434782608	0.7850467289719626			
gen_35	72372f9974b1497ebaa8d1da2682a6f7a4502581e196dfac100f1a357073234d	155	pass	43.5	44.0	1.0	gvpa	106.4	gvpj	42.6	63.800000000000004	0.7567567567567568	0.6580645161290323	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	106.4	42.6	supported_gvpa	gvpa	nat_074f333dec93d43ec001	0.7290322580645161	0.7548387096774194	0.7647058823529411			
gen_36	7780e455c27b9f68502cd6933fe9ca68b5d18af62e8ad3ad73f002e25668fc66	100	fail			0.0	gvpk	117.8	gvpl	1.2	116.6	0.946236559139785	0.87	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_6a2caa9d644a05b1fa76	0.67	0.84	0.8297872340425532			
gen_37	05b2efdb994ee10fd8b2495dd99c12d0e53c9ec188f2ab32a0a6e6101685ab61	114	fail			0.0	gvpk	106.3	gvpv	5.2	101.1	0.978494623655914	0.8157894736842105	other_gvp	competitive_gvpk_support;competitive_sequence_agreement		1.2	other_gvp	gvpk	nat_4d6fdbbe43a6a597d4b4	0.8421052631578947	1.0	1.0			
gen_38	9ba7821448a70704f0dbb5f936d58a5ce64502e65770ed2ac36c69b3a27c6590	106	fail			0.0	gvpk	116.3	gvpl	1.5	114.8	0.9247311827956989	0.8018867924528302	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_39	2c8b31df9dba80f04af067063aa89d336e7b47a3d07f4e28140e45f2e1d2d391	71	pass	55.6	55.9	1.0			gvpa	107.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	107.2	46.3	unsupported	gvpa	nat_4274eb9d5d32732dadc5	0.6805555555555556	0.9295774647887324	0.9166666666666666	gvpj	0.6527777777777778	0.02777777777777779
gen_40	0a6f9a8f51f2e0de7625621e55fe96372e01e28617fc8159f426497348daef39	136	pass	46.8	47.3	0.9743589743589743	gvpa	124.3	gvpj	41.7	82.6	0.7837837837837838	0.6911764705882353	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	124.3	41.7	supported_gvpa	gvpa	nat_3fb1b2844ab87a8f4a72	0.6521739130434783	0.8455882352941176	0.8333333333333334	gvpj	0.5955882352941176	0.05658567774936063
gen_41	9093d194fa7377fd75cf07953a738b2d03f277576dd381d808de5727b41776e7	303	fail			0.0	gvpl	187.4	gvpv	3.2	184.20000000000002	0.9680851063829787	0.9042904290429042	unsupported	competitive_gvpl_support;insufficient_covered_reference_similarity			other_gvp								
gen_42	76f5255020b52d33b93cf779db88c58d9d4eb7a49eb881eedee77e5859516996	84	pass	60.9	61.3	1.0	gvpa	134.1	gvpj	58.0	76.1	0.7297297297297297	0.9642857142857143	gvpa_gvpj_ambiguous	pf00741_and_competitive_gvpa_support;profile_sequence_family_conflict	134.1	58.0	supported_gvpa	gvpj	nat_01fb42ca3aea3da0dbe5	0.8571428571428571	1.0	1.0	gvpa	0.8571428571428571	0.0
gen_43	860c335c44798745cd8ada4d45d32c6be536d055b8287c3da4cccc473431ac5e	98	fail			0.0	gvpk	35.1	gvpc	2.7	32.4	0.9032258064516129	0.7857142857142857	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity	0.3		other_gvp								
gen_44	0abec5d6b71ce2778928a4368299144561ae983be8830a3be3e6d10f011ac03d	70	pass	56.6	56.9	1.0			gvpa	116.2		0.0	0.0	unsupported	no_qualified_subfamily_hit	116.2	55.8	unsupported	gvpa	nat_ea394d0f8102113c7b58	0.8857142857142857	1.0	1.0	gvpj	0.7857142857142857	0.09999999999999998
gen_45	432e3682c7be7afdf8585756c0a0bbf9898844fd10795ee1e9fe8c36122463e3	319	fail			0.0	gvpl	190.5	gvpg	2.2	188.3	0.9680851063829787	0.9341692789968652	unsupported	competitive_gvpl_support;insufficient_covered_reference_similarity			other_gvp								
gen_46	28e6b84271708775e13d73ee54ae28e3f6d1dca8f9ac6a42c5eeb2b9c3099e2f	96	fail			0.0			gvpk	62.1		0.0	0.0	unsupported	no_qualified_subfamily_hit	0.4		unsupported	gvpk	nat_2a684226bc7fc883848d	0.3854166666666667	0.75	0.9577464788732394			
gen_47	445fa23a68f4a1b3899232dc1544e2f93ff51229df22224551e1d91a9e5aa3bf	100	fail			0.0	gvpk	116.1	gvpl	1.8	114.3	0.956989247311828	0.88	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_b94c6e496a778f2f3d21	0.63	0.72	0.7659574468085106			
gen_48	fe50aaf0efdd54a0cc409849e5aeef8a8666fca8182891a2a8cbf055198f3763	347	fail			0.0	gvpl	79.3	gvpg	1.0	78.3	0.9290780141843972	0.8501440922190202	unsupported	competitive_gvpl_support;insufficient_covered_reference_similarity			other_gvp								
gen_49	0f747c9e97c65bdef035ffa732e615690b5827dd6016fc541139d45dcd1fa5d7	112	fail			0.0	gvpk	106.9	gvpl	0.6	106.30000000000001	0.956989247311828	0.7857142857142857	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_50	80da48499334da24f87204c068ffa9159f3494b315abbb1640e737bf30a7787f	306	fail			0.0	gvpn	458.8				0.7760416666666666	0.9738562091503268	other_gvp	competitive_gvpn_support;no_reportable_runner_up;competitive_sequence_agreement			other_gvp	gvpn	nat_05cf56205d19f7127aeb	0.7875816993464052	1.0	1.0			
gen_51	eb8831a09313252b9b58408d793e7675583ba364f72b4647b5f1e1584767c8a7	101	fail			0.0	gvpk	78.1	gvpv	0.9	77.19999999999999	0.8817204301075269	0.7722772277227723	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_10a2bccfc68f5e531829	0.6237623762376238	0.8415841584158416	0.9183673469387755			
gen_52	0e03cb9004843db1be6dc5635be5303642133329a19dd342daf22fc2960903f2	103	fail			0.0	gvpk	121.8	gvpl	3.5	118.3	0.946236559139785	0.8446601941747572	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_2730dab12de0ce3ce325	0.6504854368932039	0.7669902912621359	0.8586956521739131			
gen_53	5a2ad6048ad89f8610b80e23e9f795cd1014c3d80ae10d0c16e3160f622137a9	109	fail			0.0	gvpk	116.3	gvpl	1.1	115.2	0.946236559139785	0.7981651376146789	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_54	6807edd48149735ca397d3863a45bb36b7d3eb5d50a7e405f36bf718966a1602	109	fail			0.0	gvpk	73.6	gvpl	1.7	71.89999999999999	0.946236559139785	0.7247706422018348	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_55	b97939cf87bf6f58b84f8bce7a7aabe756188050ac11d3ab2e9a7d9206ca40e6	94	fail	0.3	2.2	0.23076923076923078			gvpa	2.1		0.0	0.0	unsupported	no_qualified_subfamily_hit	2.1		unsupported								
gen_56	9757967a5db4269cbb7e5b671367af5c43e8bc4598876951067d6aa988f9d658	103	pass	58.2	58.5	1.0	gvpj	153.7	gvpa	46.1	107.6	0.6503496503496503	0.9514563106796117	other_gvp	competitive_gvpj_support;competitive_sequence_agreement	46.1	153.7	other_gvp	gvpj	nat_b629ea5b6ccdf5cafe33	0.8640776699029126	0.9902912621359223	1.0	gvpa	0.3106796116504854	0.5533980582524272
gen_57	b1166515d79b34315978400401310def9abd116548daf16d3504e20a184ea66f	111	fail			0.0	gvpk	117.4	gvpv	0.3	117.10000000000001	0.946236559139785	0.7837837837837838	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_58	07eb63749f763fbf907544b8d8bba4bdc4a4738b4dada91aea2878f6e0264737	104	pass	32.1	33.5	0.9230769230769231	gvpa	33.9	gvpj	49.8	-15.899999999999999	0.6126126126126126	0.7211538461538461	gvpa_gvpj_ambiguous	insufficient_competitive_margin	33.9	49.8	gvpa_gvpj_ambiguous	gvpj	nat_42f645640533e9fbacdd	0.4485981308411215	0.9519230769230769	0.7663551401869159			
gen_59	4a3621b7e513ea4b75bab2c9071952e29dffa4044d809315828a7aabcaca9073	315	fail			0.0	gvpl	297.0	gvpv	4.5	292.5	0.9680851063829787	0.8952380952380953	other_gvp	competitive_gvpl_support;competitive_sequence_agreement		1.1	other_gvp	gvpl	nat_51153cf6705a7b788462	0.5873015873015873	0.8444444444444444	0.8343949044585988			
gen_60	233961733834626cc3b4ac1e66efa8a96c78612515d643e855bbed8cd7b3f7ad	106	fail			0.0	gvpk	113.0	gvpl	3.5	109.5	0.946236559139785	0.8207547169811321	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_61	bedbd15323cc7dc772b65dccf4a2f705e8b1c7a4e6c9b3c7a139a08cc163cfe9	114	fail			0.0	gvpk	106.7	gvpv	5.7	101.0	0.946236559139785	0.7982456140350878	other_gvp	competitive_gvpk_support;competitive_sequence_agreement		0.7	other_gvp	gvpk	nat_3051d69cdf2eb2867c43	0.8157894736842105	0.9912280701754386	0.9912280701754386			
gen_62	357acc911c4c8f0b7524e2bba85261c78e7c9ad644fbdfdb3a0bf116b408ff75	84	fail			0.0	gvpg	130.9	gvpl	2.6	128.3	1.0	1.0	unsupported	competitive_gvpg_support;profile_sequence_family_conflict			other_gvp	gvpf	nat_e355a3cabd64b6b94474	0.9047619047619048	1.0	1.0	gvpg	0.7142857142857143	0.19047619047619047
gen_63	e4f6e2c797efa7d057d33f26da103001788f722fc1a655922754c8211d121805	97	fail			0.0	gvpk	116.6	gvpv	0.7	115.89999999999999	0.946236559139785	0.8969072164948454	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_68a18df6d5d153ea5481	0.7319587628865979	0.8969072164948454	0.9560439560439561			
gen_64	8f50c37f9cee0191677ba471c9e9dc0832a063c5fdb5055e1e1d80281e070606	490	fail			0.0	gvpn	461.0				0.7916666666666666	0.6081632653061224	unsupported	competitive_gvpn_support;no_reportable_runner_up;insufficient_covered_reference_similarity			other_gvp								
gen_65	17ef76cbd90454ebe41f77cf79dc6e500e0be9e87fd489a0b47a8ada588ca605	84	fail			0.0	gvpg	126.7	gvpk	1.4	125.3	1.0	1.0	unsupported	competitive_gvpg_support;profile_sequence_family_conflict			other_gvp	gvpf	nat_9563afccb8c08431776b	0.8809523809523809	1.0	1.0	gvpg	0.6904761904761905	0.19047619047619047
gen_66	79e1cffc9f4af352f7b74af0e2b912c0f4ef05f78563d31b5f9ce37b1e3bb793	94	fail			0.0	gvpk	117.5				0.946236559139785	0.925531914893617	other_gvp	competitive_gvpk_support;no_reportable_runner_up;competitive_sequence_agreement			other_gvp	gvpk	nat_b1b4221c2360951d038d	0.851063829787234	1.0	1.0			
gen_67	47722a79c0116dfcaebdf1bf489ab7c1ddfaaeae57e5533fd83e7463257f6ad7	92	pass	53.1	53.5	1.0	gvpa	126.4	gvpj	52.8	73.60000000000001	0.6486486486486487	0.782608695652174	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	126.4	52.8	supported_gvpa	gvpa	nat_00b8d6bdf51c5322f38c	0.8260869565217391	0.9456521739130435	0.9666666666666667	gvpj	0.6847826086956522	0.14130434782608692
gen_68	6e26b9e9dc9da8a181e69111d2b615333d3c7238bad5c0e051173642621d59fd	145	pass	46.2	46.7	0.9743589743589743	gvpa	131.5	gvpj	42.8	88.7	0.7747747747747747	0.7448275862068966	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	131.5	42.8	supported_gvpa	gvpa	nat_1f087f3f20cf0e414c21	0.696551724137931	0.8689655172413793	1.0	gvpj	0.593103448275862	0.10344827586206895
gen_69	29585254e802c8cebbe4842934026fd379cda156dec678955f5338469c921411	103	fail			0.0	gvpk	113.6	gvpv	6.9	106.69999999999999	0.989247311827957	0.9029126213592233	other_gvp	competitive_gvpk_support;competitive_sequence_agreement		3.2	other_gvp	gvpk	nat_4d6fdbbe43a6a597d4b4	0.6929824561403509	0.9805825242718447	0.9210526315789473			
gen_70	6b04dc15e7f91f65833bff13fd267ce490370e786d2e7ef5a9039a6fb7f4a484	107	fail			0.0	gvpk	118.8	gvpv	1.1	117.7	0.946236559139785	0.8130841121495327	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_71	82977b551aa32ef07ff81a6172b3ba812b5b059df83859ba574b41c681e0ba2a	84	pass	53.4	53.7	1.0			gvpj	48.5		0.0	0.0	unsupported	no_qualified_subfamily_hit	23.2	48.5	unsupported								
gen_72	88df81a9ec420d1a011cd9f0fa36bd0adafd236ed918880ece2df8a81cc5394f	512	fail			0.0			gvpn	450.9		0.0	0.0	unsupported	no_qualified_subfamily_hit			unsupported	gvpn	nat_42d94b6cd2db52cdbdb2	0.63671875	0.896484375	1.0			
gen_73	50ef747f282102f04e92b68db67fb047eedca3e9ee1200c70d2298ec79083f44	103	fail			0.0	gvpk	118.3	gvpl	1.6	116.7	0.956989247311828	0.8543689320388349	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_6a2caa9d644a05b1fa76	0.7378640776699029	0.7766990291262136	0.851063829787234			
gen_74	5ce5a8c81469e67dbbed20dc5654dd5e9a34577d42e98f2c40dd38fbc9f76aaa	103	fail			0.0	gvpk	115.1	gvpl	1.0	114.1	0.946236559139785	0.8446601941747572	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_75	2beb3d22a57b5271b91d3856a15ee38dd9b5bea6a9f0aad221c828df5387ec54	306	fail			0.0	gvpn	466.0				0.7760416666666666	0.9738562091503268	other_gvp	competitive_gvpn_support;no_reportable_runner_up;competitive_sequence_agreement			other_gvp	gvpn	nat_a0c268810cbe681db67b	0.8431372549019608	0.9379084967320261	0.9379084967320261			
gen_76	059db66738282beffa4b27cb37b50710b65a46daceb0f5318fef962d4c88bb50	155	pass	43.2	43.6	1.0	gvpa	107.2	gvpj	40.8	66.4	0.8738738738738738	0.7290322580645161	supported_gvpa	pf00741_and_competitive_gvpa_support;competitive_sequence_agreement	107.2	40.8	supported_gvpa	gvpa	nat_219e1145c7c5f874f9d7	0.7419354838709677	0.7548387096774194	0.7597402597402597	gvpj	0.23225806451612904	0.5096774193548387
gen_77	2719c6e9970df718760a2bc352791b569fb020aa5ba70654c739e159829a9ae1	100	fail			0.0	gvpk	118.2	gvpl	1.9	116.3	0.956989247311828	0.88	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_63271297f6b3d9d8c243	0.61	0.71	0.8160919540229885			
gen_78	716e010876d0d5ab141e6b9992635fe094118a5dc0ce20225c4f519dcdd246c4	105	fail			0.0						0.0	0.0	unsupported	no_qualified_subfamily_hit			unsupported								
gen_79	534c9af6e3e65bcb4f33a8fa7fe9fbf5bd755c33e84c0ae233db7d4c248db09d	112	fail			0.0	gvpk	115.7	gvpv	1.3	114.4	0.9354838709677419	0.7678571428571429	unsupported	competitive_gvpk_support;insufficient_covered_reference_similarity			other_gvp								
gen_80	5f6804874f5e532e11f8cafd48731ed26a96bdce463510cbb18dc4ba8ef5aa0f	91	fail			0.0	gvpk	125.1	gvpl	3.0	122.1	0.978494623655914	0.989010989010989	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_feb7854d969d6d554dbd	0.5714285714285714	0.8131868131868132	0.8131868131868132			
gen_81	30a6f2c0540d77e5eabce9e4a249e8bbdcbf86972ef46b28261ce61cf3aab75e	93	fail			0.0	gvpk	116.9	gvpl	1.8	115.10000000000001	0.9354838709677419	0.9247311827956989	other_gvp	competitive_gvpk_support;competitive_sequence_agreement			other_gvp	gvpk	nat_63271297f6b3d9d8c243	0.6344086021505376	0.7096774193548387	0.7586206896551724			
